METHOD	TECHNOLOGY	AvgER	seER
A priori	ONT	0.18116481435019186	0.005648014667764474
A priori	PacBio HiFi	0.14546462123045464	0.004715788510195423
Multi POA	ONT	0.09406988701222037	0.0038140233449336573
Multi POA	PacBio HiFi	0.07321519788139993	0.003130444003052477
RapidFuzz	ONT	0.07314906267425733	0.0027686753872903347
RapidFuzz	PacBio HiFi	0.06857835544813762	0.0023598978540465263
True phase	ONT	0.09072516869966284	0.004310667408393285
True phase	PacBio HiFi	0.0808134839465043	0.0035119454363003472
abPOA	ONT	0.3263182096939623	0.005908210844682102
abPOA	PacBio HiFi	0.16189378569088222	0.003942898787221937
k-mer clust	ONT	0.8326043372663254	0.011321860554080805
k-mer clust	PacBio HiFi	0.6054344238087032	0.011475146899125018
