METHOD	TECHNOLOGY	COVERAGE	VARSIZE	AvgER	seER
A priori	ONT	20	50	0.08039419698471661	0.0030322463317523246
A priori	ONT	20	200	0.10481351610247808	0.005591358127160913
A priori	ONT	20	500	0.2114773927921905	0.017061926079918237
A priori	ONT	20	1000	0.3513849456480878	0.03135195180147966
A priori	ONT	30	50	0.06843056249772302	0.005982165464208621
A priori	ONT	30	200	0.07279059363187412	0.0045199163404643534
A priori	ONT	30	500	0.20772619435775472	0.018121174201506895
A priori	ONT	30	1000	0.34602164362106963	0.0315353565836347
A priori	ONT	60	50	0.06174295303929805	0.002731265695094712
A priori	ONT	60	200	0.07856182236439008	0.00583774703906903
A priori	ONT	60	500	0.2035686676771569	0.019264911088259
A priori	ONT	60	1000	0.3865657096300972	0.03798838708782334
A priori	PacBio HiFi	20	50	0.06921313732157655	0.0034223285495777627
A priori	PacBio HiFi	20	200	0.0717531092255305	0.002954691784738997
A priori	PacBio HiFi	20	500	0.14646354452862448	0.012259974901193824
A priori	PacBio HiFi	20	1000	0.25515374991029627	0.022376727684964265
A priori	PacBio HiFi	30	50	0.06188843413891378	0.0023631990622148386
A priori	PacBio HiFi	30	200	0.06494027268127554	0.0034590960841555055
A priori	PacBio HiFi	30	500	0.16937147668394348	0.016084277304975494
A priori	PacBio HiFi	30	1000	0.2923932262290423	0.030032407892706114
A priori	PacBio HiFi	60	50	0.057337976964550535	0.001604042913575427
A priori	PacBio HiFi	60	200	0.06213580976461834	0.002670324506729398
A priori	PacBio HiFi	60	500	0.16734514629898214	0.014804813527715144
A priori	PacBio HiFi	60	1000	0.327804829122804	0.03315077411475829
Multi POA	ONT	20	50	0.10517370357040742	0.009283018927897775
Multi POA	ONT	20	200	0.048075122700159796	0.0021621749786574266
Multi POA	ONT	20	500	0.041213107186298954	0.001502969396772745
Multi POA	ONT	20	1000	0.07915814942511076	0.013388302684950526
Multi POA	ONT	30	50	0.1056885464012267	0.004597402930464557
Multi POA	ONT	30	200	0.052294941119165037	0.002985351091966599
Multi POA	ONT	30	500	0.03875047580295897	0.002128441005258758
Multi POA	ONT	30	1000	0.0673262491706317	0.013607508340785982
Multi POA	ONT	60	50	0.17232192944032648	0.012269882223746278
Multi POA	ONT	60	200	0.09895997200730687	0.012693285816232818
Multi POA	ONT	60	500	0.10077730338827422	0.01681251913009418
Multi POA	ONT	60	1000	0.22530130165969667	0.03215463811148182
Multi POA	PacBio HiFi	20	50	0.05763622575425519	0.001417870595938795
Multi POA	PacBio HiFi	20	200	0.05548906365225728	0.0012311734378763093
Multi POA	PacBio HiFi	20	500	0.05689132899945483	0.0018057915198120532
Multi POA	PacBio HiFi	20	1000	0.0896283330403183	0.013522841059980315
