METHOD	TECHNOLOGY	ALN_PARAMS	ALN_TYPE	SPANNING	COVERAGE	TP	FN	FP	TN	Recall	Precision	F1
A priori	ONT	1_-1_-1_-1	global	spanning	20	25794	2896	77	0	0.8990589055420007	0.9970236944841715	0.9455105294990928
A priori	ONT	1_-1_-1_-1	global	spanning	30	26466	2224	86	0	0.9224817009410945	0.9967610726122326	0.9581839904420549
A priori	ONT	1_-1_-1_-1	global	spanning	60	26838	1852	93	0	0.9354478912513071	0.9965467305335858	0.9650311932543464
A priori	ONT	1_-1_-1_-1	local	partial	20	26149	2541	182	0	0.9114325548971767	0.9930879951388097	0.9505098053470493
A priori	ONT	1_-1_-1_-1	local	partial	30	26541	2149	191	0	0.9250958522133147	0.992855005237169	0.9577784995128288
A priori	ONT	1_-1_-1_-1	local	partial	60	26758	1932	237	0	0.9326594632276054	0.991220596406742	0.9610487563975937
A priori	ONT	1_-1_-1_-1	local	spanning	20	25758	2932	92	0	0.897804112931335	0.9964410058027079	0.9445544554455446
A priori	ONT	1_-1_-1_-1	local	spanning	30	26415	2275	118	0	0.9207040780759846	0.9955527079485923	0.9566666063053437
A priori	ONT	1_-1_-1_-1	local	spanning	60	26711	1979	202	0	0.9310212617636807	0.9924943335934306	0.960775497724943
A priori	ONT	1_-1_-1_-1	semiglobal	partial	20	26149	2541	236	0	0.9114325548971767	0.9910555239719537	0.9495778483885611
A priori	ONT	1_-1_-1_-1	semiglobal	partial	30	26515	2175	249	0	0.9241896131056118	0.9906964579285608	0.9562880946369965
A priori	ONT	1_-1_-1_-1	semiglobal	partial	60	26759	1931	260	0	0.9326943185779017	0.9903771420111773	0.9606706277262202
A priori	PacBio HiFi	1_-1_-1_-1	global	spanning	20	26197	2493	17	0	0.9131056117113977	0.9993514915693904	0.9542838408859099
A priori	PacBio HiFi	1_-1_-1_-1	global	spanning	30	26697	1993	19	0	0.930533286859533	0.9992888156909717	0.9636862433671444
A priori	PacBio HiFi	1_-1_-1_-1	global	spanning	60	26827	1863	17	0	0.9350644823980481	0.9993667113693935	0.9661468649836136
A priori	PacBio HiFi	1_-1_-1_-1	local	partial	20	26377	2313	142	0	0.9193795747647264	0.994645348617972	0.9555326124363782
A priori	PacBio HiFi	1_-1_-1_-1	local	partial	30	26675	2015	147	0	0.929766469153015	0.9945194243531429	0.9610534659172792
A priori	PacBio HiFi	1_-1_-1_-1	local	partial	60	26781	1909	204	0	0.9334611362844196	0.9924402445803224	0.9620475976650201
A priori	PacBio HiFi	1_-1_-1_-1	local	spanning	20	26130	2560	103	0	0.9107703032415476	0.9960736476956505	0.9515139376945907
A priori	PacBio HiFi	1_-1_-1_-1	local	spanning	30	26608	2082	110	0	0.9274311606831649	0.9958829253686653	0.96043892578689
A priori	PacBio HiFi	1_-1_-1_-1	local	spanning	60	26754	1936	164	0	0.9325200418264203	0.9939074225425366	0.9622356495468278
A priori	PacBio HiFi	1_-1_-1_-1	semiglobal	partial	20	26363	2327	177	0	0.9188915998605786	0.9933308214016578	0.954662321202245
A priori	PacBio HiFi	1_-1_-1_-1	semiglobal	partial	30	26673	2017	165	0	0.9296967584524225	0.9938520008942544	0.9607045094366806
A priori	PacBio HiFi	1_-1_-1_-1	semiglobal	partial	60	26804	1886	200	0	0.9342628093412338	0.9925936898237299	0.9625453370201458
Multi POA	ONT	1_-1_-1_-1	global	spanning	20	23755	4935	4	0	0.8279888462879051	0.9998316427459069	0.9058323323609602
Multi POA	ONT	1_-1_-1_-1	global	spanning	30	22731	5959	13	0	0.7922969675845242	0.9994284206823778	0.8838900338297624
Multi POA	ONT	1_-1_-1_-1	global	spanning	60	16889	11801	26	0	0.5886720111537121	0.9984629027490393	0.7406644008332419
Multi POA	ONT	1_-1_-1_-1	local	partial	20	24435	4255	9	0	0.8516904844893691	0.9996318114874816	0.9197500658711936
Multi POA	ONT	1_-1_-1_-1	local	partial	30	22957	5733	18	0	0.8001742767514813	0.9992165397170838	0.8886867318300591
Multi POA	ONT	1_-1_-1_-1	local	partial	60	17646	11044	96	0	0.6150575113279888	0.9945891105850524	0.7600792556857339
Multi POA	ONT	1_-1_-1_-1	local	spanning	20	23755	4935	4	0	0.8279888462879051	0.9998316427459069	0.9058323323609602
Multi POA	ONT	1_-1_-1_-1	local	spanning	30	22731	5959	13	0	0.7922969675845242	0.9994284206823778	0.8838900338297624
Multi POA	ONT	1_-1_-1_-1	local	spanning	60	16889	11801	26	0	0.5886720111537121	0.9984629027490393	0.7406644008332419
Multi POA	ONT	1_-1_-1_-1	semiglobal	partial	20	24156	4534	10	0	0.8419658417567096	0.9995861954812546	0.9140305736340245
Multi POA	ONT	1_-1_-1_-1	semiglobal	partial	30	22777	5913	11	0	0.7939003136981526	0.99951728980165	0.8849217141303081
Multi POA	ONT	1_-1_-1_-1	semiglobal	partial	60	17156	11534	20	0	0.5979783896828164	0.9988355845365626	0.7480922687829765
Multi POA	PacBio HiFi	1_-1_-1_-1	global	spanning	20	27108	1582	14	0	0.9448588358313001	0.9994838138780326	0.9714039991399699
Multi POA	PacBio HiFi	1_-1_-1_-1	global	spanning	30	27328	1362	24	0	0.9525270128964796	0.999122550453349	0.9752685485885586
Multi POA	PacBio HiFi	1_-1_-1_-1	global	spanning	60	27332	1358	41	0	0.9526664342976647	0.998502173674789	0.9750459304710771
Multi POA	PacBio HiFi	1_-1_-1_-1	local	partial	20	27292	1398	19	0	0.9512722202858138	0.9993043096188349	0.9746968804128496
Multi POA	PacBio HiFi	1_-1_-1_-1	local	partial	30	27344	1346	28	0	0.9530846985012199	0.9989770568464124	0.9754914202133351
Multi POA	PacBio HiFi	1_-1_-1_-1	local	partial	60	27336	1354	49	0	0.9528058556988498	0.9982106992879314	0.9749799375835935
Multi POA	PacBio HiFi	1_-1_-1_-1	local	spanning	20	27108	1582	14	0	0.9448588358313001	0.9994838138780326	0.9714039991399699
Multi POA	PacBio HiFi	1_-1_-1_-1	local	spanning	30	27328	1362	24	0	0.9525270128964796	0.999122550453349	0.9752685485885586
Multi POA	PacBio HiFi	1_-1_-1_-1	local	spanning	60	27332	1358	41	0	0.9526664342976647	0.998502173674789	0.9750459304710771
Multi POA	PacBio HiFi	1_-1_-1_-1	semiglobal	partial	20	27239	1451	13	0	0.9494248867201115	0.9995229707911346	0.9738300382539059
Multi POA	PacBio HiFi	1_-1_-1_-1	semiglobal	partial	30	27345	1345	23	0	0.9531195538515163	0.9991596024554223	0.9755967034143208
Multi POA	PacBio HiFi	1_-1_-1_-1	semiglobal	partial	60	27343	1347	35	0	0.9530498431509237	0.9987216012857039	0.9753513590639938
RapidFuzz	ONT	1_-1_-1_-1	global	spanning	20	25298	3392	4	0	0.8817706517950505	0.9998419097304561	0.9371017928582013
RapidFuzz	ONT	1_-1_-1_-1	global	spanning	30	25700	2990	9	0	0.8957825026141513	0.9996499280407639	0.9448703101159946
RapidFuzz	ONT	1_-1_-1_-1	global	spanning	60	25537	3153	14	0	0.8901010805158592	0.9994520762396775	0.9416124333990892
RapidFuzz	ONT	1_-1_-1_-1	local	partial	20	25727	2963	32	0	0.8967235970721505	0.998757715749835	0.9449943984278867
RapidFuzz	ONT	1_-1_-1_-1	local	partial	30	25773	2917	44	0	0.898326943185779	0.9982956966340009	0.9456767020749629
RapidFuzz	ONT	1_-1_-1_-1	local	partial	60	25617	3073	77	0	0.8928895085395608	0.997003191406554	0.9420785525154456
RapidFuzz	ONT	1_-1_-1_-1	local	spanning	20	25294	3396	8	0	0.8816312303938655	0.9996838194609122	0.9369536227589272
RapidFuzz	ONT	1_-1_-1_-1	local	spanning	30	25688	3002	18	0	0.895364238410596	0.999299774371742	0.9444812118538127
RapidFuzz	ONT	1_-1_-1_-1	local	spanning	60	25504	3186	42	0	0.8889508539560823	0.9983559069913098	0.9404823364554908
RapidFuzz	ONT	1_-1_-1_-1	semiglobal	partial	20	25723	2967	75	0	0.8965841756709655	0.9970927978913094	0.944171193657319
RapidFuzz	ONT	1_-1_-1_-1	semiglobal	partial	30	25767	2923	101	0	0.8981178110840013	0.9960955620844286	0.9445727482678983
RapidFuzz	ONT	1_-1_-1_-1	semiglobal	partial	60	25630	3060	170	0	0.8933426280934124	0.9934108527131783	0.9407230684529272
RapidFuzz	PacBio HiFi	1_-1_-1_-1	global	spanning	20	26432	2258	5	0	0.9212966190310212	0.9998108711275864	0.958949335171513
RapidFuzz	PacBio HiFi	1_-1_-1_-1	global	spanning	30	27263	1427	8	0	0.9502614151272221	0.9997066480877123	0.9743571415807438
RapidFuzz	PacBio HiFi	1_-1_-1_-1	global	spanning	60	27332	1358	10	0	0.9526664342976647	0.9996342623070734	0.9755853797829813
RapidFuzz	PacBio HiFi	1_-1_-1_-1	local	partial	20	26955	1735	26	0	0.9395259672359707	0.9990363589192395	0.968367731853209
RapidFuzz	PacBio HiFi	1_-1_-1_-1	local	partial	30	27259	1431	26	0	0.9501219937260369	0.9990470954737035	0.973970522554712
RapidFuzz	PacBio HiFi	1_-1_-1_-1	local	partial	60	27308	1382	48	0	0.9518299058905542	0.9982453575084077	0.9744852442636406
RapidFuzz	PacBio HiFi	1_-1_-1_-1	local	spanning	20	26430	2260	6	0	0.9212269083304288	0.9997730367680435	0.9588941697202772
RapidFuzz	PacBio HiFi	1_-1_-1_-1	local	spanning	30	27261	1429	6	0	0.9501917044266295	0.9997799537902959	0.9743553085404864
RapidFuzz	PacBio HiFi	1_-1_-1_-1	local	spanning	60	27314	1376	24	0	0.9520390379923318	0.9991221011046895	0.9750124937531234
RapidFuzz	PacBio HiFi	1_-1_-1_-1	semiglobal	partial	20	26947	1743	77	0	0.9392471244336006	0.9971506808762581	0.9673331658111067
RapidFuzz	PacBio HiFi	1_-1_-1_-1	semiglobal	partial	30	27259	1431	110	0	0.9501219937260369	0.9959808542511601	0.9725111043721792
RapidFuzz	PacBio HiFi	1_-1_-1_-1	semiglobal	partial	60	27311	1379	102	0	0.951934471941443	0.9962791376354284	0.9736021246635652
True phase	ONT	1_-1_-1_-1	global	spanning	20	27138	1552	27	0	0.94590449634018825	0.9990060739922695	0.9717303732879777
True phase	ONT	1_-1_-1_-1	global	spanning	30	27339	1351	22	0	0.9529104217497386	0.9991959358210591	0.9755044513032775
True phase	ONT	1_-1_-1_-1	global	spanning	60	27355	1335	18	0	0.953468107354479	0.999342417710883	0.9758664359738152
