METHOD	TECHNOLOGY	ALN_PARAMS	ALN_TYPE	SPANNING	COVERAGE	TP	FN	FP	TN	Recall	Precision	F1
A priori	ONT	1_-1_-1_-1	global	spanning	20	22495	2885	69	0	0.886327817178881	0.9969420315546889	0.9383864508593358
A priori	ONT	1_-1_-1_-1	global	spanning	30	23165	2215	80	0	0.9127265563435776	0.9965583996558399	0.9528020565552698
A priori	ONT	1_-1_-1_-1	global	spanning	60	23536	1844	82	0	0.927344365642238	0.9965280718096368	0.9606922731540063
A priori	ONT	1_-1_-1_-1	local	partial	20	22847	2533	156	0	0.9001970055161544	0.9932182758770595	0.9444226277824855
A priori	ONT	1_-1_-1_-1	local	partial	30	23240	2140	175	0	0.9156816390858944	0.992526158445441	0.952556614407214
A priori	ONT	1_-1_-1_-1	local	partial	60	23455	1925	226	0	0.9241528762805359	0.9904564841011781	0.956156621348933
A priori	ONT	1_-1_-1_-1	local	spanning	20	22459	2921	85	0	0.8849093774625689	0.9962295954577715	0.9372756865036308
A priori	ONT	1_-1_-1_-1	local	spanning	30	23114	2266	114	0	0.9107171000788022	0.9950921301877045	0.951036866359447
A priori	ONT	1_-1_-1_-1	local	spanning	60	23409	1971	196	0	0.9223404255319149	0.9916966744333827	0.9557619679493722
A priori	ONT	1_-1_-1_-1	semiglobal	partial	20	22847	2533	168	0	0.9001970055161544	0.9927004127742777	0.9441884492199608
A priori	ONT	1_-1_-1_-1	semiglobal	partial	30	23214	2166	214	0	0.9146572104018913	0.9908656308690456	0.9512375020488445
A priori	ONT	1_-1_-1_-1	semiglobal	partial	60	23456	1924	240	0	0.9241922773837667	0.9898717083051992	0.9559051267421957
A priori	PacBio HiFi	1_-1_-1_-1	global	spanning	20	22896	2484	16	0	0.902127659574468	0.9993016759776536	0.9482315911538143
A priori	PacBio HiFi	1_-1_-1_-1	global	spanning	30	23390	1990	17	0	0.921591804570528	0.9992737215362926	0.9588619919240782
A priori	PacBio HiFi	1_-1_-1_-1	global	spanning	60	23526	1854	14	0	0.926950354609929	0.9994052676295667	0.9618152085036795
A priori	PacBio HiFi	1_-1_-1_-1	local	partial	20	23072	2308	138	0	0.9090622537431048	0.9940542869452822	0.9496604239555464
A priori	PacBio HiFi	1_-1_-1_-1	local	partial	30	23366	2014	139	0	0.9206461780929867	0.9940863646032759	0.9559578602843409
A priori	PacBio HiFi	1_-1_-1_-1	local	partial	60	23472	1908	200	0	0.924822695035461	0.9915511997296383	0.95702519774932715
A priori	PacBio HiFi	1_-1_-1_-1	local	spanning	20	22829	2551	103	0	0.8994877856579985	0.9955084597941741	0.9450654081801623
A priori	PacBio HiFi	1_-1_-1_-1	local	spanning	30	23301	2079	109	0	0.9180851063829787	0.9953438701409654	0.9551547448247591
A priori	PacBio HiFi	1_-1_-1_-1	local	spanning	60	23446	1934	162	0	0.9237982663514578	0.9931379193493731	0.9572140115946762
A priori	PacBio HiFi	1_-1_-1_-1	semiglobal	partial	20	23058	2322	157	0	0.9085106382978724	0.993237131165195	0.948986521247042
A priori	PacBio HiFi	1_-1_-1_-1	semiglobal	partial	30	23364	2016	148	0	0.9205673758865248	0.9937053419530453	0.9557391802339851
A priori	PacBio HiFi	1_-1_-1_-1	semiglobal	partial	60	23495	1885	189	0	0.9257289204097715	0.9920199290660361	0.957728680906571
Multi POA	ONT	1_-1_-1_-1	global	spanning	20	20462	4918	3	0	0.8062253743104807	0.9998534082580015	0.8926600501690478
Multi POA	ONT	1_-1_-1_-1	global	spanning	30	19474	5906	10	0	0.767297084318361	0.9994867583658387	0.8681348074179744
Multi POA	ONT	1_-1_-1_-1	global	spanning	60	14037	11343	21	0	0.5530732860520094	0.9985061886470337	0.7118515137684468
Multi POA	ONT	1_-1_-1_-1	local	partial	20	21134	4246	5	0	0.8327029156816391	0.9997634703628364	0.9086179840495281
Multi POA	ONT	1_-1_-1_-1	local	partial	30	19680	5700	10	0	0.7754137115839244	0.9994921279837481	0.8733081872642556
Multi POA	ONT	1_-1_-1_-1	local	partial	60	14535	10845	54	0	0.5726950354609929	0.9962985811227637	0.7273136680927719
Multi POA	ONT	1_-1_-1_-1	local	spanning	20	20462	4918	3	0	0.8062253743104807	0.9998534082580015	0.8926600501690478
Multi POA	ONT	1_-1_-1_-1	local	spanning	30	19474	5906	10	0	0.767297084318361	0.9994867583658387	0.8681348074179744
Multi POA	ONT	1_-1_-1_-1	local	spanning	60	14037	11343	21	0	0.5530732860520094	0.9985061886470337	0.7118515137684468
Multi POA	ONT	1_-1_-1_-1	semiglobal	partial	20	20857	4523	5	0	0.8217888100866825	0.9997603297862142	0.9020803598460274
Multi POA	ONT	1_-1_-1_-1	semiglobal	partial	30	19511	5869	6	0	0.7687549251379039	0.9996925757032331	0.8691449317326324
Multi POA	ONT	1_-1_-1_-1	semiglobal	partial	60	14158	11222	16	0	0.5578408195429472	0.9988711725694934	0.7158820852505434
Multi POA	PacBio HiFi	1_-1_-1_-1	global	spanning	20	23800	1580	10	0	0.9377462568951931	0.999580008399832	0.9676763569831266
Multi POA	PacBio HiFi	1_-1_-1_-1	global	spanning	30	24019	1361	17	0	0.946375098502758	0.9992927275753037	0.9721142949651934
