VARIANT	METHOD	CONSENSUS_IDX	CONSENSUS_LENGTH	ALLELE_MATCH	SCORE	ALIGNED_BASES	MATCHED_BASES
DEL_735_1000	TRUE_HAP	1	1001	0	0	1001	1001
DEL_235_1000	TRUE_HAP	1	1002	0	-1	1001	1001
COMPHET_DEL_607_50	TRUE_HAP	1	1016	1	0	1016	1016
COMPHET_DEL_507_50	TRUE_HAP	1	1016	1	-1	1016	1015
COMPHET_DEL_107_50	TRUE_HAP	1	1017	0	-1	1016	1016
DUP_64_200	TRUE_HAP	1	1404	0	-2	1404	1402
COMPHET_DEL_418_50	TRUE_HAP	1	1017	1	-1	1016	1016
INV_39_200	TRUE_HAP	1	1201	0	-1	1201	1200
DEL_635_1000	TRUE_HAP	1	1001	0	0	1001	1001
DEL_571_500	TRUE_HAP	1	1001	0	0	1001	1001
INV_250_50	TRUE_HAP	1	1052	0	-1	1051	1051
INV_414_200	TRUE_HAP	1	1201	0	-2	1201	1199
INV_414_200	TRUE_HAP	2	1200	1	0	1200	1200
DEL_300_50	TRUE_HAP	1	1001	0	0	1001	1001
DEL_300_50	TRUE_HAP	2	1051	1	-1	1051	1050
DEL_25_500	TRUE_HAP	1	1001	0	0	1001	1001
COMPHET_DEL_7_50	TRUE_HAP	1	1016	1	0	1016	1016
COMPHET_DEL_778_500	TRUE_HAP	1	1004	0	-2	1002	1002
COMPHET_DEL_778_500	TRUE_HAP	2	1153	1	-2	1151	1151
COMPHET_DEL_553_1000	TRUE_HAP	1	1332	0	-14	1324	1318
COMPHET_DEL_553_1000	TRUE_HAP	2	1001	1	-1	1001	1000
SHIFTED_COMPHET_711_50	TRUE_HAP	1	1181	0	-1	1181	1180
SHIFTED_COMPHET_711_50	TRUE_HAP	2	1233	1	-2	1231	1231
INV_650_50	TRUE_HAP	1	1051	0	0	1051	1051
INV_550_50	TRUE_HAP	1	1051	0	-1	1051	1050
DEL_200_50	TRUE_HAP	1	1002	0	-1	1001	1001
COMPHET_DEL_407_50	TRUE_HAP	1	1030	0	-14	1025	1018
DEL_35_1000	TRUE_HAP	1	1001	0	0	1001	1001
COMPHET_DEL_707_50	TRUE_HAP	1	1016	0	0	1016	1016
COMPHET_DEL_142_1000	TRUE_HAP	1	1001	0	0	1001	1001
COMPHET_DEL_142_1000	TRUE_HAP	2	1301	1	0	1301	1301
SHIFTED_COMPHET_317_500	TRUE_HAP	1	1451	0	0	1451	1451
SHIFTED_COMPHET_317_500	TRUE_HAP	2	1967	1	-6	1966	1961
DUP_124_1000	TRUE_HAP	1	3003	0	-3	3001	3000
COMPHET_DEL_378_500	TRUE_HAP	1	1151	0	-1	1151	1150
COMPHET_DEL_378_500	TRUE_HAP	2	1001	1	0	1001	1001
COMPHET_DEL_207_50	TRUE_HAP	1	1016	1	0	1016	1016
DEL_61_200	TRUE_HAP	1	1200	0	-2	1200	1199
DEL_61_200	TRUE_HAP	2	1000	1	-1	1000	1000
COMPHET_DEL_678_500	TRUE_HAP	1	1003	0	-2	1001	1001
COMPHET_DEL_678_500	TRUE_HAP	2	1153	1	-2	1151	1151
COMPHET_DEL_442_1000	TRUE_HAP	1	1301	0	0	1301	1301
COMPHET_DEL_442_1000	TRUE_HAP	2	1001	1	0	1001	1001
INV_589_200	TRUE_HAP	1	1201	0	0	1201	1201
INV_589_200	TRUE_HAP	2	1201	1	0	1201	1201
INV_260_1000	TRUE_HAP	1	2003	0	0	2003	2003
INV_260_1000	TRUE_HAP	2	2001	1	-2	2001	1999
COMPHET_DEL_542_1000	TRUE_HAP	1	1303	0	-2	1301	1301
COMPHET_DEL_542_1000	TRUE_HAP	2	1000	1	-1	1000	1000
COMPHET_DEL_78_500	TRUE_HAP	1	1001	0	0	1001	1001
COMPHET_DEL_78_500	TRUE_HAP	2	1151	1	-1	1151	1150
COMPHET_DEL_792_1000	TRUE_HAP	1	1001	0	0	1001	1001
COMPHET_DEL_792_1000	TRUE_HAP	2	1301	1	-1	1301	1300
INV_114_200	TRUE_HAP	1	1201	0	-2	1200	1200
INV_114_200	TRUE_HAP	2	1201	1	-5	1197	1196
INV_450_50	TRUE_HAP	1	1053	1	-1	1052	1052
COMPHET_DEL_642_1000	TRUE_HAP	1	1301	0	-2	1301	1299
COMPHET_DEL_642_1000	TRUE_HAP	2	1001	1	-2	1001	999
COMPHET_DEL_342_1000	TRUE_HAP	1	1003	0	-2	1002	1001
COMPHET_DEL_342_1000	TRUE_HAP	2	1303	1	-2	1301	1301
COMPHET_DEL_242_1000	TRUE_HAP	1	1000	0	0	1000	1000
COMPHET_DEL_242_1000	TRUE_HAP	2	1301	1	0	1301	1301
COMPHET_DEL_578_500	TRUE_HAP	1	1001	0	-1	1001	1000
COMPHET_DEL_578_500	TRUE_HAP	2	1151	1	0	1151	1151
COMPHET_DEL_268_500	TRUE_HAP	1	1151	0	-2	1151	1149
COMPHET_DEL_268_500	TRUE_HAP	2	1001	1	-1	1001	1000
COMPHET_DEL_307_50	TRUE_HAP	1	1017	1	-1	1016	1016
DEL_700_50	TRUE_HAP	1	1001	0	0	1001	1001
