VARIANT	METHOD	CONSENSUS_IDX	CONSENSUS_LENGTH	ALLELE_MATCH	SCORE	ALIGNED_BASES	MATCHED_BASES
COMPHET_DEL_707_50	ITER_POA	1	1001	1	0	1001	1001
INV_450_50	ITER_POA	1	1051	0	-1	1051	1050
COMPHET_DEL_507_50	ITER_POA	1	1001	0	0	1001	1001
COMPHET_DEL_503_500	ITER_POA	1	1151	1	0	1151	1151
COMPHET_DEL_611_200	ITER_POA	1	1061	1	0	1061	1061
COMPHET_DEL_392_1000	ITER_POA	1	1001	1	0	1001	1001
COMPHET_DEL_139_500	ITER_POA	1	1151	1	0	1151	1151
DEL_0_50	ITER_POA	1	1051	1	0	1051	1051
COMPHET_DEL_67_500	ITER_POA	1	1151	0	-1	1151	1150
COMPHET_DEL_678_500	ITER_POA	1	1151	1	0	1151	1151
DEL_400_50	ITER_POA	1	1051	1	0	1051	1051
SHIFTED_COMPHET_711_50	ITER_POA	1	1231	1	0	1231	1231
COMPHET_DEL_459_1000	ITER_POA	1	1301	1	0	1301	1301
DUP_218_200	ITER_POA	1	1401	0	0	1401	1401
INV_383_200	ITER_POA	1	1201	0	0	1201	1201
DEL_171_500	ITER_POA	1	1501	0	0	1501	1501
INV_514_200	ITER_POA	1	1201	0	-1	1201	1200
COMPHET_DEL_242_1000	ITER_POA	1	1301	1	0	1301	1301
DEL_532_200	ITER_POA	1	1201	1	-1	1201	1200
DEL_633_50	ITER_POA	1	1001	0	-1	1001	1000
DUP_764_200	ITER_POA	1	1401	0	0	1401	1401
COMPHET_DEL_7_50	ITER_POA	1	1001	0	-1	1001	1000
DEL_300_50	ITER_POA	1	1051	1	-1	1051	1050
DEL_89_200	ITER_POA	1	1001	0	0	1001	1001
COMPHET_DEL_746_200	ITER_POA	1	1061	1	0	1061	1061
COMPHET_DEL_117_500	ITER_POA	1	1151	1	0	1151	1151
SHIFTED_COMPHET_457_50	ITER_POA	1	1231	1	-1	1231	1230
COMPHET_DEL_260_500	ITER_POA	1	1151	0	0	1151	1151
COMPHET_DEL_339_500	ITER_POA	1	1151	0	0	1151	1151
COMPHET_DEL_578_500	ITER_POA	1	1151	1	0	1151	1151
INV_257_200	ITER_POA	1	1201	0	-1	1201	1200
DEL_35_1000	ITER_POA	1	1001	0	0	1001	1001
COMPHET_DEL_407_50	ITER_POA	1	1001	0	0	1001	1001
DEL_433_500	ITER_POA	1	1501	0	-1	1501	1500
COMPHET_DEL_10_50	ITER_POA	1	1016	1	0	1016	1016
DEL_711_200	ITER_POA	1	1001	0	-1	1001	1000
SHIFTED_COMPHET_657_50	ITER_POA	1	1181	1	0	1181	1181
SHIFTED_COMPHET_657_50	ITER_POA	2	1231	0	0	1231	1231
COMPHET_DEL_328_500	ITER_POA	1	1151	1	0	1151	1151
SHIFTED_COMPHET_125_50	ITER_POA	1	1231	1	0	1231	1231
DEL_647_50	ITER_POA	1	1051	1	0	1051	1051
INV_171_500	ITER_POA	1	1501	0	0	1501	1501
DEL_771_500	ITER_POA	1	1501	0	0	1501	1501
INV_400_50	ITER_POA	1	1051	0	0	1051	1051
DUP_50_50	ITER_POA	1	1101	1	0	1101	1101
DEL_500_50	ITER_POA	1	1051	1	0	1051	1051
COMPHET_DEL_46_500	ITER_POA	1	1151	1	0	1151	1151
DUP_214_200	ITER_POA	1	1401	0	-1	1401	1400
DEL_364_500	ITER_POA	1	1001	0	-1	1001	1000
DEL_657_200	ITER_POA	1	1002	0	-1	1001	1001
COMPHET_DEL_603_50	ITER_POA	1	1001	1	0	1001	1001
COMPHET_DEL_218_200	ITER_POA	1	1061	1	0	1061	1061
COMPHET_DEL_218_200	ITER_POA	2	1001	0	0	1001	1001
DEL_302_1000	ITER_POA	1	2001	0	-1	2001	2000
DEL_707_200	ITER_POA	1	1201	0	0	1201	1201
DEL_135_1000	ITER_POA	1	1001	1	-1	1001	1000
DEL_125_200	ITER_POA	1	1201	1	0	1201	1201
DEL_419_500	ITER_POA	1	1501	0	0	1501	1501
COMPHET_DEL_450_50	ITER_POA	1	1016	1	0	1016	1016
DEL_19_50	ITER_POA	1	1051	0	0	1051	1051
DEL_282_50	ITER_POA	1	1051	1	0	1051	1051
COMPHET_DEL_292_1000	ITER_POA	1	1301	0	0	1301	1301
COMPHET_DEL_314_200	ITER_POA	1	1061	1	-1	1061	1060
COMPHET_DEL_750_50	ITER_POA	1	1001	0	0	1001	1001
COMPHET_DEL_692_1000	ITER_POA	1	1301	0	0	1301	1301
SHIFTED_COMPHET_774_500	ITER_POA	1	1951	0	0	1951	1951
INV_689_200	ITER_POA	1	1201	0	0	1201	1201
COMPHET_DEL_92_1000	ITER_POA	1	1301	1	0	1301	1301
DUP_96_50	ITER_POA	1	1101	1	0	1101	1101
SHIFTED_COMPHET_557_50	ITER_POA	1	1231	0	-1	1231	1230
INV_114_200	ITER_POA	1	1201	0	0	1201	1201
DUP_390_200	ITER_POA	1	1401	1	0	1401	1401
SHIFTED_COMPHET_407_50	ITER_POA	1	1231	0	0	1231	1231
COMPHET_DEL_238_500	ITER_POA	1	1151	1	0	1151	1151
DEL_221_500	ITER_POA	1	1001	0	-1	1001	1000
COMPHET_DEL_796_500	ITER_POA	1	1151	1	0	1151	1151
COMPHET_DEL_742_1000	ITER_POA	1	1301	1	-2	1301	1299
COMPHET_DEL_639_200	ITER_POA	1	1061	0	0	1061	1061
DUP_550_50	ITER_POA	1	1101	0	0	1101	1101
INV_364_500	ITER_POA	1	1501	0	0	1501	1501
COMPHET_DEL_32_500	ITER_POA	1	1151	0	0	1151	1151
INV_657_200	ITER_POA	1	1201	0	0	1201	1201
DEL_71_500	ITER_POA	1	1501	0	0	1501	1501
SHIFTED_COMPHET_139_500	ITER_POA	1	1951	0	-3	1951	1948
COMPHET_DEL_442_1000	ITER_POA	1	1301	0	0	1301	1301
COMPHET_DEL_264_200	ITER_POA	1	1061	0	-1	1061	1060
DUP_164_200	ITER_POA	1	1401	0	0	1401	1401
COMPHET_DEL_667_500	ITER_POA	1	1151	1	0	1151	1151
COMPHET_DEL_550_50	ITER_POA	1	1016	1	-1	1016	1015
COMPHET_DEL_664_200	ITER_POA	1	1061	1	0	1061	1061
DUP_714_200	ITER_POA	1	1401	0	0	1401	1401
DEL_310_500	ITER_POA	1	1501	0	0	1501	1501
SHIFTED_COMPHET_402_1000	ITER_POA	1	2751	0	-2	2751	2749
DUP_3_200	ITER_POA	1	1401	0	0	1401	1401
SHIFTED_COMPHET_789_200	ITER_POA	1	1471	1	0	1471	1471
DEL_457_200	ITER_POA	1	1201	1	0	1201	1201
SHIFTED_COMPHET_157_50	ITER_POA	1	1231	1	0	1231	1231
COMPHET_DEL_564_200	ITER_POA	1	1061	1	0	1061	1061
COMPHET_DEL_257_200	ITER_POA	1	1001	1	0	1001	1001
INV_650_50	ITER_POA	1	1051	1	0	1051	1051
COMPHET_DEL_353_50	ITER_POA	1	1016	1	-1	1016	1015
SHIFTED_COMPHET_560_1000	ITER_POA	1	1751	0	-1	1751	1750
SHIFTED_COMPHET_560_1000	ITER_POA	2	2751	1	-3	2751	2748
DUP_689_200	ITER_POA	1	1401	1	0	1401	1401
SHIFTED_COMPHET_103_200	ITER_POA	1	1471	1	0	1471	1471
INV_289_1000	ITER_POA	1	2001	1	-1	2001	2000
DUP_707_200	ITER_POA	1	1401	0	-1	1401	1400
SHIFTED_COMPHET_10_50	ITER_POA	1	1231	1	0	1231	1231
COMPHET_DEL_718_200	ITER_POA	1	1061	0	0	1061	1061
DUP_400_50	ITER_POA	1	1101	1	0	1101	1101
COMPHET_DEL_200_50	ITER_POA	1	1016	0	0	1016	1016
SHIFTED_COMPHET_328_500	ITER_POA	1	1951	0	0	1951	1951
INV_410_500	ITER_POA	1	1501	0	0	1501	1501
