VARIANT	METHOD	CONSENSUS_IDX	CONSENSUS_LENGTH	ALLELE_MATCH	SCORE	ALIGNED_BASES	MATCHED_BASES
DEL_635_1000	TRUE_HAP	1	1004	0	-3	1001	1001
COMPHET_DEL_307_50	TRUE_HAP	1	1016	1	0	1016	1016
INV_281_200	TRUE_HAP	1	1201	0	-1	1201	1200
INV_450_50	TRUE_HAP	1	1052	1	-1	1051	1051
COMPHET_DEL_207_50	TRUE_HAP	1	1016	1	0	1016	1016
COMPHET_DEL_707_50	TRUE_HAP	1	1016	0	0	1016	1016
INV_696_200	TRUE_HAP	1	1201	0	-11	1198	1196
INV_739_500	TRUE_HAP	1	1503	0	-2	1501	1501
DEL_100_50	TRUE_HAP	1	1001	0	-1	1001	1000
DEL_100_50	TRUE_HAP	2	1051	1	-1	1051	1050
DUP_332_50	TRUE_HAP	1	1101	0	-1	1101	1100
DUP_332_50	TRUE_HAP	2	1053	1	-2	1051	1051
INV_650_50	TRUE_HAP	1	1051	0	0	1051	1051
DEL_200_50	TRUE_HAP	1	1001	0	0	1001	1001
DEL_418_500	TRUE_HAP	1	1501	0	-1	1501	1500
DEL_418_500	TRUE_HAP	2	1001	1	0	1001	1001
COMPHET_DEL_78_500	TRUE_HAP	1	1001	0	0	1001	1001
COMPHET_DEL_78_500	TRUE_HAP	2	1153	1	-4	1151	1149
INV_750_50	TRUE_HAP	1	1051	0	-2	1051	1049
COMPHET_DEL_578_500	TRUE_HAP	1	1002	0	-2	1001	1000
COMPHET_DEL_578_500	TRUE_HAP	2	1151	1	0	1151	1151
INV_54_200	TRUE_HAP	1	1201	0	-1	1201	1200
INV_54_200	TRUE_HAP	2	1201	1	0	1201	1201
INV_553_200	TRUE_HAP	1	1205	0	-4	1201	1201
INV_553_200	TRUE_HAP	2	1203	1	-2	1201	1201
SHIFTED_COMPHET_146_50	TRUE_HAP	1	1187	0	-4	1186	1183
SHIFTED_COMPHET_146_50	TRUE_HAP	2	1208	1	-35	1205	1199
COMPHET_DEL_342_1000	TRUE_HAP	1	1001	0	-1	1001	1000
COMPHET_DEL_342_1000	TRUE_HAP	2	1301	1	0	1301	1301
DEL_400_50	TRUE_HAP	1	1001	0	-1	1001	1000
DEL_400_50	TRUE_HAP	2	1051	1	0	1051	1051
COMPHET_DEL_7_50	TRUE_HAP	1	1017	1	-1	1016	1016
DEL_735_1000	TRUE_HAP	1	1001	0	0	1001	1001
INV_214_200	TRUE_HAP	1	1203	0	-1	1203	1202
COMPHET_DEL_702_200	TRUE_HAP	1	1062	0	-1	1061	1061
COMPHET_DEL_702_200	TRUE_HAP	2	1001	1	-1	1001	1000
INV_350_50	TRUE_HAP	1	1051	0	0	1051	1051
INV_25_200	TRUE_HAP	1	1201	0	0	1201	1201
COMPHET_DEL_407_50	TRUE_HAP	1	1016	1	0	1016	1016
DEL_346_50	TRUE_HAP	1	1051	0	0	1051	1051
DEL_346_50	TRUE_HAP	2	1001	1	0	1001	1001
SHIFTED_COMPHET_253_200	TRUE_HAP	1	1471	0	0	1471	1471
SHIFTED_COMPHET_253_200	TRUE_HAP	2	1275	1	-3	1272	1272
