VARIANT	METHOD	CONSENSUS_IDX	CONSENSUS_LENGTH	ALLELE_MATCH	SCORE	ALIGNED_BASES	MATCHED_BASES
DEL_600_50	Molephase	1	1001	0	0	1001	1001
COMPHET_DEL_39_50	Molephase	1	1016	0	0	1016	1016
DEL_200_50	Molephase	1	1001	0	0	1001	1001
INV_314_200	Molephase	1	1205	0	-1	1204	1204
DEL_700_50	Molephase	1	1001	0	0	1001	1001
DEL_700_50	Molephase	2	1051	1	0	1051	1051
DEL_0_50	Molephase	1	1002	0	-1	1001	1001
DEL_0_50	Molephase	2	1051	1	0	1051	1051
DEL_500_50	Molephase	1	1051	1	0	1051	1051
DEL_500_50	Molephase	2	1001	0	0	1001	1001
DEL_400_50	Molephase	1	1051	1	0	1051	1051
DEL_400_50	Molephase	2	1001	0	-1	1001	1000
DEL_261_50	Molephase	1	1051	1	-1	1051	1050
DEL_261_50	Molephase	2	1001	0	0	1001	1001
SHIFTED_COMPHET_739_50	Molephase	1	1231	0	0	1231	1231
SHIFTED_COMPHET_739_50	Molephase	2	1181	1	-2	1181	1179
DEL_582_200	Molephase	1	1001	0	0	1001	1001
DEL_582_200	Molephase	2	1201	1	0	1201	1201
INV_450_50	Molephase	1	1051	1	0	1051	1051
DEL_403_500	Molephase	1	1008	0	-10	1001	998
DEL_403_500	Molephase	2	1501	1	0	1501	1501
DEL_539_200	Molephase	1	1001	0	-1	1001	1000
SHIFTED_COMPHET_624_200	Molephase	1	1471	1	0	1471	1471
SHIFTED_COMPHET_624_200	Molephase	2	1271	0	-1	1271	1270
COMPHET_DEL_278_500	Molephase	1	1151	1	0	1151	1151
COMPHET_DEL_278_500	Molephase	2	1001	0	0	1001	1001
COMPHET_DEL_42_1000	Molephase	1	1001	0	0	1001	1001
COMPHET_DEL_42_1000	Molephase	2	1301	1	0	1301	1301
INV_60_1000	Molephase	1	2002	0	0	2002	2002
COMPHET_DEL_578_500	Molephase	1	1151	1	0	1151	1151
COMPHET_DEL_578_500	Molephase	2	1001	0	-1	1001	1000
INV_375_500	Molephase	1	1501	0	0	1501	1501
INV_375_500	Molephase	2	1501	1	0	1501	1501
INV_714_200	Molephase	1	1202	1	0	1202	1202
INV_714_200	Molephase	2	1201	0	0	1201	1201
COMPHET_DEL_210_500	Molephase	1	1151	1	0	1151	1151
COMPHET_DEL_210_500	Molephase	2	1001	0	0	1001	1001
DUP_664_200	Molephase	1	1401	1	0	1401	1401
DUP_664_200	Molephase	2	1201	0	0	1201	1201
DEL_235_1000	Molephase	1	1001	0	0	1001	1001
DUP_482_200	Molephase	1	1402	0	0	1402	1402
DEL_135_1000	Molephase	1	1003	1	-3	1001	1000
DEL_135_1000	Molephase	2	2001	0	0	2001	2001
DEL_35_1000	Molephase	1	1001	0	0	1001	1001
DEL_571_500	Molephase	1	1001	0	0	1001	1001
COMPHET_DEL_225_50	Molephase	1	1016	0	-1	1016	1015
SHIFTED_COMPHET_457_50	Molephase	1	1181	0	-1	1181	1180
SHIFTED_COMPHET_457_50	Molephase	2	1231	1	-1	1231	1230
DUP_328_500	Molephase	1	2007	0	-10	2000	1998
DUP_328_500	Molephase	2	1501	1	0	1501	1501
COMPHET_DEL_507_50	Molephase	1	1016	1	-1	1016	1015
COMPHET_DEL_331_1000	Molephase	1	1301	1	0	1301	1301
COMPHET_DEL_331_1000	Molephase	2	1001	0	0	1001	1001
SHIFTED_COMPHET_689_200	Molephase	1	1471	0	-2	1471	1469
SHIFTED_COMPHET_689_200	Molephase	2	1272	1	-2	1271	1270
COMPHET_DEL_778_500	Molephase	1	1001	0	0	1001	1001
COMPHET_DEL_778_500	Molephase	2	1151	1	0	1151	1151
SHIFTED_COMPHET_532_200	Molephase	1	1271	0	0	1271	1271
SHIFTED_COMPHET_532_200	Molephase	2	1471	1	0	1471	1471
DUP_628_500	Molephase	1	2002	0	-2	2001	2000
COMPHET_DEL_142_1000	Molephase	1	1301	1	0	1301	1301
COMPHET_DEL_142_1000	Molephase	2	1244	1	-59	1243	1243
SHIFTED_COMPHET_446_200	Molephase	1	1471	1	-1	1471	1470
SHIFTED_COMPHET_446_200	Molephase	2	1271	0	0	1271	1271
DEL_271_500	Molephase	1	1001	1	0	1001	1001
DEL_271_500	Molephase	2	1507	0	-6	1501	1501
DUP_117_1000	Molephase	1	3001	1	-3	3001	2998
DUP_117_1000	Molephase	2	2003	0	-4	2000	2000
DEL_471_500	Molephase	1	1501	0	0	1501	1501
DEL_471_500	Molephase	2	1001	1	0	1001	1001
DUP_64_200	Molephase	1	1401	0	0	1401	1401
DUP_64_200	Molephase	2	1201	1	-1	1201	1200
DUP_760_1000	Molephase	1	3001	0	-1	3001	3000
SHIFTED_COMPHET_357_50	Molephase	1	1181	0	0	1181	1181
SHIFTED_COMPHET_357_50	Molephase	2	1231	1	-1	1231	1230
DUP_389_500	Molephase	1	1507	1	-21	1496	1491
DUP_764_200	Molephase	1	1401	0	0	1401	1401
SHIFTED_COMPHET_521_200	Molephase	1	1271	1	0	1271	1271
SHIFTED_COMPHET_521_200	Molephase	2	1471	0	0	1471	1471
COMPHET_DEL_7_50	Molephase	1	1016	1	0	1016	1016
INV_350_50	Molephase	1	1051	0	0	1051	1051
COMPHET_DEL_361_50	Molephase	1	1001	1	0	1001	1001
SHIFTED_COMPHET_546_50	Molephase	1	1231	1	0	1231	1231
SHIFTED_COMPHET_546_50	Molephase	2	1181	0	0	1181	1181
INV_185_1000	Molephase	1	2003	0	0	2003	2003
COMPHET_DEL_292_1000	Molephase	1	1001	1	-1	1001	1000
COMPHET_DEL_292_1000	Molephase	2	1301	0	0	1301	1301
DUP_253_1000	Molephase	1	3001	0	-2	3001	2999
COMPHET_DEL_442_1000	Molephase	1	1301	0	0	1301	1301
COMPHET_DEL_442_1000	Molephase	2	1001	1	0	1001	1001
COMPHET_DEL_378_500	Molephase	1	1151	0	-1	1151	1150
INV_10_1000	Molephase	1	2001	1	-1	2001	2000
INV_10_1000	Molephase	2	2001	0	-1	2001	2000
INV_724_1000	Molephase	1	2002	0	0	2002	2002
SHIFTED_COMPHET_182_200	Molephase	1	1271	0	0	1271	1271
SHIFTED_COMPHET_182_200	Molephase	2	1471	1	0	1471	1471
COMPHET_DEL_232_50	Molephase	1	1016	1	0	1016	1016
COMPHET_DEL_742_1000	Molephase	1	1301	1	-2	1301	1299
