VARIANT	METHOD	CONSENSUS_IDX	CONSENSUS_LENGTH	ALLELE_MATCH	SCORE	ALIGNED_BASES	MATCHED_BASES
DEL_0_50	fuzzy	1	1001	0	0	1001	1001
COMPHET_DEL_407_50	fuzzy	1	1001	0	0	1001	1001
DEL_200_50	fuzzy	1	1001	0	0	1001	1001
DEL_571_500	fuzzy	1	1003	0	-3	1001	1000
INV_750_50	fuzzy	1	1051	1	0	1051	1051
INV_614_200	fuzzy	1	1201	1	0	1201	1201
INV_150_50	fuzzy	1	1051	0	0	1051	1051
DUP_364_200	fuzzy	1	1201	1	0	1201	1201
DEL_125_500	fuzzy	1	1001	0	-2	1001	999
INV_50_50	fuzzy	1	1051	0	0	1051	1051
DEL_589_50	fuzzy	1	1051	1	0	1051	1051
DEL_589_50	fuzzy	2	1001	0	0	1001	1001
COMPHET_DEL_207_50	fuzzy	1	1016	1	0	1016	1016
INV_450_50	fuzzy	1	1051	1	0	1051	1051
DEL_500_50	fuzzy	1	1051	1	-1	1051	1050
COMPHET_DEL_425_500	fuzzy	1	1151	1	0	1151	1151
COMPHET_DEL_425_500	fuzzy	2	1001	0	0	1001	1001
COMPHET_DEL_10_200	fuzzy	1	1061	1	0	1061	1061
COMPHET_DEL_10_200	fuzzy	2	1001	0	0	1001	1001
DEL_100_50	fuzzy	1	1051	1	-1	1051	1050
COMPHET_DEL_295_500	fuzzy	1	1151	1	0	1151	1151
COMPHET_DEL_295_500	fuzzy	2	1001	0	0	1001	1001
SHIFTED_COMPHET_757_50	fuzzy	1	1181	0	0	1181	1181
INV_314_200	fuzzy	1	1202	0	0	1202	1202
COMPHET_DEL_7_50	fuzzy	1	1001	0	-1	1001	1000
SHIFTED_COMPHET_657_50	fuzzy	1	1181	1	0	1181	1181
COMPHET_DEL_503_50	fuzzy	1	1001	1	0	1001	1001
INV_200_50	fuzzy	1	1055	1	-6	1051	1049
DEL_310_500	fuzzy	1	1501	0	0	1501	1501
DEL_310_500	fuzzy	2	1001	1	0	1001	1001
COMPHET_DEL_507_50	fuzzy	1	1001	0	0	1001	1001
COMPHET_DEL_107_50	fuzzy	1	1016	0	0	1016	1016
COMPHET_DEL_707_50	fuzzy	1	1002	1	-1	1001	1001
DEL_35_1000	fuzzy	1	1001	0	0	1001	1001
INV_350_50	fuzzy	1	1051	0	0	1051	1051
DUP_646_500	fuzzy	1	2001	1	0	2001	2001
DUP_646_500	fuzzy	2	1501	0	0	1501	1501
COMPHET_DEL_478_500	fuzzy	1	1151	1	0	1151	1151
COMPHET_DEL_478_500	fuzzy	2	1001	0	0	1001	1001
DEL_235_1000	fuzzy	1	1001	0	0	1001	1001
DEL_396_50	fuzzy	1	1001	0	0	1001	1001
DEL_635_1000	fuzzy	1	1001	0	0	1001	1001
DEL_735_1000	fuzzy	1	1001	0	0	1001	1001
COMPHET_DEL_307_50	fuzzy	1	1016	1	0	1016	1016
SHIFTED_COMPHET_167_200	fuzzy	1	1471	0	0	1471	1471
SHIFTED_COMPHET_167_200	fuzzy	2	1271	1	0	1271	1271
SHIFTED_COMPHET_731_500	fuzzy	1	1952	0	0	1952	1952
SHIFTED_COMPHET_731_500	fuzzy	2	1451	1	0	1451	1451
DUP_50_50	fuzzy	1	1101	1	0	1101	1101
DUP_164_200	fuzzy	1	1401	0	0	1401	1401
DEL_260_500	fuzzy	1	1501	1	0	1501	1501
DEL_260_500	fuzzy	2	1001	0	-2	1001	999
SHIFTED_COMPHET_446_200	fuzzy	1	1471	1	-1	1471	1470
SHIFTED_COMPHET_446_200	fuzzy	2	1271	0	0	1271	1271
DEL_67_1000	fuzzy	1	2001	0	0	2001	2001
DEL_67_1000	fuzzy	2	1001	1	0	1001	1001
INV_650_50	fuzzy	1	1051	1	0	1051	1051
INV_214_200	fuzzy	1	1203	0	-1	1203	1202
DUP_464_200	fuzzy	1	1401	0	-1	1401	1400
SHIFTED_COMPHET_197_50	fuzzy	1	1181	1	-3	1181	1178
COMPHET_DEL_378_500	fuzzy	1	1151	0	-1	1151	1150
