VARIANT	METHOD	CONSENSUS_IDX	CONSENSUS_LENGTH	ALLELE_MATCH	SCORE	ALIGNED_BASES	MATCHED_BASES
COMPHET_DEL_7_50	ITER_POA_PERMISSIVE	1	1001	0	-1	1001	1000
DEL_47_50	ITER_POA_PERMISSIVE	1	1001	0	-1	1001	1000
COMPHET_DEL_207_50	ITER_POA_PERMISSIVE	1	1016	1	0	1016	1016
INV_750_50	ITER_POA_PERMISSIVE	1	1051	1	0	1051	1051
INV_650_50	ITER_POA_PERMISSIVE	1	1051	1	0	1051	1051
COMPHET_DEL_478_500	ITER_POA_PERMISSIVE	1	1151	1	0	1151	1151
COMPHET_DEL_160_500	ITER_POA_PERMISSIVE	1	1151	0	-1	1151	1150
DEL_654_50	ITER_POA_PERMISSIVE	1	1001	0	0	1001	1001
COMPHET_DEL_307_50	ITER_POA_PERMISSIVE	1	1001	0	0	1001	1001
SHIFTED_COMPHET_761_50	ITER_POA_PERMISSIVE	1	1235	0	-20	1223	1223
DEL_325_200	ITER_POA_PERMISSIVE	1	1201	1	-1	1201	1200
COMPHET_DEL_192_1000	ITER_POA_PERMISSIVE	1	1301	0	0	1301	1301
COMPHET_DEL_592_1000	ITER_POA_PERMISSIVE	1	1301	0	-1	1301	1300
DEL_518_500	ITER_POA_PERMISSIVE	1	1501	0	0	1501	1501
COMPHET_DEL_707_50	ITER_POA_PERMISSIVE	1	1003	1	-2	1001	1001
INV_89_50	ITER_POA_PERMISSIVE	1	1051	1	0	1051	1051
COMPHET_DEL_42_1000	ITER_POA_PERMISSIVE	1	1301	1	0	1301	1301
COMPHET_DEL_278_500	ITER_POA_PERMISSIVE	1	1151	1	0	1151	1151
DEL_635_1000	ITER_POA_PERMISSIVE	1	1001	0	0	1001	1001
DEL_346_500	ITER_POA_PERMISSIVE	1	1001	0	0	1001	1001
COMPHET_DEL_442_1000	ITER_POA_PERMISSIVE	1	1301	0	0	1301	1301
SHIFTED_COMPHET_689_50	ITER_POA_PERMISSIVE	1	1231	0	0	1231	1231
COMPHET_DEL_578_500	ITER_POA_PERMISSIVE	1	1151	1	0	1151	1151
SHIFTED_COMPHET_175_50	ITER_POA_PERMISSIVE	1	1181	1	0	1181	1181
DUP_246_500	ITER_POA_PERMISSIVE	1	2001	1	0	2001	2001
SHIFTED_COMPHET_496_500	ITER_POA_PERMISSIVE	1	1952	1	-1	1952	1951
DEL_35_1000	ITER_POA_PERMISSIVE	1	1001	0	0	1001	1001
INV_714_200	ITER_POA_PERMISSIVE	1	1201	0	0	1201	1201
COMPHET_DEL_242_1000	ITER_POA_PERMISSIVE	1	1301	1	0	1301	1301
DEL_682_500	ITER_POA_PERMISSIVE	1	1001	0	0	1001	1001
SHIFTED_COMPHET_546_200	ITER_POA_PERMISSIVE	1	1471	0	-1	1471	1470
COMPHET_DEL_142_1000	ITER_POA_PERMISSIVE	1	1301	1	0	1301	1301
COMPHET_DEL_142_1000	ITER_POA_PERMISSIVE	2	1001	0	0	1001	1001
INV_450_50	ITER_POA_PERMISSIVE	1	1051	0	-1	1051	1050
COMPHET_DEL_125_200	ITER_POA_PERMISSIVE	1	1001	1	0	1001	1001
INV_396_200	ITER_POA_PERMISSIVE	1	1201	0	0	1201	1201
INV_550_50	ITER_POA_PERMISSIVE	1	1051	0	-1	1051	1050
COMPHET_DEL_218_50	ITER_POA_PERMISSIVE	1	1001	0	0	1001	1001
COMPHET_DEL_778_500	ITER_POA_PERMISSIVE	1	1151	1	0	1151	1151
COMPHET_DEL_178_500	ITER_POA_PERMISSIVE	1	1151	0	-2	1151	1149
SHIFTED_COMPHET_57_50	ITER_POA_PERMISSIVE	1	1231	1	0	1231	1231
DEL_67_1000	ITER_POA_PERMISSIVE	1	2001	0	0	2001	2001
SHIFTED_COMPHET_489_50	ITER_POA_PERMISSIVE	1	1231	0	-1	1231	1230
DEL_571_500	ITER_POA_PERMISSIVE	1	1001	0	-2	1001	999
INV_214_200	ITER_POA_PERMISSIVE	1	1205	0	-1	1205	1204
SHIFTED_COMPHET_360_200	ITER_POA_PERMISSIVE	1	1471	0	0	1471	1471
SHIFTED_COMPHET_621_200	ITER_POA_PERMISSIVE	1	1271	0	0	1271	1271
SHIFTED_COMPHET_621_200	ITER_POA_PERMISSIVE	2	1471	1	-3	1471	1468
COMPHET_DEL_153_1000	ITER_POA_PERMISSIVE	1	1301	0	-1	1301	1300
SHIFTED_COMPHET_710_1000	ITER_POA_PERMISSIVE	1	2751	0	0	2751	2751
INV_50_50	ITER_POA_PERMISSIVE	1	1051	0	0	1051	1051
DUP_750_50	ITER_POA_PERMISSIVE	1	1101	1	-1	1101	1100
COMPHET_DEL_492_1000	ITER_POA_PERMISSIVE	1	1301	0	0	1301	1301
COMPHET_DEL_492_1000	ITER_POA_PERMISSIVE	2	1001	1	0	1001	1001
COMPHET_DEL_107_50	ITER_POA_PERMISSIVE	1	1006	1	-5	1001	1001
COMPHET_DEL_392_1000	ITER_POA_PERMISSIVE	1	2778	0	-847	2159	1965
COMPHET_DEL_392_1000	ITER_POA_PERMISSIVE	2	1301	0	0	1301	1301
COMPHET_DEL_507_50	ITER_POA_PERMISSIVE	1	1001	0	0	1001	1001
DUP_650_50	ITER_POA_PERMISSIVE	1	1101	0	0	1101	1101
COMPHET_DEL_660_1000	ITER_POA_PERMISSIVE	1	1301	1	0	1301	1301
COMPHET_DEL_660_1000	ITER_POA_PERMISSIVE	2	1001	0	-1	1001	1000
SHIFTED_COMPHET_389_200	ITER_POA_PERMISSIVE	1	1471	0	0	1471	1471
COMPHET_DEL_78_500	ITER_POA_PERMISSIVE	1	1151	1	-1	1151	1150
COMPHET_DEL_407_50	ITER_POA_PERMISSIVE	1	1002	0	-1	1001	1001
SHIFTED_COMPHET_267_500	ITER_POA_PERMISSIVE	1	1952	1	-1	1952	1951
DEL_100_50	ITER_POA_PERMISSIVE	1	1051	1	-1	1051	1050
COMPHET_DEL_607_50	ITER_POA_PERMISSIVE	1	1016	1	0	1016	1016
COMPHET_DEL_792_1000	ITER_POA_PERMISSIVE	1	1301	1	-1	1301	1300
COMPHET_DEL_378_500	ITER_POA_PERMISSIVE	1	1151	0	-1	1151	1150
SHIFTED_COMPHET_369_50	ITER_POA_PERMISSIVE	1	1181	0	-1	1181	1180
DUP_639_50	ITER_POA_PERMISSIVE	1	1094	0	-8	1094	1093
SHIFTED_COMPHET_557_50	ITER_POA_PERMISSIVE	1	1231	0	-1	1231	1230
SHIFTED_COMPHET_460_500	ITER_POA_PERMISSIVE	1	1952	0	0	1952	1952
DEL_0_50	ITER_POA_PERMISSIVE	1	1051	1	0	1051	1051
COMPHET_DEL_196_1000	ITER_POA_PERMISSIVE	1	1001	1	0	1001	1001
COMPHET_DEL_196_1000	ITER_POA_PERMISSIVE	2	1301	0	-1	1301	1300
INV_150_50	ITER_POA_PERMISSIVE	1	1051	1	-1	1051	1050
DEL_271_500	ITER_POA_PERMISSIVE	1	1501	0	0	1501	1501
