VARIANT	METHOD	CONSENSUS_IDX	CONSENSUS_LENGTH	ALLELE_MATCH	SCORE	ALIGNED_BASES	MATCHED_BASES
INV_350_50	ITER_POA	1	1051	1	0	1051	1051
INV_39_50	ITER_POA	1	1051	0	-1	1051	1050
COMPHET_DEL_354_200	ITER_POA	1	1061	1	-1	1061	1060
DEL_635_1000	ITER_POA	1	1001	0	0	1001	1001
INV_450_50	ITER_POA	1	1051	1	0	1051	1051
COMPHET_DEL_42_1000	ITER_POA	1	1300	1	-1	1300	1300
INV_418_50	ITER_POA	1	1051	0	0	1051	1051
INV_514_200	ITER_POA	1	1201	0	-1	1201	1200
COMPHET_DEL_707_50	ITER_POA	1	1016	0	0	1016	1016
COMPHET_DEL_192_1000	ITER_POA	1	1301	0	0	1301	1301
SHIFTED_COMPHET_175_50	ITER_POA	1	1231	0	0	1231	1231
INV_510_500	ITER_POA	1	1501	1	0	1501	1501
DEL_300_50	ITER_POA	1	1051	1	-1	1051	1050
INV_96_50	ITER_POA	1	1050	0	-1	1050	1050
DEL_396_50	ITER_POA	1	1051	1	-1	1051	1050
COMPHET_DEL_7_50	ITER_POA	1	1001	0	-1	1001	1000
COMPHET_DEL_578_500	ITER_POA	1	1151	1	0	1151	1151
COMPHET_DEL_142_1000	ITER_POA	1	1301	1	-1	1300	1300
DUP_764_200	ITER_POA	1	1401	0	0	1401	1401
SHIFTED_COMPHET_257_50	ITER_POA	1	1231	1	0	1231	1231
SHIFTED_COMPHET_257_50	ITER_POA	2	1177	0	-4	1177	1177
COMPHET_DEL_678_500	ITER_POA	1	1151	1	0	1151	1151
COMPHET_DEL_678_500	ITER_POA	2	999	0	-2	999	999
SHIFTED_COMPHET_260_200	ITER_POA	1	1271	1	-1	1271	1270
SHIFTED_COMPHET_260_200	ITER_POA	2	1471	0	0	1471	1471
DEL_703_500	ITER_POA	1	1501	1	0	1501	1501
DEL_703_500	ITER_POA	2	1001	0	0	1001	1001
COMPHET_DEL_374_1000	ITER_POA	1	1001	1	0	1001	1001
COMPHET_DEL_307_50	ITER_POA	1	1001	0	0	1001	1001
COMPHET_DEL_81_1000	ITER_POA	1	1301	0	0	1301	1301
SHIFTED_COMPHET_57_50	ITER_POA	1	1181	0	-1	1181	1180
COMPHET_DEL_478_500	ITER_POA	1	1151	1	0	1151	1151
