VARIANT	METHOD	CONSENSUS_IDX	CONSENSUS_LENGTH	ALLELE_MATCH	SCORE	ALIGNED_BASES	MATCHED_BASES
COMPHET_DEL_207_50	fuzzy	1	1016	1	0	1016	1016
INV_197_50	fuzzy	1	1051	1	-1	1051	1050
DEL_571_500	fuzzy	1	1001	0	0	1001	1001
INV_450_50	fuzzy	1	1051	1	0	1051	1051
INV_350_50	fuzzy	1	1049	1	-4	1049	1047
COMPHET_DEL_607_50	fuzzy	1	1001	0	0	1001	1001
INV_150_50	fuzzy	1	1051	1	-1	1051	1050
INV_750_50	fuzzy	1	1051	1	0	1051	1051
DEL_235_1000	fuzzy	1	1001	0	0	1001	1001
DEL_35_1000	fuzzy	1	1001	0	0	1001	1001
INV_125_50	fuzzy	1	1051	0	0	1051	1051
INV_550_50	fuzzy	1	1051	0	0	1051	1051
COMPHET_DEL_575_200	fuzzy	1	1061	1	0	1061	1061
COMPHET_DEL_575_200	fuzzy	2	1001	0	0	1001	1001
DEL_200_50	fuzzy	1	1001	0	0	1001	1001
COMPHET_DEL_307_50	fuzzy	1	1001	0	0	1001	1001
DEL_790_200	fuzzy	1	1201	1	0	1201	1201
DEL_790_200	fuzzy	2	1001	0	0	1001	1001
COMPHET_DEL_309_1000	fuzzy	1	1301	0	0	1301	1301
COMPHET_DEL_309_1000	fuzzy	2	1001	1	0	1001	1001
SHIFTED_COMPHET_757_50	fuzzy	1	1181	0	0	1181	1181
DUP_654_500	fuzzy	1	2001	0	-3	2001	1998
DEL_100_50	fuzzy	1	1051	1	-1	1051	1050
COMPHET_DEL_7_50	fuzzy	1	1001	0	-1	1001	1000
DEL_268_500	fuzzy	1	1501	1	0	1501	1501
DEL_268_500	fuzzy	2	1001	0	0	1001	1001
COMPHET_DEL_507_50	fuzzy	1	1001	0	0	1001	1001
DEL_69_500	fuzzy	1	1501	0	-2	1501	1499
DEL_69_500	fuzzy	2	1001	1	0	1001	1001
SHIFTED_COMPHET_431_200	fuzzy	1	1471	1	0	1471	1471
SHIFTED_COMPHET_431_200	fuzzy	2	1271	0	0	1271	1271
DEL_400_50	fuzzy	1	1051	1	0	1051	1051
DEL_400_50	fuzzy	2	1001	0	-1	1001	1000
DUP_589_50	fuzzy	1	1101	0	0	1101	1101
INV_250_50	fuzzy	1	1051	0	0	1051	1051
COMPHET_DEL_678_500	fuzzy	1	1151	1	0	1151	1151
COMPHET_DEL_678_500	fuzzy	2	1001	0	0	1001	1001
COMPHET_DEL_707_50	fuzzy	1	1001	1	0	1001	1001
DUP_364_200	fuzzy	1	1201	1	0	1201	1201
INV_50_50	fuzzy	1	1051	0	0	1051	1051
DEL_232_50	fuzzy	1	1001	0	0	1001	1001
DUP_625_200	fuzzy	1	1401	0	0	1401	1401
DUP_450_50	fuzzy	1	1101	0	-1	1101	1100
SHIFTED_COMPHET_117_50	fuzzy	1	1231	0	0	1231	1231
SHIFTED_COMPHET_117_50	fuzzy	2	1181	1	0	1181	1181
DEL_511_50	fuzzy	1	1001	0	0	1001	1001
COMPHET_DEL_331_500	fuzzy	1	1151	1	0	1151	1151
COMPHET_DEL_331_500	fuzzy	2	1001	0	0	1001	1001
DEL_735_1000	fuzzy	1	1001	0	0	1001	1001
SHIFTED_COMPHET_3_50	fuzzy	1	1231	1	0	1231	1231
SHIFTED_COMPHET_3_50	fuzzy	2	1183	0	-2	1181	1181
DEL_761_500	fuzzy	1	1501	1	0	1501	1501
DEL_761_500	fuzzy	2	1001	0	0	1001	1001
COMPHET_DEL_192_1000	fuzzy	1	1301	0	0	1301	1301
COMPHET_DEL_192_1000	fuzzy	2	1001	1	0	1001	1001
SHIFTED_COMPHET_357_50	fuzzy	1	1231	1	-1	1231	1230
COMPHET_DEL_592_1000	fuzzy	1	1301	0	-1	1301	1300
COMPHET_DEL_592_1000	fuzzy	2	1001	1	0	1001	1001
INV_100_50	fuzzy	1	1051	1	0	1051	1051
INV_614_200	fuzzy	1	1201	0	-1	1201	1200
INV_614_200	fuzzy	2	1202	1	-3	1200	1200
DEL_500_50	fuzzy	1	1001	0	0	1001	1001
INV_314_200	fuzzy	1	1202	0	0	1202	1202
COMPHET_DEL_478_500	fuzzy	1	1151	1	0	1151	1151
COMPHET_DEL_478_500	fuzzy	2	1001	0	0	1001	1001
DEL_271_500	fuzzy	1	1505	0	-11	1498	1497
DEL_271_500	fuzzy	2	1001	1	0	1001	1001
DUP_764_200	fuzzy	1	1401	0	0	1401	1401
SHIFTED_COMPHET_57_50	fuzzy	1	1231	1	0	1231	1231
SHIFTED_COMPHET_57_50	fuzzy	2	1181	0	-1	1181	1180
COMPHET_DEL_107_50	fuzzy	1	1016	0	0	1016	1016
INV_400_50	fuzzy	1	1051	0	-2	1051	1049
INV_650_50	fuzzy	1	1051	1	0	1051	1051
DEL_357_200	fuzzy	1	1001	0	0	1001	1001
DEL_757_200	fuzzy	1	1001	0	0	1001	1001
SHIFTED_COMPHET_646_200	fuzzy	1	1471	1	-1	1471	1470
SHIFTED_COMPHET_646_200	fuzzy	2	1271	0	-1	1271	1270
DEL_731_500	fuzzy	1	1501	0	0	1501	1501
DEL_731_500	fuzzy	2	1001	1	0	1001	1001
SHIFTED_COMPHET_139_200	fuzzy	1	1471	1	-1	1471	1470
SHIFTED_COMPHET_139_200	fuzzy	2	1271	0	0	1271	1271
DUP_596_200	fuzzy	1	1401	1	0	1401	1401
DUP_596_200	fuzzy	2	1201	0	0	1201	1201
SHIFTED_COMPHET_438_500	fuzzy	1	1952	0	0	1952	1952
SHIFTED_COMPHET_438_500	fuzzy	2	1451	1	-1	1451	1450
INV_214_200	fuzzy	1	1203	0	-1	1203	1202
DEL_0_50	fuzzy	1	1051	1	0	1051	1051
COMPHET_DEL_450_50	fuzzy	1	1001	0	0	1001	1001
DEL_635_1000	fuzzy	1	1001	0	0	1001	1001
COMPHET_DEL_578_500	fuzzy	1	1151	1	0	1151	1151
COMPHET_DEL_578_500	fuzzy	2	1001	0	-1	1001	1000
DUP_682_50	fuzzy	1	1051	0	-1	1051	1050
DUP_350_50	fuzzy	1	1101	0	-2	1101	1099
COMPHET_DEL_589_50	fuzzy	1	1016	1	-1	1016	1015
COMPHET_DEL_703_50	fuzzy	1	1016	0	-1	1016	1015
INV_446_50	fuzzy	1	1051	1	0	1051	1051
DUP_400_50	fuzzy	1	1051	0	0	1051	1051
COMPHET_DEL_389_1000	fuzzy	1	2301	0	-445	2143	1882
COMPHET_DEL_389_1000	fuzzy	2	2307	0	-509	1801	1798
COMPHET_DEL_364_200	fuzzy	1	1001	0	0	1001	1001
SHIFTED_COMPHET_657_50	fuzzy	1	1181	1	0	1181	1181
INV_511_50	fuzzy	1	1071	0	-21	1051	1050
INV_514_200	fuzzy	1	1201	0	-1	1201	1200
COMPHET_DEL_78_500	fuzzy	1	1151	1	-1	1151	1150
COMPHET_DEL_78_500	fuzzy	2	1001	0	0	1001	1001
SHIFTED_COMPHET_257_50	fuzzy	1	1231	1	0	1231	1231
SHIFTED_COMPHET_257_50	fuzzy	2	1181	0	0	1181	1181
INV_785_1000	fuzzy	1	2001	1	-1	2001	2000
COMPHET_DEL_625_200	fuzzy	1	1045	0	-43	1039	1024
COMPHET_DEL_625_200	fuzzy	2	1001	1	0	1001	1001
INV_414_200	fuzzy	1	1201	1	0	1201	1201
COMPHET_DEL_378_500	fuzzy	1	1151	0	-1	1151	1150
DUP_774_50	fuzzy	1	1101	0	-1	1101	1100
DUP_774_50	fuzzy	2	1051	1	-1	1051	1050
DEL_160_1000	fuzzy	1	2001	1	-2	2001	1999
DEL_160_1000	fuzzy	2	1001	0	0	1001	1001
DUP_50_50	fuzzy	1	1101	1	0	1101	1101
SHIFTED_COMPHET_253_1000	fuzzy	1	2755	1	0	2755	2755
SHIFTED_COMPHET_253_1000	fuzzy	2	1751	0	-1	1751	1750
DEL_135_1000	fuzzy	1	2001	0	0	2001	2001
DEL_135_1000	fuzzy	2	1003	1	-6	1001	997
DEL_453_500	fuzzy	1	1501	0	0	1501	1501
DEL_453_500	fuzzy	2	1001	1	-2	1001	999
INV_632_200	fuzzy	1	1203	0	-1	1202	1202
COMPHET_DEL_692_1000	fuzzy	1	1301	0	0	1301	1301
COMPHET_DEL_692_1000	fuzzy	2	1001	1	0	1001	1001
SHIFTED_COMPHET_557_50	fuzzy	1	1232	0	-3	1231	1229
SHIFTED_COMPHET_557_50	fuzzy	2	1181	1	-1	1181	1180
SHIFTED_COMPHET_81_1000	fuzzy	1	2752	0	-2	2752	2750
SHIFTED_COMPHET_81_1000	fuzzy	2	1749	1	-10	1747	1743
DUP_264_200	fuzzy	1	1401	1	0	1401	1401
DUP_264_200	fuzzy	2	1201	0	0	1201	1201
DUP_446_50	fuzzy	1	1051	1	0	1051	1051
DUP_750_50	fuzzy	1	1105	1	-5	1101	1100
DUP_750_50	fuzzy	2	1051	0	0	1051	1051
COMPHET_DEL_392_1000	fuzzy	1	1001	1	0	1001	1001
COMPHET_DEL_392_1000	fuzzy	2	1301	0	0	1301	1301
SHIFTED_COMPHET_568_200	fuzzy	1	1471	1	0	1471	1471
SHIFTED_COMPHET_568_200	fuzzy	2	1272	0	-4	1270	1269
INV_790_200	fuzzy	1	1201	1	0	1201	1201
INV_790_200	fuzzy	2	1201	0	0	1201	1201
DEL_471_500	fuzzy	1	1501	0	0	1501	1501
DEL_471_500	fuzzy	2	1001	1	0	1001	1001
COMPHET_DEL_167_500	fuzzy	1	1151	0	0	1151	1151
COMPHET_DEL_167_500	fuzzy	2	1001	1	0	1001	1001
INV_689_500	fuzzy	1	1501	0	0	1501	1501
DUP_150_50	fuzzy	1	1101	0	0	1101	1101
DUP_150_50	fuzzy	2	1051	1	-1	1051	1050
DUP_564_200	fuzzy	1	1401	0	0	1401	1401
DEL_257_200	fuzzy	1	1001	0	-2	1001	999
SHIFTED_COMPHET_7_50	fuzzy	1	1243	1	-14	1230	1230
SHIFTED_COMPHET_7_50	fuzzy	2	1181	0	0	1181	1181
COMPHET_DEL_764_200	fuzzy	1	1001	1	-2	1001	999
DUP_511_50	fuzzy	1	1051	1	0	1051	1051
DUP_88_200	fuzzy	1	1401	0	0	1401	1401
SHIFTED_COMPHET_607_50	fuzzy	1	1234	1	-8	1231	1226
SHIFTED_COMPHET_607_50	fuzzy	2	1181	0	0	1181	1181
COMPHET_DEL_400_50	fuzzy	1	1016	1	-1	1016	1015
DUP_382_1000	fuzzy	1	3001	0	0	3001	3001
DUP_275_200	fuzzy	1	1401	1	0	1401	1401
DUP_275_200	fuzzy	2	1201	0	-1	1201	1200
DEL_57_200	fuzzy	1	1001	0	0	1001	1001
INV_500_50	fuzzy	1	1051	0	0	1051	1051
INV_200_50	fuzzy	1	1053	0	-3	1051	1050
DUP_100_50	fuzzy	1	1101	0	0	1101	1101
COMPHET_DEL_407_50	fuzzy	1	1001	0	0	1001	1001
COMPHET_DEL_596_200	fuzzy	1	1061	0	0	1061	1061
COMPHET_DEL_596_200	fuzzy	2	1001	1	0	1001	1001
INV_385_1000	fuzzy	1	2002	0	0	2002	2002
DEL_700_50	fuzzy	1	1051	1	0	1051	1051
DEL_700_50	fuzzy	2	1001	0	0	1001	1001
DUP_125_50	fuzzy	1	1101	0	-1	1101	1100
DUP_125_50	fuzzy	2	1051	1	0	1051	1051
COMPHET_DEL_654_500	fuzzy	1	1151	0	-1	1151	1150
COMPHET_DEL_654_500	fuzzy	2	1001	1	0	1001	1001
DEL_31_50	fuzzy	1	1052	1	-20	1043	1040
DEL_31_50	fuzzy	2	1002	0	-1	1001	1001
INV_761_500	fuzzy	1	1501	1	-1	1501	1500
INV_761_500	fuzzy	2	1502	0	0	1502	1502
DEL_259_50	fuzzy	1	1051	1	-1	1051	1050
DEL_259_50	fuzzy	2	1001	0	-1	1001	1000
DUP_214_200	fuzzy	1	1401	0	-1	1401	1400
DUP_550_50	fuzzy	1	1101	0	0	1101	1101
DUP_550_50	fuzzy	2	1051	1	-1	1051	1050
