VARIANT	METHOD	CONSENSUS_IDX	CONSENSUS_LENGTH	ALLELE_MATCH	SCORE	ALIGNED_BASES	MATCHED_BASES
COMPHET_DEL_675_50	fuzzy	1	1016	0	-2	1016	1014
COMPHET_DEL_507_50	fuzzy	1	1001	0	0	1001	1001
DEL_271_500	fuzzy	1	1001	1	0	1001	1001
DEL_635_1000	fuzzy	1	1001	0	0	1001	1001
DEL_735_1000	fuzzy	1	1001	0	0	1001	1001
DEL_525_50	fuzzy	1	1001	0	0	1001	1001
DEL_732_500	fuzzy	1	1001	0	-1	1001	1000
INV_450_50	fuzzy	1	1062	1	-12	1051	1050
COMPHET_DEL_207_50	fuzzy	1	1016	1	0	1016	1016
COMPHET_DEL_707_50	fuzzy	1	1001	1	0	1001	1001
COMPHET_DEL_192_1000	fuzzy	1	1302	0	-3	1300	1300
DUP_403_200	fuzzy	1	1401	0	0	1401	1401
COMPHET_DEL_392_1000	fuzzy	1	1001	1	0	1001	1001
COMPHET_DEL_42_1000	fuzzy	1	1302	1	-1	1301	1301
COMPHET_DEL_678_500	fuzzy	1	1151	1	0	1151	1151
INV_514_200	fuzzy	1	1201	0	-1	1201	1200
COMPHET_DEL_289_500	fuzzy	1	1151	0	-1	1151	1150
COMPHET_DEL_289_500	fuzzy	2	1001	1	0	1001	1001
COMPHET_DEL_407_50	fuzzy	1	1001	0	0	1001	1001
DEL_235_1000	fuzzy	1	1001	0	0	1001	1001
DEL_100_50	fuzzy	1	1001	0	-1	1001	1000
INV_350_50	fuzzy	1	1055	1	-5	1051	1050
INV_711_200	fuzzy	1	1201	0	-2	1201	1199
SHIFTED_COMPHET_682_50	fuzzy	1	1231	0	-1	1231	1230
SHIFTED_COMPHET_682_50	fuzzy	2	1181	1	0	1181	1181
DEL_500_50	fuzzy	1	1001	0	0	1001	1001
INV_650_50	fuzzy	1	1051	1	0	1051	1051
SHIFTED_COMPHET_346_200	fuzzy	1	1471	1	-1	1471	1470
SHIFTED_COMPHET_346_200	fuzzy	2	1271	0	0	1271	1271
SHIFTED_COMPHET_57_50	fuzzy	1	1181	0	-1	1181	1180
DUP_764_200	fuzzy	1	1401	0	0	1401	1401
DEL_200_50	fuzzy	1	1001	0	-1	1001	1000
COMPHET_DEL_307_50	fuzzy	1	1016	1	0	1016	1016
INV_150_50	fuzzy	1	1051	1	-1	1051	1050
DEL_418_200	fuzzy	1	1201	1	-1	1201	1200
DEL_418_200	fuzzy	2	1001	0	0	1001	1001
DEL_10_1000	fuzzy	1	2001	0	-1	2001	2000
DEL_10_1000	fuzzy	2	1001	1	-1	1001	1000
DUP_450_50	fuzzy	1	1101	0	-1	1101	1100
DEL_571_500	fuzzy	1	1001	0	-1	1001	1000
COMPHET_DEL_607_50	fuzzy	1	1001	0	0	1001	1001
COMPHET_DEL_7_50	fuzzy	1	1001	0	-1	1001	1000
COMPHET_DEL_274_500	fuzzy	1	1151	0	0	1151	1151
COMPHET_DEL_274_500	fuzzy	2	1001	1	-1	1001	1000
COMPHET_DEL_107_50	fuzzy	1	1016	0	0	1016	1016
INV_714_200	fuzzy	1	1201	1	0	1201	1201
INV_214_200	fuzzy	1	1202	0	-1	1202	1201
COMPHET_DEL_767_1000	fuzzy	1	1301	0	0	1301	1301
COMPHET_DEL_767_1000	fuzzy	2	1002	1	-1	1001	1001
DEL_600_50	fuzzy	1	1001	0	0	1001	1001
DEL_400_50	fuzzy	1	1051	1	0	1051	1051
DEL_400_50	fuzzy	2	1001	0	-1	1001	1000
INV_50_50	fuzzy	1	1051	0	0	1051	1051
DUP_564_200	fuzzy	1	1401	0	0	1401	1401
DUP_589_500	fuzzy	1	2001	0	0	2001	2001
DUP_589_500	fuzzy	2	1501	1	0	1501	1501
INV_250_50	fuzzy	1	1051	0	0	1051	1051
COMPHET_DEL_460_500	fuzzy	1	1151	1	0	1151	1151
COMPHET_DEL_460_500	fuzzy	2	1001	0	0	1001	1001
COMPHET_DEL_342_1000	fuzzy	1	1301	1	0	1301	1301
COMPHET_DEL_342_1000	fuzzy	2	1001	0	-1	1001	1000
SHIFTED_COMPHET_131_1000	fuzzy	1	2751	1	0	2751	2751
SHIFTED_COMPHET_131_1000	fuzzy	2	1754	0	-13	1749	1743
DUP_164_200	fuzzy	1	1401	0	0	1401	1401
DUP_650_50	fuzzy	1	1101	0	0	1101	1101
DEL_57_200	fuzzy	1	1001	0	0	1001	1001
INV_550_50	fuzzy	1	1051	0	-1	1051	1050
INV_60_1000	fuzzy	1	2002	0	0	2002	2002
DEL_700_50	fuzzy	1	1065	1	-18	1049	1049
DEL_700_50	fuzzy	2	1001	0	0	1001	1001
DUP_464_200	fuzzy	1	1401	0	-1	1401	1400
COMPHET_DEL_403_200	fuzzy	1	1001	0	0	1001	1001
COMPHET_DEL_650_50	fuzzy	1	1016	1	0	1016	1016
INV_100_50	fuzzy	1	1052	0	-1	1051	1051
INV_624_1000	fuzzy	1	2001	0	0	2001	2001
INV_624_1000	fuzzy	2	2001	1	-2	2001	1999
INV_750_50	fuzzy	1	1051	0	-2	1051	1049
INV_314_200	fuzzy	1	1202	0	0	1202	1202
SHIFTED_COMPHET_407_50	fuzzy	1	1231	0	0	1231	1231
COMPHET_DEL_578_500	fuzzy	1	1151	1	0	1151	1151
COMPHET_DEL_578_500	fuzzy	2	1000	0	-17	994	990
DEL_682_200	fuzzy	1	1001	0	0	1001	1001
SHIFTED_COMPHET_257_50	fuzzy	1	1232	1	-1	1231	1231
SHIFTED_COMPHET_257_50	fuzzy	2	1181	0	0	1181	1181
INV_331_1000	fuzzy	1	1997	1	-4	1997	1996
INV_331_1000	fuzzy	2	2002	0	-1	2001	2001
DUP_246_500	fuzzy	1	2001	1	0	2001	2001
DUP_246_500	fuzzy	2	1502	0	-2	1501	1500
SHIFTED_COMPHET_357_50	fuzzy	1	1181	0	0	1181	1181
DUP_28_500	fuzzy	1	2001	0	0	2001	2001
DUP_167_500	fuzzy	1	2001	0	0	2001	2001
COMPHET_DEL_489_200	fuzzy	1	1061	0	0	1061	1061
COMPHET_DEL_489_200	fuzzy	2	1001	1	-1	1001	1000
SHIFTED_COMPHET_507_50	fuzzy	1	1181	0	-1	1181	1180
DEL_353_500	fuzzy	1	1001	0	0	1001	1001
SHIFTED_COMPHET_657_50	fuzzy	1	1231	0	0	1231	1231
SHIFTED_COMPHET_657_50	fuzzy	2	1181	1	0	1181	1181
DUP_250_50	fuzzy	1	1101	0	0	1101	1101
DUP_128_500	fuzzy	1	2001	0	0	2001	2001
INV_414_200	fuzzy	1	1200	1	-7	1197	1197
INV_414_200	fuzzy	2	1201	0	-2	1201	1199
DUP_553_500	fuzzy	1	2001	0	-1	2001	2000
DUP_553_500	fuzzy	2	1501	1	0	1501	1501
DEL_497_50	fuzzy	1	1051	1	-1	1051	1050
INV_735_1000	fuzzy	1	2001	0	-1	2001	2000
DEL_346_500	fuzzy	1	1001	0	0	1001	1001
DEL_0_50	fuzzy	1	1051	1	0	1051	1051
DEL_0_50	fuzzy	2	1001	0	0	1001	1001
COMPHET_DEL_450_50	fuzzy	1	1016	1	0	1016	1016
INV_646_500	fuzzy	1	1501	0	0	1501	1501
