VARIANT	METHOD	CONSENSUS_IDX	CONSENSUS_LENGTH	ALLELE_MATCH	SCORE	ALIGNED_BASES	MATCHED_BASES
DEL_439_200	fuzzy	1	1068	0	-37	1064	1035
DEL_125_50	fuzzy	1	1001	0	0	1001	1001
INV_450_50	fuzzy	1	1051	1	0	1051	1051
COMPHET_DEL_707_50	fuzzy	1	1016	0	0	1016	1016
DEL_100_50	fuzzy	1	1001	0	-1	1001	1000
INV_350_50	fuzzy	1	1051	1	0	1051	1051
COMPHET_DEL_507_50	fuzzy	1	1001	0	0	1001	1001
COMPHET_DEL_678_500	fuzzy	1	1151	1	0	1151	1151
SHIFTED_COMPHET_310_50	fuzzy	1	1182	1	0	1182	1182
SHIFTED_COMPHET_57_50	fuzzy	1	1181	0	-1	1181	1180
INV_214_200	fuzzy	1	1204	0	-2	1203	1202
DEL_554_50	fuzzy	1	1052	0	-2	1051	1050
DEL_554_50	fuzzy	2	1001	1	0	1001	1001
DEL_35_1000	fuzzy	1	1001	0	0	1001	1001
COMPHET_DEL_407_50	fuzzy	1	1001	0	0	1001	1001
COMPHET_DEL_307_50	fuzzy	1	1001	0	0	1001	1001
DEL_735_1000	fuzzy	1	1001	0	0	1001	1001
INV_650_50	fuzzy	1	1051	1	0	1051	1051
INV_753_1000	fuzzy	1	1899	0	-1	1899	1898
COMPHET_DEL_74_500	fuzzy	1	1151	1	0	1151	1151
COMPHET_DEL_74_500	fuzzy	2	1001	0	0	1001	1001
COMPHET_DEL_207_50	fuzzy	1	1016	1	0	1016	1016
COMPHET_DEL_192_1000	fuzzy	1	1301	0	0	1301	1301
INV_514_200	fuzzy	1	1201	0	-1	1201	1200
DUP_689_200	fuzzy	1	1401	1	0	1401	1401
DUP_689_200	fuzzy	2	1271	0	-42	1252	1229
DEL_700_50	fuzzy	1	1001	0	0	1001	1001
INV_50_50	fuzzy	1	1051	0	0	1051	1051
DEL_635_1000	fuzzy	1	1001	0	0	1001	1001
INV_150_50	fuzzy	1	1051	1	-1	1051	1050
DEL_235_1000	fuzzy	1	1001	0	0	1001	1001
INV_314_200	fuzzy	1	1204	0	-1	1203	1203
DEL_571_500	fuzzy	1	1001	0	-1	1001	1000
COMPHET_DEL_478_500	fuzzy	1	1151	1	0	1151	1151
COMPHET_DEL_478_500	fuzzy	2	1001	0	0	1001	1001
DEL_203_1000	fuzzy	1	2001	1	-1	2001	2000
DEL_203_1000	fuzzy	2	1001	0	0	1001	1001
INV_714_200	fuzzy	1	1201	1	0	1201	1201
COMPHET_DEL_107_50	fuzzy	1	1016	0	0	1016	1016
COMPHET_DEL_7_50	fuzzy	1	1001	0	-1	1001	1000
DUP_67_500	fuzzy	1	1501	0	0	1501	1501
SHIFTED_COMPHET_357_50	fuzzy	1	1181	0	0	1181	1181
DEL_200_50	fuzzy	1	1001	0	-1	1001	1000
INV_614_200	fuzzy	1	1203	0	-3	1201	1200
COMPHET_DEL_567_1000	fuzzy	1	1301	0	-1	1301	1300
COMPHET_DEL_567_1000	fuzzy	2	1001	1	0	1001	1001
DEL_768_200	fuzzy	1	1201	1	0	1201	1201
DEL_768_200	fuzzy	2	1001	0	-1	1001	1000
DEL_500_50	fuzzy	1	1001	0	0	1001	1001
DEL_57_200	fuzzy	1	1001	0	0	1001	1001
DUP_603_50	fuzzy	1	1101	1	0	1101	1101
DUP_603_50	fuzzy	2	1051	0	0	1051	1051
DEL_357_200	fuzzy	1	1001	0	0	1001	1001
DEL_400_50	fuzzy	1	1051	1	0	1051	1051
DEL_400_50	fuzzy	2	1001	0	-1	1001	1000
DUP_164_200	fuzzy	1	1401	0	0	1401	1401
DUP_764_200	fuzzy	1	1401	0	0	1401	1401
INV_250_50	fuzzy	1	1051	0	0	1051	1051
INV_550_50	fuzzy	1	1051	0	-1	1051	1050
COMPHET_DEL_89_200	fuzzy	1	1062	0	-1	1061	1061
COMPHET_DEL_89_200	fuzzy	2	1001	1	-1	1001	1000
DUP_350_50	fuzzy	1	1101	0	-1	1101	1100
INV_750_50	fuzzy	1	1051	0	-2	1051	1049
INV_331_1000	fuzzy	1	2001	1	-1	2001	2000
INV_331_1000	fuzzy	2	2012	0	-5	2008	2008
SHIFTED_COMPHET_657_50	fuzzy	1	1231	0	0	1231	1231
SHIFTED_COMPHET_657_50	fuzzy	2	1181	1	0	1181	1181
DUP_28_500	fuzzy	1	2001	0	-1	2001	2000
DEL_600_50	fuzzy	1	1001	0	0	1001	1001
SHIFTED_COMPHET_503_200	fuzzy	1	1471	1	-1	1471	1470
SHIFTED_COMPHET_503_200	fuzzy	2	1271	0	0	1271	1271
SHIFTED_COMPHET_457_50	fuzzy	1	1231	1	-1	1231	1230
SHIFTED_COMPHET_457_50	fuzzy	2	1159	0	-60	1146	1137
DUP_103_1000	fuzzy	1	2110	1	-116	2071	2011
DUP_103_1000	fuzzy	2	2002	0	-3	2001	1999
COMPHET_DEL_178_500	fuzzy	1	1153	0	-4	1151	1149
