VARIANT	METHOD	CONSENSUS_IDX	CONSENSUS_LENGTH	ALLELE_MATCH	SCORE	ALIGNED_BASES	MATCHED_BASES
DEL_35_1000	TRUE_HAP	1	1001	0	0	1001	1001
INV_550_50	TRUE_HAP	1	1051	0	0	1051	1051
INV_476_50	TRUE_HAP	1	1051	0	0	1051	1051
INV_750_50	TRUE_HAP	1	1051	0	-2	1051	1049
INV_653_50	TRUE_HAP	1	1052	0	-2	1052	1050
INV_450_50	TRUE_HAP	1	1051	0	-1	1051	1050
COMPHET_DEL_710_200	TRUE_HAP	1	1001	0	-1	1001	1000
COMPHET_DEL_710_200	TRUE_HAP	2	1061	1	0	1061	1061
COMPHET_DEL_278_500	TRUE_HAP	1	1001	0	0	1001	1001
COMPHET_DEL_278_500	TRUE_HAP	2	1151	1	0	1151	1151
COMPHET_DEL_678_500	TRUE_HAP	1	1001	0	0	1001	1001
COMPHET_DEL_678_500	TRUE_HAP	2	1151	1	0	1151	1151
INV_596_1000	TRUE_HAP	1	2003	0	0	2003	2003
DUP_364_200	TRUE_HAP	1	1401	0	0	1401	1401
DUP_364_200	TRUE_HAP	2	1201	1	0	1201	1201
COMPHET_DEL_142_1000	TRUE_HAP	1	1001	0	0	1001	1001
COMPHET_DEL_142_1000	TRUE_HAP	2	1301	1	0	1301	1301
SHIFTED_COMPHET_347_50	TRUE_HAP	1	1181	0	0	1181	1181
SHIFTED_COMPHET_347_50	TRUE_HAP	2	1231	1	0	1231	1231
COMPHET_DEL_42_1000	TRUE_HAP	1	1001	0	0	1001	1001
COMPHET_DEL_42_1000	TRUE_HAP	2	1301	1	0	1301	1301
INV_210_1000	TRUE_HAP	1	2003	0	0	2003	2003
COMPHET_DEL_478_500	TRUE_HAP	1	1001	0	0	1001	1001
COMPHET_DEL_478_500	TRUE_HAP	2	1151	1	0	1151	1151
DEL_632_200	TRUE_HAP	1	1201	0	0	1201	1201
DEL_632_200	TRUE_HAP	2	1003	1	-4	1002	999
COMPHET_DEL_207_50	TRUE_HAP	1	1016	1	0	1016	1016
DEL_635_1000	TRUE_HAP	1	1001	0	0	1001	1001
DUP_750_50	TRUE_HAP	1	1051	0	0	1051	1051
DUP_750_50	TRUE_HAP	2	1101	1	-1	1101	1100
INV_350_50	TRUE_HAP	1	1051	0	0	1051	1051
COMPHET_DEL_592_1000	TRUE_HAP	1	1301	0	-1	1301	1300
COMPHET_DEL_592_1000	TRUE_HAP	2	1001	1	0	1001	1001
COMPHET_DEL_782_200	TRUE_HAP	1	1061	0	0	1061	1061
COMPHET_DEL_782_200	TRUE_HAP	2	1001	1	0	1001	1001
INV_50_50	TRUE_HAP	1	1054	0	-2	1054	1052
COMPHET_DEL_307_50	TRUE_HAP	1	1016	1	0	1016	1016
INV_250_50	TRUE_HAP	1	1051	0	0	1051	1051
