VARIANT	METHOD	CONSENSUS_IDX	CONSENSUS_LENGTH	ALLELE_MATCH	SCORE	ALIGNED_BASES	MATCHED_BASES
DUP_532_50	abPOA	1	1101	0	0	1101	1101
COMPHET_DEL_7_50	abPOA	1	1001	0	-1	1001	1000
COMPHET_DEL_192_1000	abPOA	1	1001	1	0	1001	1001
DUP_382_50	abPOA	1	1067	0	-16	1051	1051
COMPHET_DEL_88_50	abPOA	1	1001	0	0	1001	1001
COMPHET_DEL_207_50	abPOA	1	1006	0	-5	1001	1001
DEL_710_1000	abPOA	1	1001	0	0	1001	1001
INV_750_50	abPOA	1	1051	1	0	1051	1051
COMPHET_DEL_539_50	abPOA	1	1001	1	0	1001	1001
INV_450_50	abPOA	1	1051	1	0	1051	1051
INV_614_200	abPOA	1	1202	0	-2	1201	1200
SHIFTED_COMPHET_321_200	abPOA	1	1472	1	-1	1471	1471
COMPHET_DEL_489_200	abPOA	1	1061	0	0	1061	1061
COMPHET_DEL_489_200	abPOA	2	1001	1	-1	1001	1000
COMPHET_DEL_578_500	abPOA	1	1151	1	0	1151	1151
COMPHET_DEL_578_500	abPOA	2	1001	0	-1	1001	1000
DUP_296_50	abPOA	1	1101	0	0	1101	1101
DUP_296_50	abPOA	2	1051	1	0	1051	1051
DEL_200_50	abPOA	1	1001	0	0	1001	1001
SHIFTED_COMPHET_582_50	abPOA	1	1232	0	-1	1231	1231
DEL_300_50	abPOA	1	1012	0	-11	1001	1001
INV_160_1000	abPOA	1	2103	0	0	2103	2103
DEL_0_50	abPOA	1	1051	1	0	1051	1051
DEL_0_50	abPOA	2	1001	0	0	1001	1001
DEL_82_50	abPOA	1	1051	1	0	1051	1051
DEL_635_1000	abPOA	1	1001	0	0	1001	1001
DEL_100_50	abPOA	1	1051	1	-1	1051	1050
DEL_100_50	abPOA	2	1001	0	-1	1001	1000
SHIFTED_COMPHET_757_50	abPOA	1	1181	0	-1	1181	1180
SHIFTED_COMPHET_457_50	abPOA	1	1235	1	-9	1231	1226
DEL_571_500	abPOA	1	1001	0	-2	1001	999
INV_246_50	abPOA	1	1051	1	0	1051	1051
DEL_603_500	abPOA	1	1501	1	0	1501	1501
DEL_603_500	abPOA	2	1001	0	0	1001	1001
COMPHET_DEL_189_200	abPOA	1	1060	0	-3	1060	1058
INV_50_50	abPOA	1	1051	0	0	1051	1051
DEL_735_1000	abPOA	1	1001	0	0	1001	1001
INV_346_1000	abPOA	1	2001	0	-1	2001	2000
COMPHET_DEL_678_500	abPOA	1	1151	1	0	1151	1151
COMPHET_DEL_107_50	abPOA	1	1016	0	0	1016	1016
DUP_364_200	abPOA	1	1201	1	0	1201	1201
COMPHET_DEL_278_500	abPOA	1	1151	1	0	1151	1151
COMPHET_DEL_278_500	abPOA	2	1001	0	0	1001	1001
INV_225_200	abPOA	1	1201	0	0	1201	1201
DUP_496_500	abPOA	1	2001	0	0	2001	2001
DEL_396_50	abPOA	1	1051	1	-1	1051	1050
COMPHET_DEL_42_1000	abPOA	1	1190	1	-114	1190	1187
COMPHET_DEL_707_50	abPOA	1	1016	0	0	1016	1016
COMPHET_DEL_47_1000	abPOA	1	1301	1	0	1301	1301
COMPHET_DEL_47_1000	abPOA	2	1001	0	-1	1001	1000
INV_150_50	abPOA	1	1051	1	-1	1051	1050
COMPHET_DEL_478_500	abPOA	1	1151	1	0	1151	1151
COMPHET_DEL_478_500	abPOA	2	1002	0	-1	1001	1001
DEL_546_500	abPOA	1	1501	1	0	1501	1501
DEL_546_500	abPOA	2	1001	0	0	1001	1001
INV_350_50	abPOA	1	1052	0	-2	1051	1050
SHIFTED_COMPHET_657_50	abPOA	1	1235	0	-6	1231	1229
SHIFTED_COMPHET_753_500	abPOA	1	1951	0	-1	1951	1950
SHIFTED_COMPHET_753_500	abPOA	2	1451	1	-1	1451	1450
COMPHET_DEL_418_200	abPOA	1	1060	1	-1	1060	1060
SHIFTED_COMPHET_257_50	abPOA	1	1230	1	-4	1230	1227
SHIFTED_COMPHET_557_50	abPOA	1	1231	0	-1	1231	1230
SHIFTED_COMPHET_557_50	abPOA	2	1181	1	-1	1181	1180
SHIFTED_COMPHET_7_50	abPOA	1	1181	0	0	1181	1181
INV_153_500	abPOA	1	1504	0	-10	1501	1494
INV_153_500	abPOA	2	747	1	-21	745	729
INV_650_50	abPOA	1	1051	1	0	1051	1051
INV_24_200	abPOA	1	1212	1	-42	1198	1173
DUP_282_500	abPOA	1	1579	0	-139	1564	1470
INV_739_200	abPOA	1	1203	1	-21	1198	1185
INV_250_50	abPOA	1	1051	0	0	1051	1051
COMPHET_DEL_507_50	abPOA	1	1001	0	0	1001	1001
DEL_400_50	abPOA	1	1051	1	0	1051	1051
DEL_400_50	abPOA	2	1001	0	-1	1001	1000
COMPHET_DEL_607_50	abPOA	1	1001	0	0	1001	1001
COMPHET_DEL_142_1000	abPOA	1	1301	1	0	1301	1301
COMPHET_DEL_142_1000	abPOA	2	1001	0	0	1001	1001
INV_368_200	abPOA	1	1201	0	0	1201	1201
INV_368_200	abPOA	2	1201	1	-1	1201	1200
SHIFTED_COMPHET_357_50	abPOA	1	1231	1	-1	1231	1230
SHIFTED_COMPHET_357_50	abPOA	2	1181	0	0	1181	1181
SHIFTED_COMPHET_503_500	abPOA	1	1944	1	-16	1942	1937
DEL_475_50	abPOA	1	1051	0	-1	1051	1050
DEL_475_50	abPOA	2	1001	1	0	1001	1001
COMPHET_DEL_592_1000	abPOA	1	1022	1	-21	1001	1001
SHIFTED_COMPHET_696_500	abPOA	1	1951	0	0	1951	1951
SHIFTED_COMPHET_696_500	abPOA	2	1451	1	0	1451	1451
COMPHET_DEL_78_500	abPOA	1	1151	1	-1	1151	1150
COMPHET_DEL_78_500	abPOA	2	1001	0	0	1001	1001
DUP_232_200	abPOA	1	1355	0	-46	1355	1355
INV_214_200	abPOA	1	1201	0	-1	1201	1200
SHIFTED_COMPHET_721_200	abPOA	1	1471	1	-1	1471	1470
SHIFTED_COMPHET_721_200	abPOA	2	1271	0	-2	1271	1269
COMPHET_DEL_532_50	abPOA	1	1016	1	0	1016	1016
INV_4_200	abPOA	1	1201	1	0	1201	1201
INV_4_200	abPOA	2	1201	0	0	1201	1201
DUP_425_50	abPOA	1	1101	0	0	1101	1101
COMPHET_DEL_296_50	abPOA	1	1016	0	0	1016	1016
