VARIANT	METHOD	CONSENSUS_IDX	CONSENSUS_LENGTH	ALLELE_MATCH	SCORE	ALIGNED_BASES	MATCHED_BASES
COMPHET_DEL_489_50	abPOA	1	1016	0	0	1016	1016
INV_750_50	abPOA	1	1051	1	0	1051	1051
DEL_0_50	abPOA	1	1046	1	-5	1046	1046
DUP_260_50	abPOA	1	1051	1	-1	1051	1050
DEL_25_200	abPOA	1	1001	0	0	1001	1001
INV_650_50	abPOA	1	1051	1	0	1051	1051
INV_525_50	abPOA	1	1051	0	0	1051	1051
DEL_100_50	abPOA	1	1051	1	-1	1051	1050
COMPHET_DEL_278_500	abPOA	1	1144	1	-8	1144	1143
SHIFTED_COMPHET_557_50	abPOA	1	1232	0	-15	1231	1217
SHIFTED_COMPHET_646_50	abPOA	1	1231	1	0	1231	1231
INV_403_200	abPOA	1	1205	0	-19	1200	1187
DEL_300_50	abPOA	1	1051	1	-1	1051	1050
DEL_300_50	abPOA	2	1001	0	0	1001	1001
DEL_511_500	abPOA	1	1001	0	-1	1001	1000
DEL_635_1000	abPOA	1	1001	0	0	1001	1001
COMPHET_DEL_207_50	abPOA	1	1016	1	0	1016	1016
SHIFTED_COMPHET_782_500	abPOA	1	1951	0	-2	1951	1949
DEL_317_500	abPOA	1	1501	1	0	1501	1501
DEL_317_500	abPOA	2	1001	0	0	1001	1001
COMPHET_DEL_478_500	abPOA	1	1151	1	0	1151	1151
COMPHET_DEL_478_500	abPOA	2	1001	0	0	1001	1001
DEL_700_50	abPOA	1	1051	1	0	1051	1051
DEL_700_50	abPOA	2	1001	0	0	1001	1001
SHIFTED_COMPHET_146_500	abPOA	1	1954	0	-7	1951	1947
COMPHET_DEL_142_1000	abPOA	1	1108	0	-107	1001	1001
COMPHET_DEL_307_50	abPOA	1	1016	1	0	1016	1016
DEL_61_50	abPOA	1	1051	0	0	1051	1051
DEL_61_50	abPOA	2	1001	1	0	1001	1001
INV_518_50	abPOA	1	1051	0	0	1051	1051
DEL_200_50	abPOA	1	1001	0	-1	1001	1000
COMPHET_DEL_578_500	abPOA	1	1151	1	0	1151	1151
COMPHET_DEL_578_500	abPOA	2	1001	0	-1	1001	1000
COMPHET_DEL_78_500	abPOA	1	1151	1	-1	1151	1150
COMPHET_DEL_78_500	abPOA	2	1001	0	0	1001	1001
DUP_664_200	abPOA	1	1401	1	0	1401	1401
DEL_739_1000	abPOA	1	1001	0	-1	1001	1000
COMPHET_DEL_707_50	abPOA	1	1016	0	0	1016	1016
INV_450_50	abPOA	1	1050	0	-5	1050	1046
COMPHET_DEL_107_50	abPOA	1	1016	0	0	1016	1016
COMPHET_DEL_660_1000	abPOA	1	1301	1	0	1301	1301
COMPHET_DEL_660_1000	abPOA	2	1001	0	-1	1001	1000
INV_532_50	abPOA	1	1051	0	0	1051	1051
SHIFTED_COMPHET_196_200	abPOA	1	1469	0	-25	1461	1454
COMPHET_DEL_324_500	abPOA	1	1151	1	0	1151	1151
COMPHET_DEL_324_500	abPOA	2	1001	0	0	1001	1001
COMPHET_DEL_7_50	abPOA	1	1001	0	-1	1001	1000
COMPHET_DEL_407_50	abPOA	1	1016	1	0	1016	1016
COMPHET_DEL_592_1000	abPOA	1	1003	1	-3	1001	1000
DUP_750_50	abPOA	1	1101	1	0	1101	1101
SHIFTED_COMPHET_657_50	abPOA	1	1231	0	0	1231	1231
INV_675_50	abPOA	1	1051	1	0	1051	1051
DEL_775_50	abPOA	1	1051	1	0	1051	1051
DEL_775_50	abPOA	2	1001	0	0	1001	1001
COMPHET_DEL_342_1000	abPOA	1	1301	1	0	1301	1301
COMPHET_DEL_342_1000	abPOA	2	1001	0	-1	1001	1000
SHIFTED_COMPHET_238_500	abPOA	1	1951	1	0	1951	1951
SHIFTED_COMPHET_238_500	abPOA	2	1451	0	0	1451	1451
INV_550_50	abPOA	1	1051	0	0	1051	1051
DEL_600_50	abPOA	1	1001	0	-1	1001	1000
DUP_464_200	abPOA	1	1401	0	-1	1401	1400
COMPHET_DEL_611_200	abPOA	1	1001	0	0	1001	1001
INV_88_1000	abPOA	1	2020	1	-124	1986	1911
COMPHET_DEL_178_500	abPOA	1	1151	0	-2	1151	1149
COMPHET_DEL_178_500	abPOA	2	1001	1	-1	1001	1000
DEL_271_500	abPOA	1	1501	0	0	1501	1501
DEL_271_500	abPOA	2	1001	1	0	1001	1001
INV_350_50	abPOA	1	1051	0	0	1051	1051
COMPHET_DEL_42_1000	abPOA	1	1301	1	0	1301	1301
COMPHET_DEL_42_1000	abPOA	2	1001	0	0	1001	1001
COMPHET_DEL_792_1000	abPOA	1	1301	1	-1	1301	1300
COMPHET_DEL_792_1000	abPOA	2	1001	0	0	1001	1001
INV_100_50	abPOA	1	1051	0	0	1051	1051
DEL_500_50	abPOA	1	1051	1	0	1051	1051
DEL_500_50	abPOA	2	1001	0	0	1001	1001
SHIFTED_COMPHET_618_50	abPOA	1	1230	0	-3	1230	1228
INV_214_200	abPOA	1	1207	0	-1	1207	1206
COMPHET_DEL_492_1000	abPOA	1	1301	0	0	1301	1301
INV_374_500	abPOA	1	1501	1	0	1501	1501
INV_374_500	abPOA	2	1501	0	-1	1501	1500
INV_314_200	abPOA	1	1201	0	0	1201	1201
INV_50_50	abPOA	1	1051	0	0	1051	1051
COMPHET_DEL_678_500	abPOA	1	1151	1	0	1151	1151
COMPHET_DEL_678_500	abPOA	2	1001	0	0	1001	1001
DUP_174_1000	abPOA	1	2002	0	-7	2000	1996
DEL_18_200	abPOA	1	1201	0	0	1201	1201
DEL_18_200	abPOA	2	1001	1	-1	1001	1000
INV_150_50	abPOA	1	1051	0	0	1051	1051
DEL_235_1000	abPOA	1	1001	0	0	1001	1001
INV_514_200	abPOA	1	1201	0	-1	1201	1200
DEL_400_50	abPOA	1	1051	1	0	1051	1051
COMPHET_DEL_607_50	abPOA	1	1016	1	0	1016	1016
DEL_35_1000	abPOA	1	1001	0	0	1001	1001
DEL_3_1000	abPOA	1	1001	0	-1	1001	1000
DEL_753_1000	abPOA	1	2001	0	0	2001	2001
DEL_753_1000	abPOA	2	1001	1	0	1001	1001
DUP_364_200	abPOA	1	1401	0	0	1401	1401
INV_182_200	abPOA	1	1206	0	-46	1195	1166
COMPHET_DEL_742_1000	abPOA	1	1301	1	-2	1301	1299
COMPHET_DEL_742_1000	abPOA	2	1001	0	0	1001	1001
INV_250_50	abPOA	1	1051	0	-1	1051	1050
DEL_571_500	abPOA	1	1001	0	-2	1001	999
SHIFTED_COMPHET_438_1000	abPOA	1	2751	1	-2	2751	2749
SHIFTED_COMPHET_438_1000	abPOA	2	1751	0	0	1751	1751
DUP_650_50	abPOA	1	1101	0	0	1101	1101
INV_414_200	abPOA	1	1214	1	-29	1198	1188
INV_189_200	abPOA	1	1204	1	-8	1201	1196
SHIFTED_COMPHET_321_200	abPOA	1	1470	1	-1	1470	1470
COMPHET_DEL_467_50	abPOA	1	1001	0	0	1001	1001
COMPHET_DEL_192_1000	abPOA	1	1301	0	0	1301	1301
COMPHET_DEL_192_1000	abPOA	2	1001	1	0	1001	1001
SHIFTED_COMPHET_57_50	abPOA	1	1231	1	0	1231	1231
SHIFTED_COMPHET_57_50	abPOA	2	1181	0	-1	1181	1180
SHIFTED_COMPHET_595_1000	abPOA	1	2751	1	-1	2751	2750
SHIFTED_COMPHET_595_1000	abPOA	2	1751	0	-1	1751	1750
SHIFTED_COMPHET_221_200	abPOA	1	1430	1	-103	1418	1380
DUP_682_500	abPOA	1	2001	1	-2	2001	1999
DUP_682_500	abPOA	2	1501	0	-1	1501	1500
