VARIANT	METHOD	CONSENSUS_IDX	CONSENSUS_LENGTH	ALLELE_MATCH	SCORE	ALIGNED_BASES	MATCHED_BASES
COMPHET_DEL_7_50	abPOA	1	1016	1	0	1016	1016
COMPHET_DEL_507_50	abPOA	1	1016	1	-1	1016	1015
DEL_735_1000	abPOA	1	1001	0	0	1001	1001
INV_125_50	abPOA	1	1051	0	0	1051	1051
DEL_200_50	abPOA	1	1001	0	0	1001	1001
DEL_635_1000	abPOA	1	1001	0	0	1001	1001
DEL_300_50	abPOA	1	1051	1	-1	1051	1050
INV_597_50	abPOA	1	1051	0	-1	1051	1050
DEL_368_500	abPOA	1	1501	1	0	1501	1501
DEL_35_1000	abPOA	1	1001	0	0	1001	1001
DUP_61_50	abPOA	1	1100	1	-1	1100	1100
DUP_61_50	abPOA	2	1051	0	0	1051	1051
COMPHET_DEL_778_500	abPOA	1	1001	0	0	1001	1001
DEL_100_50	abPOA	1	1051	1	-1	1051	1050
DEL_100_50	abPOA	2	1001	0	-1	1001	1000
SHIFTED_COMPHET_557_50	abPOA	1	1181	1	-1	1181	1180
DEL_235_1000	abPOA	1	1001	0	0	1001	1001
DUP_425_500	abPOA	1	2001	0	0	2001	2001
COMPHET_DEL_588_200	abPOA	1	1001	0	-1	1001	1000
SHIFTED_COMPHET_657_50	abPOA	1	1182	1	-1	1181	1181
SHIFTED_COMPHET_275_50	abPOA	1	1230	0	-1	1230	1230
SHIFTED_COMPHET_275_50	abPOA	2	1181	1	0	1181	1181
DUP_753_500	abPOA	1	2002	1	-1	2001	2001
INV_314_200	abPOA	1	1201	0	0	1201	1201
DUP_304_50	abPOA	1	1101	0	0	1101	1101
INV_414_200	abPOA	1	1201	1	0	1201	1201
INV_414_200	abPOA	2	1201	0	-2	1201	1199
COMPHET_DEL_207_50	abPOA	1	1016	1	0	1016	1016
DEL_571_500	abPOA	1	1001	0	-2	1001	999
INV_750_50	abPOA	1	1051	0	-2	1051	1049
