VARIANT	METHOD	CONSENSUS_IDX	CONSENSUS_LENGTH	ALLELE_MATCH	SCORE	ALIGNED_BASES	MATCHED_BASES
DEL_100_50	KMEANS	1	1002	0	-2	1001	1000
DEL_54_50	KMEANS	1	1051	1	0	1051	1051
COMPHET_DEL_725_200	KMEANS	1	1001	1	0	1001	1001
DEL_300_50	KMEANS	1	1021	0	-20	1001	1001
SHIFTED_COMPHET_57_50	KMEANS	1	1181	0	-1	1181	1180
DEL_375_50	KMEANS	1	1014	0	-18	999	998
COMPHET_DEL_592_1000	KMEANS	1	1003	1	-3	1001	1000
DEL_735_1000	KMEANS	1	1001	0	0	1001	1001
COMPHET_DEL_207_50	KMEANS	1	1016	1	0	1016	1016
INV_650_50	KMEANS	1	1051	1	0	1051	1051
INV_450_50	KMEANS	1	1053	1	-2	1051	1051
COMPHET_DEL_489_500	KMEANS	1	1154	0	-3	1151	1151
DEL_0_50	KMEANS	1	1051	1	0	1051	1051
INV_246_500	KMEANS	1	1500	0	0	1500	1500
COMPHET_DEL_152_500	KMEANS	1	1151	0	-2	1151	1149
COMPHET_DEL_152_500	KMEANS	2	1001	1	-1	1001	1000
COMPHET_DEL_678_500	KMEANS	1	1151	1	0	1151	1151
COMPHET_DEL_707_50	KMEANS	1	1001	1	0	1001	1001
COMPHET_DEL_178_500	KMEANS	1	1154	0	-10	1149	1146
COMPHET_DEL_507_50	KMEANS	1	1001	0	0	1001	1001
INV_350_50	KMEANS	1	1051	1	0	1051	1051
DEL_271_500	KMEANS	1	1489	1	-249	1420	1253
INV_610_1000	KMEANS	1	2003	0	-1	2003	2002
DEL_35_1000	KMEANS	1	1001	0	0	1001	1001
DUP_39_50	KMEANS	1	1101	0	0	1101	1101
DUP_39_50	KMEANS	2	1051	1	0	1051	1051
SHIFTED_COMPHET_482_200	KMEANS	1	1271	1	0	1271	1271
DEL_400_50	KMEANS	1	1051	1	0	1051	1051
DEL_400_50	KMEANS	2	1001	0	-1	1001	1000
DUP_589_200	KMEANS	1	1380	0	-80	1358	1343
DUP_589_200	KMEANS	2	1401	0	0	1401	1401
INV_614_200	KMEANS	1	1216	1	-21	1201	1195
INV_339_200	KMEANS	1	1201	1	0	1201	1201
INV_339_200	KMEANS	2	1201	0	0	1201	1201
COMPHET_DEL_578_500	KMEANS	1	1151	1	0	1151	1151
DUP_164_200	KMEANS	1	1401	0	0	1401	1401
DUP_450_50	KMEANS	1	1101	0	-1	1101	1100
DEL_57_200	KMEANS	1	1001	0	-1	1001	1000
DEL_635_1000	KMEANS	1	1011	0	-12	1001	999
DEL_446_1000	KMEANS	1	1001	0	0	1001	1001
COMPHET_DEL_307_50	KMEANS	1	1001	0	0	1001	1001
COMPHET_DEL_307_50	KMEANS	2	1012	0	-55	984	974
INV_214_200	KMEANS	1	1202	0	-1	1202	1201
INV_689_200	KMEANS	1	1201	0	0	1201	1201
DUP_532_50	KMEANS	1	1059	1	-9	1051	1050
COMPHET_DEL_792_1000	KMEANS	1	1301	1	-1	1301	1300
COMPHET_DEL_792_1000	KMEANS	2	1002	0	-1	1001	1001
SHIFTED_COMPHET_396_50	KMEANS	1	1231	1	0	1231	1231
SHIFTED_COMPHET_557_50	KMEANS	1	1231	0	-1	1231	1230
DUP_717_500	KMEANS	1	2001	1	0	2001	2001
DUP_717_500	KMEANS	2	1503	0	-3	1501	1500
INV_196_500	KMEANS	1	1501	1	0	1501	1501
INV_196_500	KMEANS	2	1501	0	0	1501	1501
COMPHET_DEL_582_50	KMEANS	1	1021	0	-39	994	989
COMPHET_DEL_492_1000	KMEANS	1	1301	0	0	1301	1301
COMPHET_DEL_492_1000	KMEANS	2	1001	1	0	1001	1001
INV_750_50	KMEANS	1	1051	1	0	1051	1051
INV_550_50	KMEANS	1	1051	0	-1	1051	1050
COMPHET_DEL_42_1000	KMEANS	1	1314	1	-14	1301	1300
COMPHET_DEL_42_1000	KMEANS	2	1003	0	-4	1000	1000
COMPHET_DEL_342_1000	KMEANS	1	1301	1	0	1301	1301
COMPHET_DEL_342_1000	KMEANS	2	1001	0	-1	1001	1000
COMPHET_DEL_642_1000	KMEANS	1	1301	0	-2	1301	1299
COMPHET_DEL_642_1000	KMEANS	2	1001	1	-2	1001	999
SHIFTED_COMPHET_425_50	KMEANS	1	1231	0	0	1231	1231
SHIFTED_COMPHET_425_50	KMEANS	2	1181	1	-1	1181	1180
SHIFTED_COMPHET_257_50	KMEANS	1	1166	0	-36	1158	1153
SHIFTED_COMPHET_257_50	KMEANS	2	1231	1	0	1231	1231
DUP_128_500	KMEANS	1	2001	0	0	2001	2001
INV_654_200	KMEANS	1	1226	0	-60	1189	1178
INV_654_200	KMEANS	2	1201	0	0	1201	1201
