VARIANT	METHOD	CONSENSUS_IDX	CONSENSUS_LENGTH	ALLELE_MATCH	SCORE	ALIGNED_BASES	MATCHED_BASES
DEL_100_50	ITER_POA_PERMISSIVE	1	1051	1	-1	1051	1050
DEL_300_50	ITER_POA_PERMISSIVE	1	1051	1	-1	1051	1050
INV_682_200	ITER_POA_PERMISSIVE	1	917	1	-3	917	916
COMPHET_DEL_707_50	ITER_POA_PERMISSIVE	1	1001	1	0	1001	1001
COMPHET_DEL_278_500	ITER_POA_PERMISSIVE	1	1151	1	0	1151	1151
DEL_635_1000	ITER_POA_PERMISSIVE	1	1001	0	0	1001	1001
COMPHET_DEL_475_50	ITER_POA_PERMISSIVE	1	1001	1	0	1001	1001
DUP_139_50	ITER_POA_PERMISSIVE	1	1051	1	-1	1051	1050
INV_450_50	ITER_POA_PERMISSIVE	1	1051	0	-1	1051	1050
SHIFTED_COMPHET_557_50	ITER_POA_PERMISSIVE	1	1231	0	-1	1231	1230
COMPHET_DEL_78_500	ITER_POA_PERMISSIVE	1	1151	1	-1	1151	1150
DEL_554_50	ITER_POA_PERMISSIVE	1	1051	0	-1	1051	1050
COMPHET_DEL_218_200	ITER_POA_PERMISSIVE	1	1001	0	0	1001	1001
COMPHET_DEL_74_500	ITER_POA_PERMISSIVE	1	1151	1	0	1151	1151
DEL_739_500	ITER_POA_PERMISSIVE	1	1501	0	-1	1501	1500
DEL_600_50	ITER_POA_PERMISSIVE	1	575	0	-2	575	575
SHIFTED_COMPHET_382_500	ITER_POA_PERMISSIVE	1	1951	0	0	1951	1951
DUP_364_200	ITER_POA_PERMISSIVE	1	1401	0	0	1401	1401
DEL_282_50	ITER_POA_PERMISSIVE	1	1051	1	0	1051	1051
COMPHET_DEL_142_1000	ITER_POA_PERMISSIVE	1	1301	1	0	1301	1301
DUP_403_50	ITER_POA_PERMISSIVE	1	1101	0	0	1101	1101
COMPHET_DEL_42_1000	ITER_POA_PERMISSIVE	1	1301	1	0	1301	1301
COMPHET_DEL_578_500	ITER_POA_PERMISSIVE	1	1151	1	0	1151	1151
SHIFTED_COMPHET_757_50	ITER_POA_PERMISSIVE	1	1231	1	-2	1231	1229
INV_214_200	ITER_POA_PERMISSIVE	1	1202	0	-1	1202	1201
COMPHET_DEL_442_1000	ITER_POA_PERMISSIVE	1	1301	0	0	1301	1301
DUP_782_200	ITER_POA_PERMISSIVE	1	1401	1	0	1401	1401
SHIFTED_COMPHET_657_50	ITER_POA_PERMISSIVE	1	1231	0	0	1231	1231
INV_204_50	ITER_POA_PERMISSIVE	1	929	0	-6	927	927
DEL_735_1000	ITER_POA_PERMISSIVE	1	1001	0	0	1001	1001
COMPHET_DEL_507_50	ITER_POA_PERMISSIVE	1	1001	0	0	1001	1001
DEL_235_1000	ITER_POA_PERMISSIVE	1	1002	0	0	1002	1002
COMPHET_DEL_342_1000	ITER_POA_PERMISSIVE	1	1301	1	0	1301	1301
INV_150_50	ITER_POA_PERMISSIVE	1	1051	1	-1	1051	1050
SHIFTED_COMPHET_57_50	ITER_POA_PERMISSIVE	1	1231	1	0	1231	1231
COMPHET_DEL_742_1000	ITER_POA_PERMISSIVE	1	577	0	-136	501	446
DEL_471_500	ITER_POA_PERMISSIVE	1	1501	0	0	1501	1501
DEL_432_500	ITER_POA_PERMISSIVE	1	1501	1	0	1501	1501
COMPHET_DEL_678_500	ITER_POA_PERMISSIVE	1	1151	1	0	1151	1151
COMPHET_DEL_782_200	ITER_POA_PERMISSIVE	1	1061	0	0	1061	1061
COMPHET_DEL_107_50	ITER_POA_PERMISSIVE	1	619	0	0	619	619
SHIFTED_COMPHET_317_500	ITER_POA_PERMISSIVE	1	1953	1	-1	1953	1952
DUP_246_200	ITER_POA_PERMISSIVE	1	1401	1	-1	1401	1400
