VARIANT	METHOD	CONSENSUS_IDX	CONSENSUS_LENGTH	ALLELE_MATCH	SCORE	ALIGNED_BASES	MATCHED_BASES
DEL_100_50	KMEANS	1	1002	0	-2	1001	1000
DEL_346_500	KMEANS	1	1001	0	0	1001	1001
INV_350_50	KMEANS	1	1057	1	-17	1051	1040
INV_450_50	KMEANS	1	1051	1	0	1051	1051
COMPHET_DEL_207_50	KMEANS	1	1016	1	0	1016	1016
COMPHET_DEL_578_500	KMEANS	1	1151	1	0	1151	1151
COMPHET_DEL_139_50	KMEANS	1	1016	0	-1	1016	1015
SHIFTED_COMPHET_757_50	KMEANS	1	1231	1	-2	1231	1229
DEL_635_1000	KMEANS	1	1001	0	0	1001	1001
COMPHET_DEL_225_50	KMEANS	1	1016	0	-1	1016	1015
SHIFTED_COMPHET_57_50	KMEANS	1	1181	0	-1	1181	1180
COMPHET_DEL_789_500	KMEANS	1	1002	0	-1	1001	1001
COMPHET_DEL_789_500	KMEANS	2	569	0	-75	548	522
DEL_300_50	KMEANS	1	1021	0	-20	1001	1001
COMPHET_DEL_482_200	KMEANS	1	929	0	-102	924	903
COMPHET_DEL_482_200	KMEANS	2	1011	0	-10	1001	1001
INV_382_50	KMEANS	1	1053	0	-2	1051	1051
SHIFTED_COMPHET_157_50	KMEANS	1	1231	1	0	1231	1231
COMPHET_DEL_78_500	KMEANS	1	1001	0	0	1001	1001
SHIFTED_COMPHET_457_50	KMEANS	1	1235	1	-5	1231	1230
COMPHET_DEL_678_500	KMEANS	1	1151	1	0	1151	1151
SHIFTED_COMPHET_557_50	KMEANS	1	1231	0	-1	1231	1230
COMPHET_DEL_767_500	KMEANS	1	1151	1	0	1151	1151
DEL_271_500	KMEANS	1	1489	1	-249	1420	1253
COMPHET_DEL_707_50	KMEANS	1	997	0	-48	987	978
COMPHET_DEL_707_50	KMEANS	2	1001	1	0	1001	1001
DUP_67_200	KMEANS	1	1401	0	0	1401	1401
DUP_67_200	KMEANS	2	1201	1	-1	1201	1200
DEL_35_1000	KMEANS	1	1001	0	0	1001	1001
COMPHET_DEL_407_50	KMEANS	1	1006	0	-9	999	999
COMPHET_DEL_342_1000	KMEANS	1	1014	0	-14	1001	1000
COMPHET_DEL_342_1000	KMEANS	2	591	1	-146	540	480
DEL_735_1000	KMEANS	1	1001	0	0	1001	1001
COMPHET_DEL_7_50	KMEANS	1	1001	0	-1	1001	1000
DUP_253_200	KMEANS	1	1401	0	0	1401	1401
DUP_253_200	KMEANS	2	1187	1	-18	1186	1184
COMPHET_DEL_192_1000	KMEANS	1	1301	0	0	1301	1301
COMPHET_DEL_192_1000	KMEANS	2	1002	1	-2	1001	1000
DUP_574_500	KMEANS	1	2001	1	0	2001	2001
DUP_574_500	KMEANS	2	1501	0	0	1501	1501
INV_650_50	KMEANS	1	1051	1	0	1051	1051
INV_650_50	KMEANS	2	888	1	-175	886	878
DUP_489_200	KMEANS	1	1401	1	-1	1401	1400
DUP_489_200	KMEANS	2	1201	0	0	1201	1201
COMPHET_DEL_542_1000	KMEANS	1	1301	0	0	1301	1301
COMPHET_DEL_542_1000	KMEANS	2	1002	1	-1	1001	1001
DEL_757_200	KMEANS	1	1001	0	0	1001	1001
SHIFTED_COMPHET_257_50	KMEANS	1	1182	0	-4	1180	1179
SHIFTED_COMPHET_257_50	KMEANS	2	940	1	-162	925	848
DEL_57_200	KMEANS	1	1001	0	-1	1001	1000
INV_150_50	KMEANS	1	1051	0	0	1051	1051
COMPHET_DEL_478_500	KMEANS	1	1151	1	0	1151	1151
COMPHET_DEL_478_500	KMEANS	2	1002	0	-1	1001	1001
COMPHET_DEL_378_500	KMEANS	1	1151	0	-1	1151	1150
COMPHET_DEL_378_500	KMEANS	2	1102	0	-70	1094	1089
INV_602_1000	KMEANS	1	2001	0	-2	2001	1999
INV_602_1000	KMEANS	2	2002	1	-1	2002	2001
SHIFTED_COMPHET_657_50	KMEANS	1	1195	1	-14	1181	1181
DEL_235_1000	KMEANS	1	1001	0	0	1001	1001
DEL_571_500	KMEANS	1	1020	0	-37	993	989
DEL_360_1000	KMEANS	1	2001	0	0	2001	2001
DEL_360_1000	KMEANS	2	1950	1	-202	1869	1782
INV_14_200	KMEANS	1	1209	1	-13	1203	1198
DEL_439_200	KMEANS	1	1002	0	-2	1001	1000
