VARIANT	METHOD	CONSENSUS_IDX	CONSENSUS_LENGTH	ALLELE_MATCH	SCORE	ALIGNED_BASES	MATCHED_BASES
COMPHET_DEL_707_50	KMEANS	1	1016	0	0	1016	1016
DEL_300_50	KMEANS	1	1012	0	-11	1001	1001
COMPHET_DEL_407_50	KMEANS	1	1016	1	0	1016	1016
DUP_64_200	KMEANS	1	1401	0	0	1401	1401
DEL_635_1000	KMEANS	1	1001	0	0	1001	1001
COMPHET_DEL_507_50	KMEANS	1	1016	1	0	1016	1016
DEL_200_50	KMEANS	1	1001	0	-1	1001	1000
DUP_789_50	KMEANS	1	1101	1	0	1101	1101
INV_114_200	KMEANS	1	1203	0	-2	1201	1201
DEL_735_1000	KMEANS	1	1001	0	0	1001	1001
COMPHET_DEL_78_500	KMEANS	1	1151	1	0	1151	1151
INV_553_200	KMEANS	1	1201	0	0	1201	1201
INV_553_200	KMEANS	2	830	1	-103	795	732
DEL_235_1000	KMEANS	1	1001	0	0	1001	1001
COMPHET_DEL_53_500	KMEANS	1	1151	0	-1	1151	1150
COMPHET_DEL_53_500	KMEANS	2	1001	1	0	1001	1001
COMPHET_DEL_607_50	KMEANS	1	1016	1	0	1016	1016
SHIFTED_COMPHET_357_50	KMEANS	1	1182	0	-1	1181	1181
INV_239_200	KMEANS	1	1201	1	0	1201	1201
INV_239_200	KMEANS	2	1201	0	-1	1201	1200
DEL_500_50	KMEANS	1	1051	1	0	1051	1051
DEL_100_50	KMEANS	1	1051	1	-2	1051	1049
INV_414_200	KMEANS	1	1201	1	0	1201	1201
COMPHET_DEL_7_50	KMEANS	1	1016	1	0	1016	1016
COMPHET_DEL_778_500	KMEANS	1	1004	0	-2	1002	1002
DEL_103_1000	KMEANS	1	1001	1	0	1001	1001
DEL_103_1000	KMEANS	2	2001	0	0	2001	2001
INV_374_1000	KMEANS	1	2002	0	-1	2002	2001
INV_374_1000	KMEANS	2	526	0	-38	519	491
INV_250_50	KMEANS	1	1051	0	0	1051	1051
DEL_571_500	KMEANS	1	1001	0	0	1001	1001
DEL_32_200	KMEANS	1	1001	0	-1	1001	1000
COMPHET_DEL_178_500	KMEANS	1	1001	1	-1	1001	1000
INV_450_50	KMEANS	1	1052	1	-1	1051	1051
