VARIANT	METHOD	CONSENSUS_IDX	CONSENSUS_LENGTH	ALLELE_MATCH	SCORE	ALIGNED_BASES	MATCHED_BASES
DEL_35_1000	Molephase	1	1001	0	0	1001	1001
DUP_764_200	Molephase	1	1401	0	0	1401	1401
INV_450_50	Molephase	1	1051	1	0	1051	1051
COMPHET_DEL_417_1000	Molephase	1	2042	1	-252	1961	1810
COMPHET_DEL_692_1000	Molephase	1	1001	1	0	1001	1001
COMPHET_DEL_692_1000	Molephase	2	1301	0	0	1301	1301
COMPHET_DEL_707_50	Molephase	1	1016	0	0	1016	1016
DEL_300_50	Molephase	1	1001	0	0	1001	1001
DEL_300_50	Molephase	2	1051	1	-1	1051	1050
COMPHET_DEL_142_1000	Molephase	1	1301	1	0	1301	1301
COMPHET_DEL_142_1000	Molephase	2	1063	0	-62	1001	1001
DEL_500_50	Molephase	1	1051	1	0	1051	1051
DEL_500_50	Molephase	2	1001	0	0	1001	1001
DUP_160_500	Molephase	1	2001	0	-2	2001	1999
DUP_275_50	Molephase	1	1051	1	-1	1051	1050
DUP_275_50	Molephase	2	1101	0	0	1101	1101
DUP_310_500	Molephase	1	2001	0	0	2001	2001
COMPHET_DEL_242_1000	Molephase	1	1001	0	0	1001	1001
COMPHET_DEL_242_1000	Molephase	2	1301	1	0	1301	1301
DEL_600_50	Molephase	1	1001	0	0	1001	1001
DUP_782_200	Molephase	1	1401	1	0	1401	1401
DUP_782_200	Molephase	2	1201	0	0	1201	1201
DEL_71_500	Molephase	1	1501	0	0	1501	1501
DEL_71_500	Molephase	2	1001	1	-1	1001	1000
COMPHET_DEL_492_1000	Molephase	1	1003	1	0	1003	1003
COMPHET_DEL_492_1000	Molephase	2	1301	0	0	1301	1301
DEL_700_50	Molephase	1	1001	0	0	1001	1001
DEL_700_50	Molephase	2	1051	1	0	1051	1051
COMPHET_DEL_132_50	Molephase	1	1016	0	-1	1016	1015
INV_250_50	Molephase	1	1051	0	-1	1051	1050
DUP_164_200	Molephase	1	1401	0	0	1401	1401
DEL_703_50	Molephase	1	1051	0	0	1051	1051
DEL_703_50	Molephase	2	1002	1	-1	1001	1001
COMPHET_DEL_78_500	Molephase	1	1001	0	0	1001	1001
COMPHET_DEL_78_500	Molephase	2	1154	1	-6	1150	1149
COMPHET_DEL_207_50	Molephase	1	1016	1	0	1016	1016
COMPHET_DEL_342_1000	Molephase	1	1001	0	-1	1001	1000
COMPHET_DEL_342_1000	Molephase	2	1301	1	0	1301	1301
INV_453_500	Molephase	1	1503	0	0	1503	1503
INV_453_500	Molephase	2	1501	1	0	1501	1501
DEL_346_200	Molephase	1	1001	0	0	1001	1001
DEL_346_200	Molephase	2	1202	1	-1	1201	1201
SHIFTED_COMPHET_246_200	Molephase	1	1271	1	0	1271	1271
SHIFTED_COMPHET_246_200	Molephase	2	1471	0	0	1471	1471
DEL_400_50	Molephase	1	1051	1	0	1051	1051
DEL_400_50	Molephase	2	1001	0	-1	1001	1000
