VARIANT	METHOD	CONSENSUS_IDX	CONSENSUS_LENGTH	ALLELE_MATCH	SCORE	ALIGNED_BASES	MATCHED_BASES
DEL_300_50	ITER_POA	1	1051	1	-1	1051	1050
DEL_635_1000	ITER_POA	1	1001	0	0	1001	1001
DEL_100_50	ITER_POA	1	1051	1	-1	1051	1050
COMPHET_DEL_511_50	ITER_POA	1	1016	1	0	1016	1016
COMPHET_DEL_278_500	ITER_POA	1	1151	1	0	1151	1151
COMPHET_DEL_796_200	ITER_POA	1	1061	0	-1	1061	1060
DEL_439_50	ITER_POA	1	1051	1	-1	1051	1050
COMPHET_DEL_7_50	ITER_POA	1	1002	0	-2	1001	1000
DEL_400_50	ITER_POA	1	1051	1	0	1051	1051
SHIFTED_COMPHET_757_50	ITER_POA	1	1231	1	-2	1231	1229
SHIFTED_COMPHET_689_50	ITER_POA	1	1231	0	0	1231	1231
COMPHET_DEL_592_1000	ITER_POA	1	1301	0	-1	1301	1300
DUP_282_200	ITER_POA	1	1401	0	-1	1401	1400
DUP_364_200	ITER_POA	1	1401	0	0	1401	1401
COMPHET_DEL_678_500	ITER_POA	1	1151	1	0	1151	1151
INV_739_200	ITER_POA	1	679	1	-2	678	677
INV_200_50	ITER_POA	1	1051	0	0	1051	1051
DUP_368_500	ITER_POA	1	2001	1	0	2001	2001
COMPHET_DEL_142_1000	ITER_POA	1	1301	1	0	1301	1301
DEL_153_1000	ITER_POA	1	2001	1	-1	2001	2000
SHIFTED_COMPHET_67_500	ITER_POA	1	1953	0	-1	1953	1952
COMPHET_DEL_78_500	ITER_POA	1	1151	1	-1	1151	1150
COMPHET_DEL_478_500	ITER_POA	1	1151	1	0	1151	1151
COMPHET_DEL_578_500	ITER_POA	1	1151	1	0	1151	1151
SHIFTED_COMPHET_682_50	ITER_POA	1	1231	0	-1	1231	1230
COMPHET_DEL_792_1000	ITER_POA	1	1301	1	-1	1301	1300
SHIFTED_COMPHET_432_200	ITER_POA	1	1471	0	0	1471	1471
INV_389_500	ITER_POA	1	539	0	-2	539	539
COMPHET_DEL_224_1000	ITER_POA	1	1301	1	-1	1301	1300
SHIFTED_COMPHET_657_50	ITER_POA	1	1231	0	0	1231	1231
COMPHET_DEL_507_50	ITER_POA	1	599	1	-1	599	599
COMPHET_DEL_342_1000	ITER_POA	1	1301	1	0	1301	1301
COMPHET_DEL_196_1000	ITER_POA	1	1301	0	-1	1301	1300
COMPHET_DEL_710_1000	ITER_POA	1	1301	0	0	1301	1301
DEL_517_1000	ITER_POA	1	2001	1	0	2001	2001
SHIFTED_COMPHET_157_50	ITER_POA	1	1231	1	0	1231	1231
DEL_735_1000	ITER_POA	1	1002	0	0	1002	1002
SHIFTED_COMPHET_317_200	ITER_POA	1	641	0	-2	641	640
INV_214_200	ITER_POA	1	1202	0	-1	1202	1201
COMPHET_DEL_442_1000	ITER_POA	1	1301	0	0	1301	1301
COMPHET_DEL_42_1000	ITER_POA	1	1301	1	0	1301	1301
SHIFTED_COMPHET_246_50	ITER_POA	1	1231	1	0	1231	1231
COMPHET_DEL_88_1000	ITER_POA	1	1301	0	0	1301	1301
DEL_161_50	ITER_POA	1	836	0	-7	836	836
DEL_554_50	ITER_POA	1	1051	0	-1	1051	1050
SHIFTED_COMPHET_557_50	ITER_POA	1	1231	0	-1	1231	1230
DEL_700_50	ITER_POA	1	1051	1	0	1051	1051
DEL_235_1000	ITER_POA	1	1001	0	0	1001	1001
COMPHET_DEL_731_1000	ITER_POA	1	1301	0	-1	1301	1300
DEL_371_500	ITER_POA	1	1501	1	0	1501	1501
SHIFTED_COMPHET_621_200	ITER_POA	1	1471	1	-3	1471	1468
DUP_618_500	ITER_POA	1	2001	1	0	2001	2001
COMPHET_DEL_192_1000	ITER_POA	1	1301	0	0	1301	1301
DUP_417_500	ITER_POA	1	2001	0	-2	2001	1999
SHIFTED_COMPHET_57_50	ITER_POA	1	1231	1	0	1231	1231
DUP_264_200	ITER_POA	1	565	0	-1	565	565
DUP_339_200	ITER_POA	1	1401	1	0	1401	1401
DEL_47_50	ITER_POA	1	1051	1	-2	1051	1049
COMPHET_DEL_211_200	ITER_POA	1	1061	1	0	1061	1061
DUP_464_200	ITER_POA	1	1401	0	-1	1401	1400
DUP_100_50	ITER_POA	1	1101	0	0	1101	1101
COMPHET_DEL_542_1000	ITER_POA	1	1301	0	0	1301	1301
DUP_739_200	ITER_POA	1	1401	1	0	1401	1401
DUP_50_50	ITER_POA	1	1101	1	0	1101	1101
DUP_664_200	ITER_POA	1	1401	1	0	1401	1401
SHIFTED_COMPHET_721_200	ITER_POA	1	1471	1	-1	1471	1470
SHIFTED_COMPHET_632_200	ITER_POA	1	1471	0	-1	1471	1470
INV_289_50	ITER_POA	1	1051	0	0	1051	1051
DEL_103_1000	ITER_POA	1	2001	0	0	2001	2001
DEL_600_50	ITER_POA	1	575	0	-2	575	575
DUP_382_200	ITER_POA	1	1401	0	0	1401	1401
SHIFTED_COMPHET_321_200	ITER_POA	1	1471	1	0	1471	1471
DEL_754_50	ITER_POA	1	1001	0	0	1001	1001
DUP_550_50	ITER_POA	1	1101	0	0	1101	1101
DEL_432_500	ITER_POA	1	1501	1	0	1501	1501
SHIFTED_COMPHET_221_200	ITER_POA	1	1471	1	0	1471	1471
DUP_3_500	ITER_POA	1	1501	0	0	1501	1501
DEL_471_500	ITER_POA	1	1501	0	0	1501	1501
DUP_750_50	ITER_POA	1	1101	1	-1	1101	1100
DEL_171_500	ITER_POA	1	1501	0	0	1501	1501
DUP_64_200	ITER_POA	1	1401	0	0	1401	1401
COMPHET_DEL_739_200	ITER_POA	1	1061	0	0	1061	1061
SHIFTED_COMPHET_218_200	ITER_POA	1	1471	0	0	1471	1471
SHIFTED_COMPHET_524_1000	ITER_POA	1	2751	0	-1	2751	2750
DEL_271_500	ITER_POA	1	1501	0	0	1501	1501
DEL_771_500	ITER_POA	1	896	0	0	896	896
DEL_671_500	ITER_POA	1	1501	0	-1	1501	1500
DEL_557_200	ITER_POA	1	1201	1	0	1201	1201
COMPHET_DEL_492_1000	ITER_POA	1	1301	0	0	1301	1301
SHIFTED_COMPHET_396_200	ITER_POA	1	1471	0	0	1471	1471
DUP_660_500	ITER_POA	1	2001	0	0	2001	2001
DEL_157_200	ITER_POA	1	1201	0	-1	1201	1200
INV_754_50	ITER_POA	1	1052	0	-1	1052	1051
COMPHET_DEL_546_500	ITER_POA	1	1151	1	-1	1151	1150
DEL_71_500	ITER_POA	1	1501	0	0	1501	1501
COMPHET_DEL_664_200	ITER_POA	1	1061	1	0	1061	1061
COMPHET_DEL_242_1000	ITER_POA	1	1301	1	0	1301	1301
COMPHET_DEL_564_200	ITER_POA	1	1061	1	0	1061	1061
SHIFTED_COMPHET_446_500	ITER_POA	1	1954	1	0	1954	1954
DUP_150_50	ITER_POA	1	1101	0	0	1101	1101
INV_360_500	ITER_POA	1	1505	1	-1	1504	1504
INV_554_50	ITER_POA	1	1051	1	0	1051	1051
COMPHET_DEL_250_50	ITER_POA	1	1016	0	0	1016	1016
DEL_435_1000	ITER_POA	1	2001	0	0	2001	2001
SHIFTED_COMPHET_607_50	ITER_POA	1	1231	1	0	1231	1231
SHIFTED_COMPHET_138_1000	ITER_POA	1	2752	1	-2	2752	2750
SHIFTED_COMPHET_796_200	ITER_POA	1	1472	1	-1	1472	1471
COMPHET_DEL_92_1000	ITER_POA	1	1301	1	0	1301	1301
DUP_728_500	ITER_POA	1	2001	0	-2	2001	1999
COMPHET_DEL_417_500	ITER_POA	1	1151	1	0	1151	1151
SHIFTED_COMPHET_107_50	ITER_POA	1	1231	1	0	1231	1231
DUP_60_1000	ITER_POA	1	3001	0	-2	3001	2999
DUP_646_500	ITER_POA	1	2001	1	0	2001	2001
COMPHET_DEL_117_200	ITER_POA	1	691	1	-2	691	690
COMPHET_DEL_264_200	ITER_POA	1	1061	0	-1	1061	1060
SHIFTED_COMPHET_511_50	ITER_POA	1	1231	1	0	1231	1231
COMPHET_DEL_650_50	ITER_POA	1	1016	1	0	1016	1016
COMPHET_DEL_464_200	ITER_POA	1	927	0	-1	927	927
COMPHET_DEL_392_1000	ITER_POA	1	2778	0	-847	2159	1965
COMPHET_DEL_392_1000	ITER_POA	2	1301	0	0	1301	1301
COMPHET_DEL_339_200	ITER_POA	1	1061	0	-2	1061	1059
COMPHET_DEL_100_50	ITER_POA	1	1001	1	-1	1001	1000
COMPHET_DEL_764_200	ITER_POA	1	1061	0	0	1061	1061
INV_432_500	ITER_POA	1	809	0	-5	809	808
DEL_535_1000	ITER_POA	1	2001	1	-2	2001	1999
DUP_0_50	ITER_POA	1	1101	0	0	1101	1101
DUP_267_1000	ITER_POA	1	3001	1	-1	3001	3000
INV_157_200	ITER_POA	1	1201	1	0	1201	1201
COMPHET_DEL_364_200	ITER_POA	1	1061	1	0	1061	1061
INV_457_200	ITER_POA	1	1203	1	-3	1203	1200
