VARIANT	METHOD	CONSENSUS_IDX	CONSENSUS_LENGTH	ALLELE_MATCH	SCORE	ALIGNED_BASES	MATCHED_BASES
DEL_439_50	ITER_POA_PERMISSIVE	1	1051	1	-1	1051	1050
COMPHET_DEL_707_50	ITER_POA_PERMISSIVE	1	1001	1	0	1001	1001
DEL_782_50	ITER_POA_PERMISSIVE	1	1001	1	0	1001	1001
COMPHET_DEL_578_500	ITER_POA_PERMISSIVE	1	1151	1	0	1151	1151
SHIFTED_COMPHET_218_200	ITER_POA_PERMISSIVE	1	1471	0	0	1471	1471
SHIFTED_COMPHET_89_200	ITER_POA_PERMISSIVE	1	1471	1	-1	1471	1470
SHIFTED_COMPHET_57_50	ITER_POA_PERMISSIVE	1	1231	1	0	1231	1231
COMPHET_DEL_192_1000	ITER_POA_PERMISSIVE	1	1301	0	0	1301	1301
DUP_389_200	ITER_POA_PERMISSIVE	1	1401	0	0	1401	1401
SHIFTED_COMPHET_482_50	ITER_POA_PERMISSIVE	1	1231	1	0	1231	1231
SHIFTED_COMPHET_618_50	ITER_POA_PERMISSIVE	1	1231	0	0	1231	1231
SHIFTED_COMPHET_221_200	ITER_POA_PERMISSIVE	1	1471	1	0	1471	1471
DEL_471_500	ITER_POA_PERMISSIVE	1	1501	0	0	1501	1501
DUP_750_50	ITER_POA_PERMISSIVE	1	1101	1	0	1101	1101
DEL_671_500	ITER_POA_PERMISSIVE	1	1501	0	-1	1501	1500
COMPHET_DEL_592_1000	ITER_POA_PERMISSIVE	1	1301	0	-1	1301	1300
INV_160_1000	ITER_POA_PERMISSIVE	1	2103	0	0	2103	2103
COMPHET_DEL_310_500	ITER_POA_PERMISSIVE	1	1151	0	0	1151	1151
DEL_71_500	ITER_POA_PERMISSIVE	1	1501	0	0	1501	1501
DEL_121_500	ITER_POA_PERMISSIVE	1	1501	0	0	1501	1501
DEL_700_50	ITER_POA_PERMISSIVE	1	1051	1	0	1051	1051
COMPHET_DEL_392_1000	ITER_POA_PERMISSIVE	1	1301	0	0	1301	1301
COMPHET_DEL_392_1000	ITER_POA_PERMISSIVE	2	2778	0	-847	2159	1965
SHIFTED_COMPHET_450_50	ITER_POA_PERMISSIVE	1	1231	1	0	1231	1231
COMPHET_DEL_614_200	ITER_POA_PERMISSIVE	1	1001	0	0	1001	1001
SHIFTED_COMPHET_557_50	ITER_POA_PERMISSIVE	1	1231	0	-1	1231	1230
SHIFTED_COMPHET_253_500	ITER_POA_PERMISSIVE	1	1951	0	-2	1951	1949
SHIFTED_COMPHET_739_500	ITER_POA_PERMISSIVE	1	1951	0	-3	1951	1948
SHIFTED_COMPHET_125_200	ITER_POA_PERMISSIVE	1	1471	0	-1	1471	1470
SHIFTED_COMPHET_446_500	ITER_POA_PERMISSIVE	1	1951	1	0	1951	1951
DUP_0_50	ITER_POA_PERMISSIVE	1	1051	1	0	1051	1051
DEL_171_500	ITER_POA_PERMISSIVE	1	1501	0	0	1501	1501
DUP_228_500	ITER_POA_PERMISSIVE	1	2001	1	0	2001	2001
COMPHET_DEL_671_500	ITER_POA_PERMISSIVE	1	1151	0	-1	1151	1150
COMPHET_DEL_564_200	ITER_POA_PERMISSIVE	1	1061	1	0	1061	1061
DUP_782_50	ITER_POA_PERMISSIVE	1	1101	0	0	1101	1101
DUP_510_1000	ITER_POA_PERMISSIVE	1	3001	1	-1	3001	3000
COMPHET_DEL_203_200	ITER_POA_PERMISSIVE	1	1061	1	-1	1061	1060
DEL_371_500	ITER_POA_PERMISSIVE	1	1501	1	0	1501	1501
COMPHET_DEL_64_200	ITER_POA_PERMISSIVE	1	1061	0	-1	1061	1060
SHIFTED_COMPHET_432_50	ITER_POA_PERMISSIVE	1	1231	0	0	1231	1231
SHIFTED_COMPHET_414_200	ITER_POA_PERMISSIVE	1	1471	0	-2	1471	1469
SHIFTED_COMPHET_139_200	ITER_POA_PERMISSIVE	1	1471	1	-1	1471	1470
DUP_150_50	ITER_POA_PERMISSIVE	1	1101	0	0	1101	1101
DUP_728_500	ITER_POA_PERMISSIVE	1	2001	0	-2	2001	1999
SHIFTED_COMPHET_2_1000	ITER_POA_PERMISSIVE	1	2751	0	-1	2751	2750
DEL_207_200	ITER_POA_PERMISSIVE	1	1201	1	0	1201	1201
SHIFTED_COMPHET_624_1000	ITER_POA_PERMISSIVE	1	2749	0	0	2749	2749
DUP_239_50	ITER_POA_PERMISSIVE	1	1051	0	0	1051	1051
DEL_557_200	ITER_POA_PERMISSIVE	1	1201	1	0	1201	1201
COMPHET_DEL_196_200	ITER_POA_PERMISSIVE	1	1061	1	0	1061	1061
DUP_568_200	ITER_POA_PERMISSIVE	1	1401	1	0	1401	1401
SHIFTED_COMPHET_331_1000	ITER_POA_PERMISSIVE	1	2751	0	0	2751	2751
DUP_700_50	ITER_POA_PERMISSIVE	1	1051	1	-1	1051	1050
SHIFTED_COMPHET_82_50	ITER_POA_PERMISSIVE	1	1231	1	0	1231	1231
DUP_114_200	ITER_POA_PERMISSIVE	1	1401	1	0	1401	1401
DUP_418_200	ITER_POA_PERMISSIVE	1	1401	1	0	1401	1401
DUP_275_50	ITER_POA_PERMISSIVE	1	1101	0	0	1101	1101
SHIFTED_COMPHET_364_200	ITER_POA_PERMISSIVE	1	1471	0	-1	1471	1470
SHIFTED_COMPHET_478_500	ITER_POA_PERMISSIVE	1	1951	0	0	1951	1951
COMPHET_DEL_525_200	ITER_POA_PERMISSIVE	1	1001	0	-2	1001	999
SHIFTED_COMPHET_264_200	ITER_POA_PERMISSIVE	1	1471	0	0	1471	1471
DUP_789_500	ITER_POA_PERMISSIVE	1	2001	1	-1	2001	2000
DEL_564_500	ITER_POA_PERMISSIVE	1	1501	1	0	1501	1501
DEL_764_500	ITER_POA_PERMISSIVE	1	1501	1	-1	1501	1500
DUP_400_50	ITER_POA_PERMISSIVE	1	1051	0	0	1051	1051
DUP_300_50	ITER_POA_PERMISSIVE	1	1051	0	-1	1051	1050
SHIFTED_COMPHET_439_50	ITER_POA_PERMISSIVE	1	1231	0	0	1231	1231
DEL_61_500	ITER_POA_PERMISSIVE	1	1501	1	0	1501	1501
DUP_689_500	ITER_POA_PERMISSIVE	1	2001	1	0	2001	2001
SHIFTED_COMPHET_642_1000	ITER_POA_PERMISSIVE	1	2751	1	-2	2751	2749
COMPHET_DEL_581_1000	ITER_POA_PERMISSIVE	1	1301	0	0	1301	1301
COMPHET_DEL_257_200	ITER_POA_PERMISSIVE	1	1001	1	0	1001	1001
COMPHET_DEL_760_1000	ITER_POA_PERMISSIVE	1	1302	0	-2	1301	1300
COMPHET_DEL_328_500	ITER_POA_PERMISSIVE	1	1151	1	0	1151	1151
COMPHET_DEL_528_500	ITER_POA_PERMISSIVE	1	1151	0	-1	1151	1150
SHIFTED_COMPHET_42_1000	ITER_POA_PERMISSIVE	1	2751	1	0	2751	2751
COMPHET_DEL_39_500	ITER_POA_PERMISSIVE	1	1151	1	0	1151	1151
DUP_218_500	ITER_POA_PERMISSIVE	1	2001	1	0	2001	2001
COMPHET_DEL_689_500	ITER_POA_PERMISSIVE	1	1151	0	0	1151	1151
DUP_121_500	ITER_POA_PERMISSIVE	1	2001	0	-1	2001	2000
COMPHET_DEL_560_1000	ITER_POA_PERMISSIVE	1	1301	0	0	1301	1301
DEL_718_200	ITER_POA_PERMISSIVE	1	1201	0	0	1201	1201
COMPHET_DEL_211_200	ITER_POA_PERMISSIVE	1	1001	0	-2	1001	999
SHIFTED_COMPHET_500_50	ITER_POA_PERMISSIVE	1	1231	0	-1	1231	1230
DEL_82_200	ITER_POA_PERMISSIVE	1	1201	0	0	1201	1201
DUP_471_500	ITER_POA_PERMISSIVE	1	2001	0	0	2001	2001
SHIFTED_COMPHET_50_50	ITER_POA_PERMISSIVE	1	1231	0	-1	1231	1230
DUP_131_1000	ITER_POA_PERMISSIVE	1	3001	0	-1	3001	3000
DUP_368_1000	ITER_POA_PERMISSIVE	1	3001	1	0	3001	3001
INV_143_50	ITER_POA_PERMISSIVE	1	1051	0	0	1051	1051
SHIFTED_COMPHET_378_500	ITER_POA_PERMISSIVE	1	1951	1	0	1951	1951
COMPHET_DEL_710_1000	ITER_POA_PERMISSIVE	1	1301	0	0	1301	1301
DEL_175_50	ITER_POA_PERMISSIVE	1	1001	0	0	1001	1001
DEL_443_50	ITER_POA_PERMISSIVE	1	1051	1	0	1051	1051
SHIFTED_COMPHET_742_1000	ITER_POA_PERMISSIVE	1	2751	0	0	2751	2751
COMPHET_DEL_14_200	ITER_POA_PERMISSIVE	1	1001	0	0	1001	1001
SHIFTED_COMPHET_100_50	ITER_POA_PERMISSIVE	1	1231	1	-3	1231	1228
SHIFTED_COMPHET_514_200	ITER_POA_PERMISSIVE	1	1471	0	0	1471	1471
SHIFTED_COMPHET_292_1000	ITER_POA_PERMISSIVE	1	2751	1	-2	2751	2749
DEL_596_1000	ITER_POA_PERMISSIVE	1	2001	1	-1	2001	2000
DUP_96_200	ITER_POA_PERMISSIVE	1	1401	1	0	1401	1401
DEL_350_200	ITER_POA_PERMISSIVE	1	1201	0	0	1201	1201
SHIFTED_COMPHET_692_1000	ITER_POA_PERMISSIVE	1	2751	1	-2	2751	2749
DUP_453_1000	ITER_POA_PERMISSIVE	1	3001	1	0	3001	3001
DUP_754_50	ITER_POA_PERMISSIVE	1	1101	0	0	1101	1101
SHIFTED_COMPHET_246_500	ITER_POA_PERMISSIVE	1	1951	0	0	1951	1951
SHIFTED_COMPHET_0_50	ITER_POA_PERMISSIVE	1	1231	1	0	1231	1231
SHIFTED_COMPHET_339_500	ITER_POA_PERMISSIVE	1	1951	0	-1	1951	1950
COMPHET_DEL_557_200	ITER_POA_PERMISSIVE	1	1061	1	0	1061	1061
SHIFTED_COMPHET_400_50	ITER_POA_PERMISSIVE	1	1231	1	-1	1231	1230
DEL_793_50	ITER_POA_PERMISSIVE	1	1001	1	0	1001	1001
SHIFTED_COMPHET_114_200	ITER_POA_PERMISSIVE	1	1471	0	0	1471	1471
COMPHET_DEL_10_500	ITER_POA_PERMISSIVE	1	1151	1	0	1151	1151
SHIFTED_COMPHET_602_1000	ITER_POA_PERMISSIVE	1	2751	0	-1	2751	2750
COMPHET_DEL_650_200	ITER_POA_PERMISSIVE	1	1061	0	0	1061	1061
SHIFTED_COMPHET_568_200	ITER_POA_PERMISSIVE	1	1471	1	0	1471	1471
COMPHET_DEL_482_200	ITER_POA_PERMISSIVE	1	1001	0	0	1001	1001
COMPHET_DEL_407_200	ITER_POA_PERMISSIVE	1	1061	0	0	1061	1061
COMPHET_DEL_707_200	ITER_POA_PERMISSIVE	1	1001	0	0	1001	1001
SHIFTED_COMPHET_228_500	ITER_POA_PERMISSIVE	1	1951	1	0	1951	1951
DUP_625_50	ITER_POA_PERMISSIVE	1	1051	1	-1	1051	1050
COMPHET_DEL_718_200	ITER_POA_PERMISSIVE	1	1061	0	0	1061	1061
SHIFTED_COMPHET_211_200	ITER_POA_PERMISSIVE	1	1471	0	-2	1471	1469
DEL_0_200	ITER_POA_PERMISSIVE	1	1201	1	0	1201	1201
COMPHET_DEL_550_200	ITER_POA_PERMISSIVE	1	1061	1	0	1061	1061
DEL_100_200	ITER_POA_PERMISSIVE	1	1201	0	0	1201	1201
SHIFTED_COMPHET_382_500	ITER_POA_PERMISSIVE	1	1951	0	0	1951	1951
DUP_153_1000	ITER_POA_PERMISSIVE	1	3001	0	-1	3001	3000
SHIFTED_COMPHET_657_200	ITER_POA_PERMISSIVE	1	1471	1	0	1471	1471
SHIFTED_COMPHET_418_200	ITER_POA_PERMISSIVE	1	1471	0	0	1471	1471
SHIFTED_COMPHET_275_50	ITER_POA_PERMISSIVE	1	1231	0	0	1231	1231
SHIFTED_COMPHET_143_50	ITER_POA_PERMISSIVE	1	1231	1	0	1231	1231
DEL_754_200	ITER_POA_PERMISSIVE	1	1201	1	-1	1201	1200
SHIFTED_COMPHET_342_1000	ITER_POA_PERMISSIVE	1	2751	0	-1	2751	2750
COMPHET_DEL_7_200	ITER_POA_PERMISSIVE	1	1001	1	-1	1001	1000
SHIFTED_COMPHET_46_1000	ITER_POA_PERMISSIVE	1	2752	1	-1	2752	2751
SHIFTED_COMPHET_471_500	ITER_POA_PERMISSIVE	1	1951	0	0	1951	1951
COMPHET_DEL_735_1000	ITER_POA_PERMISSIVE	1	1301	0	0	1301	1301
DUP_468_50	ITER_POA_PERMISSIVE	1	1101	0	-2	1101	1099
COMPHET_DEL_621_500	ITER_POA_PERMISSIVE	1	1151	0	0	1151	1151
DUP_389_500	ITER_POA_PERMISSIVE	1	2001	0	0	2001	2001
COMPHET_DEL_768_200	ITER_POA_PERMISSIVE	1	1001	0	-1	1001	1000
SHIFTED_COMPHET_189_200	ITER_POA_PERMISSIVE	1	1471	0	-1	1471	1470
COMPHET_DEL_96_200	ITER_POA_PERMISSIVE	1	1061	0	0	1061	1061
SHIFTED_COMPHET_521_500	ITER_POA_PERMISSIVE	1	1952	0	-2	1952	1950
SHIFTED_COMPHET_517_1000	ITER_POA_PERMISSIVE	1	2751	1	-1	2751	2750
DEL_114_500	ITER_POA_PERMISSIVE	1	1501	1	0	1501	1501
COMPHET_DEL_475_200	ITER_POA_PERMISSIVE	1	1001	1	0	1001	1001
SHIFTED_COMPHET_218_500	ITER_POA_PERMISSIVE	1	1951	1	0	1951	1951
COMPHET_DEL_302_1000	ITER_POA_PERMISSIVE	1	1301	0	0	1301	1301
COMPHET_DEL_782_200	ITER_POA_PERMISSIVE	1	1061	0	0	1061	1061
DUP_57_500	ITER_POA_PERMISSIVE	1	2001	1	-1	2001	2000
SHIFTED_COMPHET_638_1000	ITER_POA_PERMISSIVE	1	2751	1	-1	2751	2750
DEL_518_50	ITER_POA_PERMISSIVE	1	1001	0	0	1001	1001
DUP_543_50	ITER_POA_PERMISSIVE	1	1101	0	0	1101	1101
COMPHET_DEL_67_1000	ITER_POA_PERMISSIVE	1	1301	0	0	1301	1301
INV_657_500	ITER_POA_PERMISSIVE	1	1501	0	0	1501	1501
DUP_414_500	ITER_POA_PERMISSIVE	1	2001	1	-1	2001	2000
SHIFTED_COMPHET_721_500	ITER_POA_PERMISSIVE	1	1952	1	0	1952	1952
COMPHET_DEL_71_500	ITER_POA_PERMISSIVE	1	1151	1	-3	1151	1148
DEL_164_500	ITER_POA_PERMISSIVE	1	1501	0	-1	1501	1500
DUP_711_50	ITER_POA_PERMISSIVE	1	1051	0	0	1051	1051
COMPHET_DEL_389_500	ITER_POA_PERMISSIVE	1	1151	0	0	1151	1151
DEL_47_50	ITER_POA_PERMISSIVE	1	1001	0	-1	1001	1000
SHIFTED_COMPHET_646_200	ITER_POA_PERMISSIVE	1	1471	1	-1	1471	1470
COMPHET_DEL_43_200	ITER_POA_PERMISSIVE	1	1061	1	-1	1061	1060
DEL_218_1000	ITER_POA_PERMISSIVE	1	2001	1	-1	2001	2000
DUP_385_1000	ITER_POA_PERMISSIVE	1	3001	0	-1	3001	3000
DUP_235_1000	ITER_POA_PERMISSIVE	1	3001	0	0	3001	3001
COMPHET_DEL_764_500	ITER_POA_PERMISSIVE	1	1151	0	0	1151	1151
DUP_150_200	ITER_POA_PERMISSIVE	1	1401	1	0	1401	1401
DEL_457_500	ITER_POA_PERMISSIVE	1	1501	1	-1	1501	1500
COMPHET_DEL_57_500	ITER_POA_PERMISSIVE	1	1151	0	-1	1151	1150
SHIFTED_COMPHET_768_200	ITER_POA_PERMISSIVE	1	1471	0	0	1471	1471
DEL_675_50	ITER_POA_PERMISSIVE	1	1001	0	0	1001	1001
DUP_410_1000	ITER_POA_PERMISSIVE	1	3001	0	-1	3001	3000
SHIFTED_COMPHET_500_200	ITER_POA_PERMISSIVE	1	1471	0	-2	1471	1469
SHIFTED_COMPHET_181_1000	ITER_POA_PERMISSIVE	1	2751	0	-2	2751	2749
COMPHET_DEL_225_500	ITER_POA_PERMISSIVE	1	1151	0	0	1151	1151
COMPHET_DEL_157_200	ITER_POA_PERMISSIVE	1	1061	1	0	1061	1061
COMPHET_DEL_732_50	ITER_POA_PERMISSIVE	1	1016	1	0	1016	1016
COMPHET_DEL_285_1000	ITER_POA_PERMISSIVE	1	1301	1	0	1301	1301
SHIFTED_COMPHET_307_200	ITER_POA_PERMISSIVE	1	1471	0	0	1471	1471
DUP_574_1000	ITER_POA_PERMISSIVE	1	3001	1	-2	3001	2999
