VARIANT	METHOD	CONSENSUS_IDX	CONSENSUS_LENGTH	ALLELE_MATCH	SCORE	ALIGNED_BASES	MATCHED_BASES
DEL_635_1000	TRUE_HAP	1	1002	0	-1	1001	1001
COMPHET_DEL_560_50	TRUE_HAP	1	1017	0	-1	1016	1016
COMPHET_DEL_207_50	TRUE_HAP	1	1016	1	0	1016	1016
INV_450_50	TRUE_HAP	1	1052	1	-1	1051	1051
COMPHET_DEL_507_50	TRUE_HAP	1	1016	1	-1	1016	1015
DEL_300_50	TRUE_HAP	1	1001	0	0	1001	1001
DEL_300_50	TRUE_HAP	2	1051	1	-1	1051	1050
COMPHET_DEL_74_200	TRUE_HAP	1	1001	0	-2	1001	999
COMPHET_DEL_74_200	TRUE_HAP	2	1061	1	0	1061	1061
DEL_100_50	TRUE_HAP	1	1001	0	-1	1001	1000
DEL_100_50	TRUE_HAP	2	1051	1	-1	1051	1050
COMPHET_DEL_407_50	TRUE_HAP	1	1016	1	0	1016	1016
INV_339_200	TRUE_HAP	1	1201	0	0	1201	1201
INV_339_200	TRUE_HAP	2	1201	1	0	1201	1201
INV_714_200	TRUE_HAP	1	1202	0	-1	1201	1201
INV_714_200	TRUE_HAP	2	1201	1	0	1201	1201
COMPHET_DEL_678_500	TRUE_HAP	1	1001	0	0	1001	1001
COMPHET_DEL_678_500	TRUE_HAP	2	1151	1	0	1151	1151
COMPHET_DEL_78_500	TRUE_HAP	1	1001	0	0	1001	1001
COMPHET_DEL_78_500	TRUE_HAP	2	1153	1	-4	1151	1149
SHIFTED_COMPHET_239_50	TRUE_HAP	1	1181	0	-1	1181	1180
SHIFTED_COMPHET_239_50	TRUE_HAP	2	1231	1	-1	1231	1230
DEL_271_500	TRUE_HAP	1	1511	0	-15	1499	1498
DEL_271_500	TRUE_HAP	2	1001	1	0	1001	1001
INV_650_50	TRUE_HAP	1	1051	0	0	1051	1051
DEL_400_50	TRUE_HAP	1	1001	0	-1	1001	1000
DEL_400_50	TRUE_HAP	2	1051	1	0	1051	1051
COMPHET_DEL_342_1000	TRUE_HAP	1	1001	0	-1	1001	1000
COMPHET_DEL_342_1000	TRUE_HAP	2	1301	1	0	1301	1301
COMPHET_DEL_592_1000	TRUE_HAP	1	1301	0	-1	1301	1300
COMPHET_DEL_592_1000	TRUE_HAP	2	1001	1	0	1001	1001
DEL_775_1000	TRUE_HAP	1	2001	0	0	2001	2001
DEL_775_1000	TRUE_HAP	2	1001	1	-1	1001	1000
DEL_660_1000	TRUE_HAP	1	2001	0	0	2001	2001
DEL_660_1000	TRUE_HAP	2	1001	1	0	1001	1001
SHIFTED_COMPHET_425_500	TRUE_HAP	1	1957	0	0	1957	1957
SHIFTED_COMPHET_425_500	TRUE_HAP	2	1451	1	0	1451	1451
COMPHET_DEL_792_1000	TRUE_HAP	1	1002	0	-1	1001	1001
COMPHET_DEL_792_1000	TRUE_HAP	2	1301	1	-1	1301	1300
COMPHET_DEL_142_1000	TRUE_HAP	1	1002	0	-2	1001	1000
COMPHET_DEL_142_1000	TRUE_HAP	2	1301	1	0	1301	1301
DEL_0_50	TRUE_HAP	1	1001	0	0	1001	1001
DEL_0_50	TRUE_HAP	2	1051	1	0	1051	1051
COMPHET_DEL_231_1000	TRUE_HAP	1	1001	0	0	1001	1001
COMPHET_DEL_231_1000	TRUE_HAP	2	1301	1	0	1301	1301
DUP_710_50	TRUE_HAP	1	1101	0	0	1101	1101
COMPHET_DEL_478_500	TRUE_HAP	1	1001	0	0	1001	1001
COMPHET_DEL_478_500	TRUE_HAP	2	1151	1	0	1151	1151
SHIFTED_COMPHET_54_200	TRUE_HAP	1	1271	0	-1	1271	1270
SHIFTED_COMPHET_54_200	TRUE_HAP	2	1471	1	0	1471	1471
DEL_735_1000	TRUE_HAP	1	1001	0	0	1001	1001
INV_396_500	TRUE_HAP	1	1502	0	-4	1501	1498
INV_396_500	TRUE_HAP	2	1541	1	-2	1541	1540
COMPHET_DEL_378_500	TRUE_HAP	1	1151	0	-1	1151	1150
COMPHET_DEL_378_500	TRUE_HAP	2	1001	1	0	1001	1001
INV_50_50	TRUE_HAP	1	1051	0	0	1051	1051
SHIFTED_COMPHET_257_50	TRUE_HAP	1	1184	0	-3	1181	1181
SHIFTED_COMPHET_257_50	TRUE_HAP	2	1231	1	0	1231	1231
DUP_589_500	TRUE_HAP	1	2001	0	0	2001	2001
DUP_589_500	TRUE_HAP	2	1501	1	0	1501	1501
COMPHET_DEL_578_500	TRUE_HAP	1	1002	0	-2	1001	1000
COMPHET_DEL_578_500	TRUE_HAP	2	1151	1	0	1151	1151
DUP_167_1000	TRUE_HAP	1	3008	0	-8	3001	3000
DUP_664_200	TRUE_HAP	1	1201	0	0	1201	1201
DUP_664_200	TRUE_HAP	2	1402	1	-1	1401	1401
DEL_603_50	TRUE_HAP	1	1052	0	-1	1051	1051
DEL_603_50	TRUE_HAP	2	1001	1	0	1001	1001
COMPHET_DEL_410_500	TRUE_HAP	1	1001	0	-1	1001	1000
COMPHET_DEL_410_500	TRUE_HAP	2	1153	1	0	1153	1153
COMPHET_DEL_707_50	TRUE_HAP	1	1016	0	0	1016	1016
COMPHET_DEL_192_1000	TRUE_HAP	1	1301	0	0	1301	1301
COMPHET_DEL_192_1000	TRUE_HAP	2	1001	1	0	1001	1001
DEL_17_1000	TRUE_HAP	1	1001	0	0	1001	1001
DEL_35_1000	TRUE_HAP	1	1001	0	0	1001	1001
DEL_200_50	TRUE_HAP	1	1001	0	0	1001	1001
DEL_689_500	TRUE_HAP	1	1001	0	0	1001	1001
INV_718_200	TRUE_HAP	1	1201	0	0	1201	1201
INV_718_200	TRUE_HAP	2	1201	1	0	1201	1201
COMPHET_DEL_454_50	TRUE_HAP	1	1016	0	0	1016	1016
INV_150_50	TRUE_HAP	1	1051	0	0	1051	1051
COMPHET_DEL_7_50	TRUE_HAP	1	1017	1	-1	1016	1016
DEL_235_1000	TRUE_HAP	1	1001	0	0	1001	1001
INV_546_500	TRUE_HAP	1	1501	0	0	1501	1501
SHIFTED_COMPHET_457_50	TRUE_HAP	1	1181	0	-1	1181	1180
SHIFTED_COMPHET_457_50	TRUE_HAP	2	1231	1	-1	1231	1230
INV_632_50	TRUE_HAP	1	1051	0	0	1051	1051
DUP_364_200	TRUE_HAP	1	1400	0	-1	1400	1400
DUP_364_200	TRUE_HAP	2	1201	1	0	1201	1201
COMPHET_DEL_88_200	TRUE_HAP	1	1061	0	0	1061	1061
COMPHET_DEL_88_200	TRUE_HAP	2	1001	1	-1	1001	1000
SHIFTED_COMPHET_161_50	TRUE_HAP	1	1183	0	-2	1181	1181
