VARIANT	METHOD	CONSENSUS_IDX	CONSENSUS_LENGTH	ALLELE_MATCH	SCORE	ALIGNED_BASES	MATCHED_BASES
DEL_35_1000	ITER_POA	1	1001	0	0	1001	1001
COMPHET_DEL_407_50	ITER_POA	1	1016	1	0	1016	1016
DEL_200_50	ITER_POA	1	1001	0	-1	1001	1000
DEL_597_200	ITER_POA	1	1001	0	0	1001	1001
DEL_735_1000	ITER_POA	1	1002	0	0	1002	1002
DEL_635_1000	ITER_POA	1	1001	0	0	1001	1001
COMPHET_DEL_107_50	ITER_POA	1	1016	0	0	1016	1016
COMPHET_DEL_507_50	ITER_POA	1	1016	1	-1	1016	1015
COMPHET_DEL_702_50	ITER_POA	1	1002	0	-1	1001	1001
INV_668_200	ITER_POA	1	1203	0	-3	1201	1200
INV_50_50	ITER_POA	1	1053	0	-2	1051	1051
DUP_317_200	ITER_POA	1	1406	0	-5	1401	1401
DEL_571_500	ITER_POA	1	1001	0	0	1001	1001
INV_450_50	ITER_POA	1	1052	0	-2	1051	1050
COMPHET_DEL_607_50	ITER_POA	1	1016	1	0	1016	1016
DEL_300_50	ITER_POA	1	1051	1	-1	1051	1050
DEL_300_50	ITER_POA	2	1001	0	0	1001	1001
DEL_767_1000	ITER_POA	1	1001	0	0	1001	1001
INV_214_200	ITER_POA	1	1202	0	-1	1202	1201
COMPHET_DEL_132_1000	ITER_POA	1	1301	0	-1	1301	1300
COMPHET_DEL_132_1000	ITER_POA	2	1001	1	0	1001	1001
DUP_764_200	ITER_POA	1	1399	0	-2	1399	1399
SHIFTED_COMPHET_410_200	ITER_POA	1	1271	1	0	1271	1271
SHIFTED_COMPHET_410_200	ITER_POA	2	1471	0	0	1471	1471
INV_550_50	ITER_POA	1	1053	0	-2	1051	1051
COMPHET_DEL_307_50	ITER_POA	1	1001	0	0	1001	1001
COMPHET_DEL_178_500	ITER_POA	1	1152	0	-2	1152	1150
COMPHET_DEL_178_500	ITER_POA	2	1001	1	-1	1001	1000
COMPHET_DEL_639_200	ITER_POA	1	1001	1	0	1001	1001
COMPHET_DEL_639_200	ITER_POA	2	1061	0	0	1061	1061
DEL_739_200	ITER_POA	1	1001	0	0	1001	1001
COMPHET_DEL_196_50	ITER_POA	1	1001	1	-1	1001	1000
COMPHET_DEL_207_50	ITER_POA	1	1016	1	0	1016	1016
INV_24_500	ITER_POA	1	1505	0	-1	1504	1504
INV_24_500	ITER_POA	2	1500	1	-2	1500	1499
DEL_0_50	ITER_POA	1	1051	1	0	1051	1051
DEL_0_50	ITER_POA	2	1001	0	0	1001	1001
DEL_390_50	ITER_POA	1	1001	1	-2	1001	999
DEL_390_50	ITER_POA	2	1051	0	0	1051	1051
SHIFTED_COMPHET_553_200	ITER_POA	1	1471	1	0	1471	1471
SHIFTED_COMPHET_553_200	ITER_POA	2	1271	0	-1	1271	1270
COMPHET_DEL_678_500	ITER_POA	1	1003	0	-2	1001	1001
COMPHET_DEL_678_500	ITER_POA	2	1152	1	0	1152	1152
DEL_235_1000	ITER_POA	1	1002	0	0	1002	1002
SHIFTED_COMPHET_457_50	ITER_POA	1	1181	0	-1	1181	1180
SHIFTED_COMPHET_457_50	ITER_POA	2	1231	1	-1	1231	1230
COMPHET_DEL_578_500	ITER_POA	1	1151	1	0	1151	1151
COMPHET_DEL_578_500	ITER_POA	2	1001	0	-1	1001	1000
DEL_510_500	ITER_POA	1	1001	0	0	1001	1001
INV_354_200	ITER_POA	1	1201	0	0	1201	1201
COMPHET_DEL_792_1000	ITER_POA	1	1001	0	0	1001	1001
COMPHET_DEL_792_1000	ITER_POA	2	1301	1	-1	1301	1300
DUP_253_1000	ITER_POA	1	3001	0	-1	3001	3000
DEL_100_50	ITER_POA	1	1001	0	-1	1001	1000
DEL_100_50	ITER_POA	2	1051	1	-1	1051	1050
COMPHET_DEL_731_1000	ITER_POA	1	1301	0	-1	1301	1300
COMPHET_DEL_731_1000	ITER_POA	2	1001	1	0	1001	1001
INV_250_50	ITER_POA	1	1051	0	0	1051	1051
INV_489_1000	ITER_POA	1	2002	0	-2	2001	2001
COMPHET_DEL_78_500	ITER_POA	1	1151	1	-1	1151	1150
COMPHET_DEL_78_500	ITER_POA	2	1001	0	0	1001	1001
SHIFTED_COMPHET_357_50	ITER_POA	1	1181	0	0	1181	1181
SHIFTED_COMPHET_357_50	ITER_POA	2	1231	1	-1	1231	1230
SHIFTED_COMPHET_618_50	ITER_POA	1	1231	0	0	1231	1231
SHIFTED_COMPHET_618_50	ITER_POA	2	1182	1	-2	1181	1180
DEL_553_500	ITER_POA	1	1002	0	0	1002	1002
INV_390_50	ITER_POA	1	1051	1	0	1051	1051
INV_246_50	ITER_POA	1	1051	0	0	1051	1051
COMPHET_DEL_7_50	ITER_POA	1	1016	1	0	1016	1016
INV_475_50	ITER_POA	1	1051	1	-1	1051	1050
INV_350_50	ITER_POA	1	1051	1	0	1051	1051
DEL_789_200	ITER_POA	1	1203	0	-2	1201	1201
DEL_789_200	ITER_POA	2	1003	1	-2	1001	1001
DEL_671_500	ITER_POA	1	1501	0	-1	1501	1500
DEL_671_500	ITER_POA	2	1001	1	0	1001	1001
COMPHET_DEL_278_500	ITER_POA	1	1151	1	0	1151	1151
COMPHET_DEL_278_500	ITER_POA	2	1001	0	0	1001	1001
COMPHET_DEL_442_1000	ITER_POA	1	1301	0	0	1301	1301
COMPHET_DEL_442_1000	ITER_POA	2	1001	1	0	1001	1001
SHIFTED_COMPHET_557_50	ITER_POA	1	1231	0	-1	1231	1230
SHIFTED_COMPHET_557_50	ITER_POA	2	1181	1	-1	1181	1180
DEL_171_500	ITER_POA	1	1501	0	0	1501	1501
DEL_171_500	ITER_POA	2	1003	1	-2	1001	1001
SHIFTED_COMPHET_757_50	ITER_POA	1	1231	1	-2	1231	1229
SHIFTED_COMPHET_757_50	ITER_POA	2	1181	0	0	1181	1181
DEL_775_200	ITER_POA	1	1003	0	-2	1001	1001
INV_314_200	ITER_POA	1	1201	0	0	1201	1201
