VARIANT	METHOD	CONSENSUS_IDX	CONSENSUS_LENGTH	ALLELE_MATCH	SCORE	ALIGNED_BASES	MATCHED_BASES
COMPHET_DEL_7_50	KMEANS	1	1016	1	0	1016	1016
DEL_735_1000	KMEANS	1	1001	0	0	1001	1001
DEL_702_500	KMEANS	1	1001	0	0	1001	1001
DEL_635_1000	KMEANS	1	1001	0	0	1001	1001
DEL_235_1000	KMEANS	1	1001	0	0	1001	1001
COMPHET_DEL_539_50	KMEANS	1	1016	0	0	1016	1016
COMPHET_DEL_507_50	KMEANS	1	1001	0	0	1001	1001
SHIFTED_COMPHET_157_50	KMEANS	1	1181	0	0	1181	1181
INV_482_50	KMEANS	1	1057	1	-13	1051	1044
INV_414_200	KMEANS	1	1201	1	0	1201	1201
DEL_300_50	KMEANS	1	1051	1	-1	1051	1050
INV_750_50	KMEANS	1	1051	0	-2	1051	1049
COMPHET_DEL_203_1000	KMEANS	1	1301	0	0	1301	1301
COMPHET_DEL_203_1000	KMEANS	2	1001	1	0	1001	1001
COMPHET_DEL_607_50	KMEANS	1	1016	1	0	1016	1016
DEL_200_50	KMEANS	1	1001	0	0	1001	1001
INV_450_50	KMEANS	1	1052	1	-1	1051	1051
COMPHET_DEL_578_500	KMEANS	1	1151	1	0	1151	1151
SHIFTED_COMPHET_21_200	KMEANS	1	1472	1	-2	1471	1470
COMPHET_DEL_142_1000	KMEANS	1	1301	1	0	1301	1301
INV_53_1000	KMEANS	1	2002	0	-2	2001	2000
SHIFTED_COMPHET_439_50	KMEANS	1	1181	1	0	1181	1181
INV_782_500	KMEANS	1	1504	0	-3	1501	1501
COMPHET_DEL_707_50	KMEANS	1	1016	0	0	1016	1016
INV_314_200	KMEANS	1	1202	0	0	1202	1202
COMPHET_DEL_207_50	KMEANS	1	1016	1	0	1016	1016
INV_650_50	KMEANS	1	1051	0	0	1051	1051
COMPHET_DEL_492_1000	KMEANS	1	1076	1	-75	1001	1001
DEL_571_500	KMEANS	1	1001	0	-2	1001	999
DEL_131_1000	KMEANS	1	2002	0	-1	2001	2001
DEL_131_1000	KMEANS	2	1001	1	0	1001	1001
COMPHET_DEL_307_50	KMEANS	1	1017	1	-1	1016	1016
COMPHET_DEL_107_50	KMEANS	1	1016	0	0	1016	1016
INV_250_50	KMEANS	1	1051	0	-1	1051	1050
COMPHET_DEL_424_1000	KMEANS	1	1301	1	0	1301	1301
SHIFTED_COMPHET_657_50	KMEANS	1	1182	1	-1	1181	1181
INV_668_500	KMEANS	1	1501	1	-1	1501	1500
INV_668_500	KMEANS	2	1607	0	-50	1577	1558
COMPHET_DEL_778_500	KMEANS	1	1002	0	-1	1001	1001
COMPHET_DEL_778_500	KMEANS	2	641	1	-1	640	640
COMPHET_DEL_407_50	KMEANS	1	1035	1	-25	1024	1011
INV_510_500	KMEANS	1	1501	0	-2	1500	1500
INV_510_500	KMEANS	2	1502	1	-1	1501	1501
INV_89_500	KMEANS	1	1506	0	-3	1503	1503
INV_182_50	KMEANS	1	1053	0	-2	1051	1051
COMPHET_DEL_92_1000	KMEANS	1	1301	1	0	1301	1301
COMPHET_DEL_92_1000	KMEANS	2	1001	0	-1	1001	1000
