VARIANT	METHOD	CONSENSUS_IDX	CONSENSUS_LENGTH	ALLELE_MATCH	SCORE	ALIGNED_BASES	MATCHED_BASES
DEL_757_200	KMEANS	1	1001	0	0	1001	1001
DEL_357_200	KMEANS	1	1001	0	-1	1001	1000
COMPHET_DEL_464_200	KMEANS	1	1063	0	-2	1061	1061
COMPHET_DEL_628_500	KMEANS	1	1001	0	0	1001	1001
DUP_64_200	KMEANS	1	1401	0	0	1401	1401
INV_171_500	KMEANS	1	1501	0	0	1501	1501
COMPHET_DEL_228_500	KMEANS	1	1151	1	0	1151	1151
COMPHET_DEL_228_500	KMEANS	2	1001	0	0	1001	1001
COMPHET_DEL_498_200	KMEANS	1	1062	1	-2	1061	1060
COMPHET_DEL_498_200	KMEANS	2	1002	0	-1	1001	1001
DEL_321_500	KMEANS	1	1001	0	-2	1001	999
DEL_310_200	KMEANS	1	1202	1	-1	1201	1201
DEL_310_200	KMEANS	2	1002	0	-1	1001	1001
COMPHET_DEL_638_200	KMEANS	1	1061	1	0	1061	1061
COMPHET_DEL_638_200	KMEANS	2	1000	0	-2	1000	999
COMPHET_DEL_564_200	KMEANS	1	1061	1	0	1061	1061
COMPHET_DEL_564_200	KMEANS	2	1001	0	0	1001	1001
COMPHET_DEL_289_500	KMEANS	1	1150	0	-2	1150	1149
COMPHET_DEL_289_500	KMEANS	2	1002	1	-1	1001	1001
SHIFTED_COMPHET_607_50	KMEANS	1	1231	1	0	1231	1231
INV_50_50	KMEANS	1	1053	0	-2	1051	1051
SHIFTED_COMPHET_17_50	KMEANS	1	1181	0	0	1181	1181
SHIFTED_COMPHET_17_50	KMEANS	2	1231	1	-2	1231	1229
SHIFTED_COMPHET_597_200	KMEANS	1	1471	1	-1	1471	1470
SHIFTED_COMPHET_597_200	KMEANS	2	1271	0	-1	1271	1270
DUP_414_200	KMEANS	1	1401	0	0	1401	1401
DEL_721_500	KMEANS	1	1502	1	-1	1501	1501
DEL_721_500	KMEANS	2	1001	0	0	1001	1001
COMPHET_DEL_128_500	KMEANS	1	1151	1	0	1151	1151
COMPHET_DEL_128_500	KMEANS	2	1001	0	-1	1001	1000
DEL_35_1000	KMEANS	1	1001	0	0	1001	1001
COMPHET_DEL_303_50	KMEANS	1	1001	0	-1	1001	1000
COMPHET_DEL_647_50	KMEANS	1	1017	1	-1	1016	1016
DEL_657_200	KMEANS	1	1001	0	0	1001	1001
INV_500_50	KMEANS	1	1051	0	0	1051	1051
DUP_703_500	KMEANS	1	2001	1	-2	2001	1999
DUP_703_500	KMEANS	2	1501	0	-1	1501	1500
COMPHET_DEL_264_200	KMEANS	1	1061	0	-1	1061	1060
COMPHET_DEL_264_200	KMEANS	2	1001	1	-1	1001	1000
COMPHET_DEL_460_200	KMEANS	1	1061	1	0	1061	1061
COMPHET_DEL_460_200	KMEANS	2	1003	0	-2	1001	1001
SHIFTED_COMPHET_378_500	KMEANS	1	1452	0	-2	1451	1450
DEL_457_200	KMEANS	1	1201	1	0	1201	1201
DEL_457_200	KMEANS	2	1001	0	0	1001	1001
COMPHET_DEL_97_500	KMEANS	1	1151	0	0	1151	1151
COMPHET_DEL_97_500	KMEANS	2	1001	1	0	1001	1001
COMPHET_DEL_582_500	KMEANS	1	1151	0	-1	1151	1150
COMPHET_DEL_582_500	KMEANS	2	1001	1	-1	1001	1000
COMPHET_DEL_7_50	KMEANS	1	1016	1	0	1016	1016
DUP_650_50	KMEANS	1	1101	0	0	1101	1101
INV_200_50	KMEANS	1	1051	0	0	1051	1051
COMPHET_DEL_728_500	KMEANS	1	1151	1	0	1151	1151
COMPHET_DEL_728_500	KMEANS	2	1001	0	0	1001	1001
DEL_317_50	KMEANS	1	1051	1	0	1051	1051
DEL_317_50	KMEANS	2	1001	0	0	1001	1001
COMPHET_DEL_164_200	KMEANS	1	1061	0	0	1061	1061
COMPHET_DEL_164_200	KMEANS	2	1001	1	0	1001	1001
COMPHET_DEL_618_500	KMEANS	1	1155	0	-4	1151	1151
COMPHET_DEL_618_500	KMEANS	2	1002	1	-1	1001	1001
DUP_550_50	KMEANS	1	1101	0	0	1101	1101
DUP_550_50	KMEANS	2	1051	1	-1	1051	1050
DUP_24_200	KMEANS	1	1402	0	-2	1401	1400
DEL_607_200	KMEANS	1	1001	0	0	1001	1001
COMPHET_DEL_364_200	KMEANS	1	1061	1	0	1061	1061
COMPHET_DEL_364_200	KMEANS	2	1001	0	0	1001	1001
INV_100_50	KMEANS	1	1052	0	-1	1051	1051
SHIFTED_COMPHET_407_50	KMEANS	1	1181	1	0	1181	1181
SHIFTED_COMPHET_407_50	KMEANS	2	1231	0	0	1231	1231
COMPHET_DEL_64_200	KMEANS	1	1001	1	-3	1001	998
COMPHET_DEL_64_200	KMEANS	2	1061	0	-1	1061	1060
DUP_196_1000	KMEANS	1	3001	0	-2	3001	2999
DUP_196_1000	KMEANS	2	2001	1	0	2001	2001
INV_554_200	KMEANS	1	1201	0	0	1201	1201
INV_554_200	KMEANS	2	1202	1	-2	1202	1200
INV_300_50	KMEANS	1	1051	0	0	1051	1051
INV_400_50	KMEANS	1	1051	0	-2	1051	1049
INV_671_500	KMEANS	1	1502	0	-1	1502	1501
SHIFTED_COMPHET_707_50	KMEANS	1	1232	0	-4	1230	1229
