VARIANT	METHOD	CONSENSUS_IDX	CONSENSUS_LENGTH	ALLELE_MATCH	SCORE	ALIGNED_BASES	MATCHED_BASES
DEL_310_50	KMEANS	1	1006	0	-5	1001	1001
COMPHET_DEL_678_500	KMEANS	1	1151	1	0	1151	1151
COMPHET_DEL_407_50	KMEANS	1	1012	0	-11	1001	1001
DEL_296_50	KMEANS	1	1051	0	0	1051	1051
INV_767_200	KMEANS	1	1202	0	-1	1201	1201
DUP_18_50	KMEANS	1	1101	1	-1	1101	1100
DUP_18_50	KMEANS	2	1052	0	-1	1051	1051
COMPHET_DEL_578_500	KMEANS	1	1151	1	0	1151	1151
COMPHET_DEL_578_500	KMEANS	2	1002	0	-26	992	985
COMPHET_DEL_192_1000	KMEANS	1	1301	0	0	1301	1301
COMPHET_DEL_192_1000	KMEANS	2	1001	1	0	1001	1001
SHIFTED_COMPHET_625_50	KMEANS	1	1196	1	-16	1181	1180
SHIFTED_COMPHET_625_50	KMEANS	2	1158	1	-71	1143	1124
SHIFTED_COMPHET_489_50	KMEANS	1	1231	0	-1	1231	1230
SHIFTED_COMPHET_489_50	KMEANS	2	1181	1	-2	1181	1179
DUP_596_200	KMEANS	1	1401	1	0	1401	1401
DUP_596_200	KMEANS	2	1201	0	0	1201	1201
COMPHET_DEL_42_1000	KMEANS	1	1301	1	0	1301	1301
COMPHET_DEL_42_1000	KMEANS	2	1001	0	0	1001	1001
COMPHET_DEL_242_1000	KMEANS	1	1301	1	0	1301	1301
COMPHET_DEL_242_1000	KMEANS	2	1001	0	0	1001	1001
INV_714_200	KMEANS	1	1202	1	0	1202	1202
INV_714_200	KMEANS	2	1201	0	0	1201	1201
COMPHET_DEL_218_200	KMEANS	1	1061	1	0	1061	1061
COMPHET_DEL_218_200	KMEANS	2	1001	0	0	1001	1001
SHIFTED_COMPHET_321_200	KMEANS	1	1471	1	0	1471	1471
SHIFTED_COMPHET_321_200	KMEANS	2	1271	0	0	1271	1271
COMPHET_DEL_592_1000	KMEANS	1	1001	1	0	1001	1001
INV_167_500	KMEANS	1	1501	1	-1	1501	1500
INV_167_500	KMEANS	2	1502	0	-1	1502	1501
COMPHET_DEL_478_500	KMEANS	1	1151	1	0	1151	1151
COMPHET_DEL_478_500	KMEANS	2	1027	0	-79	985	964
INV_720_200	KMEANS	1	1227	1	-44	1200	1184
INV_720_200	KMEANS	2	1196	1	-52	1180	1165
COMPHET_DEL_7_50	KMEANS	1	1016	1	0	1016	1016
COMPHET_DEL_178_500	KMEANS	1	1014	1	-15	1001	999
COMPHET_DEL_178_500	KMEANS	2	1155	0	-8	1150	1148
INV_614_200	KMEANS	1	1201	1	0	1201	1201
INV_614_200	KMEANS	2	1201	0	-3	1200	1199
SHIFTED_COMPHET_757_50	KMEANS	1	1181	0	0	1181	1181
COMPHET_DEL_431_1000	KMEANS	1	1301	1	-1	1301	1300
COMPHET_DEL_431_1000	KMEANS	2	1001	0	0	1001	1001
SHIFTED_COMPHET_225_50	KMEANS	1	1232	0	-2	1231	1230
SHIFTED_COMPHET_225_50	KMEANS	2	1183	1	-4	1180	1180
DEL_632_500	KMEANS	1	1501	0	0	1501	1501
DEL_632_500	KMEANS	2	1001	1	0	1001	1001
INV_50_50	KMEANS	1	1052	0	-1	1051	1051
DEL_200_50	KMEANS	1	972	0	-50	965	958
DEL_200_50	KMEANS	2	1001	0	0	1001	1001
COMPHET_DEL_342_1000	KMEANS	1	1301	1	0	1301	1301
COMPHET_DEL_342_1000	KMEANS	2	1001	0	-1	1001	1000
INV_450_50	KMEANS	1	1051	1	0	1051	1051
INV_450_50	KMEANS	2	1046	0	-30	1036	1031
SHIFTED_COMPHET_125_50	KMEANS	1	1231	1	0	1231	1231
SHIFTED_COMPHET_125_50	KMEANS	2	1181	0	-1	1181	1180
COMPHET_DEL_607_50	KMEANS	1	1001	0	0	1001	1001
INV_514_200	KMEANS	1	1201	0	-1	1201	1200
INV_514_200	KMEANS	2	1204	1	-1	1204	1203
DEL_35_1000	KMEANS	1	1001	0	0	1001	1001
DEL_235_1000	KMEANS	1	1014	0	-21	997	997
COMPHET_DEL_142_1000	KMEANS	1	1301	1	0	1301	1301
COMPHET_DEL_142_1000	KMEANS	2	1001	0	0	1001	1001
DUP_364_200	KMEANS	1	1241	1	-40	1201	1201
COMPHET_DEL_447_50	KMEANS	1	1003	1	-33	989	982
COMPHET_DEL_447_50	KMEANS	2	1016	0	0	1016	1016
DEL_635_1000	KMEANS	1	1001	0	0	1001	1001
DEL_571_500	KMEANS	1	1011	0	-14	1001	997
SHIFTED_COMPHET_421_200	KMEANS	1	1271	0	0	1271	1271
COMPHET_DEL_742_1000	KMEANS	1	1301	1	-2	1301	1299
COMPHET_DEL_742_1000	KMEANS	2	1001	0	0	1001	1001
DEL_732_1000	KMEANS	1	2001	1	-1	2001	2000
DEL_732_1000	KMEANS	2	1001	0	0	1001	1001
COMPHET_DEL_207_50	KMEANS	1	1016	1	0	1016	1016
