VARIANT	METHOD	CONSENSUS_IDX	CONSENSUS_LENGTH	ALLELE_MATCH	SCORE	ALIGNED_BASES	MATCHED_BASES
COMPHET_DEL_7_50	ITER_POA	1	1001	0	-1	1001	1000
DEL_635_1000	ITER_POA	1	1001	0	0	1001	1001
COMPHET_DEL_707_50	ITER_POA	1	1016	0	0	1016	1016
COMPHET_DEL_578_500	ITER_POA	1	1151	1	0	1151	1151
COMPHET_DEL_317_500	ITER_POA	1	1151	0	0	1151	1151
DEL_254_50	ITER_POA	1	1001	0	0	1001	1001
DEL_300_50	ITER_POA	1	1051	1	-1	1051	1050
DEL_235_1000	ITER_POA	1	1001	0	0	1001	1001
COMPHET_DEL_539_500	ITER_POA	1	1151	0	0	1151	1151
SHIFTED_COMPHET_789_200	ITER_POA	1	1471	1	0	1471	1471
COMPHET_DEL_142_1000	ITER_POA	1	1301	1	0	1301	1301
COMPHET_DEL_624_1000	ITER_POA	1	1301	1	0	1301	1301
SHIFTED_COMPHET_102_200	ITER_POA	1	1471	0	0	1471	1471
COMPHET_DEL_478_500	ITER_POA	1	1151	1	0	1151	1151
COMPHET_DEL_678_500	ITER_POA	1	1151	1	0	1151	1151
DEL_735_1000	ITER_POA	1	1001	0	0	1001	1001
COMPHET_DEL_417_1000	ITER_POA	1	2022	1	-212	1961	1830
COMPHET_DEL_42_1000	ITER_POA	1	1301	1	0	1301	1301
DUP_332_50	ITER_POA	1	1101	0	-1	1101	1100
INV_554_50	ITER_POA	1	1051	1	0	1051	1051
COMPHET_DEL_592_1000	ITER_POA	1	1301	0	-1	1301	1300
DEL_147_50	ITER_POA	1	1051	1	-1	1051	1050
DEL_100_50	ITER_POA	1	1051	1	-1	1051	1050
DEL_371_500	ITER_POA	1	1501	1	0	1501	1501
COMPHET_DEL_492_1000	ITER_POA	1	1301	0	0	1301	1301
DEL_271_500	ITER_POA	1	1501	0	0	1501	1501
SHIFTED_COMPHET_657_50	ITER_POA	1	1231	0	0	1231	1231
COMPHET_DEL_78_500	ITER_POA	1	1151	1	-1	1151	1150
SHIFTED_COMPHET_432_50	ITER_POA	1	1231	0	0	1231	1231
INV_525_50	ITER_POA	1	1051	0	0	1051	1051
COMPHET_DEL_792_1000	ITER_POA	1	1301	1	-1	1301	1300
SHIFTED_COMPHET_557_50	ITER_POA	1	1231	0	-1	1231	1230
DUP_81_1000	ITER_POA	1	3001	1	0	3001	3001
SHIFTED_COMPHET_211_500	ITER_POA	1	1951	0	-1	1951	1950
DUP_339_200	ITER_POA	1	1401	1	0	1401	1401
DUP_646_500	ITER_POA	1	2001	1	0	2001	2001
DEL_139_200	ITER_POA	1	1201	1	0	1201	1201
COMPHET_DEL_442_1000	ITER_POA	1	1301	0	0	1301	1301
COMPHET_DEL_192_1000	ITER_POA	1	1301	0	0	1301	1301
SHIFTED_COMPHET_57_50	ITER_POA	1	1231	1	0	1231	1231
SHIFTED_COMPHET_221_200	ITER_POA	1	1471	1	0	1471	1471
SHIFTED_COMPHET_757_50	ITER_POA	1	1231	1	-2	1231	1229
SHIFTED_COMPHET_621_200	ITER_POA	1	1471	1	-3	1471	1468
COMPHET_DEL_517_1000	ITER_POA	1	1301	0	0	1301	1301
COMPHET_DEL_267_1000	ITER_POA	1	1301	1	-1	1301	1300
COMPHET_DEL_339_200	ITER_POA	1	1061	0	-2	1061	1059
COMPHET_DEL_542_1000	ITER_POA	1	1301	0	0	1301	1301
SHIFTED_COMPHET_60_200	ITER_POA	1	1471	1	0	1471	1471
DUP_632_200	ITER_POA	1	1401	0	0	1401	1401
DUP_150_50	ITER_POA	1	1101	0	0	1101	1101
SHIFTED_COMPHET_7_50	ITER_POA	1	1231	1	0	1231	1231
COMPHET_DEL_278_500	ITER_POA	1	1151	1	0	1151	1151
DUP_750_50	ITER_POA	1	1101	1	-1	1101	1100
DEL_110_500	ITER_POA	1	1501	1	-2	1501	1499
DEL_471_500	ITER_POA	1	1501	0	0	1501	1501
DEL_211_1000	ITER_POA	1	1001	0	0	1001	1001
DUP_731_1000	ITER_POA	1	3001	0	0	3001	3001
DUP_550_50	ITER_POA	1	1101	0	0	1101	1101
DEL_671_500	ITER_POA	1	1501	0	-1	1501	1500
COMPHET_DEL_617_1000	ITER_POA	1	1301	1	0	1301	1301
SHIFTED_COMPHET_157_50	ITER_POA	1	1231	1	0	1231	1231
DEL_700_50	ITER_POA	1	1051	1	0	1051	1051
INV_368_500	ITER_POA	1	1501	1	-1	1501	1500
INV_160_50	ITER_POA	1	1051	0	0	1051	1051
COMPHET_DEL_242_1000	ITER_POA	1	1301	1	0	1301	1301
COMPHET_DEL_392_1000	ITER_POA	1	2778	0	-847	2159	1965
COMPHET_DEL_392_1000	ITER_POA	2	1301	0	0	1301	1301
DUP_596_500	ITER_POA	1	2001	1	-2	2001	1999
DUP_464_200	ITER_POA	1	1401	0	-1	1401	1400
COMPHET_DEL_564_200	ITER_POA	1	1061	1	0	1061	1061
DEL_71_500	ITER_POA	1	1501	0	0	1501	1501
COMPHET_DEL_689_200	ITER_POA	1	1061	1	0	1061	1061
COMPHET_DEL_310_500	ITER_POA	1	1151	0	0	1151	1151
INV_214_200	ITER_POA	1	1202	0	-1	1202	1201
DUP_664_200	ITER_POA	1	1401	1	0	1401	1401
COMPHET_DEL_525_50	ITER_POA	1	1001	1	0	1001	1001
DEL_400_50	ITER_POA	1	1051	1	0	1051	1051
SHIFTED_COMPHET_218_500	ITER_POA	1	1951	1	0	1951	1951
DUP_474_1000	ITER_POA	1	3001	1	0	3001	3001
